ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
pBh,Playback,2025-04-04 00:00:00,582.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kud,Playback,2025-04-04 00:00:00,688.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
O5Z,Playback,2025-04-04 00:00:00,856.0,3,True,3,enrich,False,enrich_3_trial3_sec_play,ST,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EYO,Playback,2025-04-04 00:00:00,859.0,3,True,3,enrich,False,enrich_3_trial3_sec_play,ST,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PWQ,Playback,2025-04-04 00:00:00,625.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hRT,Playback,2025-04-04 00:00:00,628.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0jF,Playback,2025-04-04 00:00:00,629.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VuV,Playback,2025-04-04 00:00:00,635.0,3,True,3,extra,False,extra_3_trial3_sec_play,ST,DS,,BEFORE PLAYBACK,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
THT,Playback,2025-04-04 00:00:00,652.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9sX,Playback,2025-04-04 00:00:00,654.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
any,Playback,2025-04-04 00:00:00,672.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TK,WRESTLE,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fTQ,Playback,2025-04-04 00:00:00,674.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
xVm,Playback,2025-04-04 00:00:00,679.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TN,CHASE & WRESTLE,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
g4q,Playback,2025-04-04 00:00:00,680.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TN,CHASE & WRESTLE,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
TQP,Playback,2025-04-04 00:00:00,681.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TN,CHASE & WRESTLE,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
iZ9,Playback,2025-04-04 00:00:00,682.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TN,CHASE & WRESTLE,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6Ls,Playback,2025-04-04 00:00:00,683.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,PL,TN,CHASE & WRESTLE,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oTQ,Playback,2025-04-04 00:00:00,582.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KVc,Playback,2025-04-04 00:00:00,586.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tqV,Playback,2025-04-04 00:00:00,629.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REc,Playback,2025-04-04 00:00:00,647.0,3,True,3,morn2,False,morn2_3_trial3_sec_play,ST,DS,,,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mMa,Playback,2025-04-04 00:00:00,584.0,3,True,3,morn1,False,morn1_3_trial3_sec_play,ST,DS,,,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mju,Playback,2025-04-04 00:00:00,825.0,3,True,3,enrich,False,enrich_3_trial3_sec_play,ST,DS,,,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
