file_type;date;time;gap_minutes
A;2025-03-29;09:30;570
A;2025-03-29;09:32;572
A;2025-03-29;09:34;574
A;2025-03-29;09:36;576
A;2025-03-29;09:38;578
A;2025-03-29;09:40;580
A;2025-03-29;09:42;582
A;2025-03-29;09:44;584
A;2025-03-29;13:21;801
A;2025-03-29;13:27;807
A;2025-04-03;09:30;570
A;2025-04-03;13:17;797
A;2025-04-03;13:19;799
A;2025-04-03;13:21;801
A;2025-04-03;14:45;885
A;2025-04-16;09:30;570
A;2025-04-16;10:47;647
A;2025-04-16;10:49;649
A;2025-04-16;10:51;651
A;2025-04-17;10:08;608
A;2025-04-17;13:17;797
A;2025-04-30;09:30;570
A;2025-05-01;11:19;679
A;2025-05-14;09:30;570
A;2025-05-14;09:34;574
