ec5_uuid;date;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight;msm;corrected_msm
cbfbced7-1a7a-4b57-9a75-400a538a76b6;2025-03-19;1900-01-01 10:20:00;NO;GM;NR;;;;M;;;TK, LN;;GM;MT;;;;RS;LN;;NY;;RS;;TK;NY;;;620;620.0
6e686e05-84a3-46ca-be7d-85a43bd993cc;2025-03-19;1900-01-01 10:22:00;NO;GM;NR;;;;RS;;;;;GM;MT;;;;RS;;LN;;;RS;;TK;;;red;622;622.0
57814164-21d5-48ab-aa0b-b5ad0024ac73;2025-03-19;1900-01-01 10:24:00;Yes;GM;NR;;;;RS;;;;;GM;MT;;;;RS;;LN;;;RS;;TK;;;green;624;624.0
7c00cfa9-cc89-4023-aad7-4d2bc37de97d;2025-03-19;1900-01-01 10:26:00;NO;M;;;;;M;;TK;;;M;;;;;RS;;NY;;;RS;;;;;;626;626.0
cff487cf-d495-4ddb-900a-684c362b823e;2025-03-19;1900-01-01 10:28:00;NO;E;;;;;RS;;LN;;;RS;;;;;RS;;;;;RS;;NY;;;;628;628.0
3f6a9200-f467-4ad9-962f-4ec8ec53d9cb;2025-03-19;1900-01-01 10:46:00;NO;RS;;;;;RS;;LN;;;GG;TK;;;;GR;NR;;;;RS;;NY;;;red;646;645.0
b14eb88e-e032-4ce1-bf20-ee9e8703a2c4;2025-03-19;1900-01-01 10:48:00;Yes;RS;;;;;RS;;LN;;;GG;TK;;;;GR;NR;;;;RS;;NY;;;green;648;647.0
e05c2d48-75dc-43fa-b710-a52403501063;2025-03-19;1900-01-01 10:50:00;NO;GG;TK, NR;;;;RS;;LN;;;GG;MT;TK;;;GR;MT;NR;;;RS;;NY;;;;650;649.0
113d6e73-4658-4aad-9a20-07c443c04598;2025-03-19;1900-01-01 10:52:00;NO;GG;TK;NR;;;RS;;LN;;;GG;TK;MT;;;GR;MT, NR;;;;RS;;NY;;;;652;651.0
bb49298c-6e97-4574-bea2-f5293d4e90cb;2025-03-19;1900-01-01 10:54:00;NO;GM;TK;;;;RS;;;;;RS;;LN;;;GM;MT;;;;RS;;NR;;;red;654;653.0
3e055c0f-6a2c-464d-9bf3-90662f0554ba;2025-03-19;1900-01-01 10:56:00;Yes;GM;TK;;;;RS;;;;;RS;;LN;;;GM;MT;;;;RS;;NR;;;green;656;655.0
a2d6f182-c764-43ab-84eb-5a0a4d12e5dd;2025-03-19;1900-01-01 10:58:00;Yes;GM;TK;;;;RS;;;;;RS;;LN;;;GM;MT;;;;RS;;NR;;;green;658;657.0
da42b84e-68e4-4509-b7f3-1daf591f8ac4;2025-03-19;1900-01-01 11:00:00;Yes;GM;TK;;;;RS;;;;;RS;;LN;;;GM;MT;;;;RS;;NR;;;green;660;659.0
f97a002e-edbb-4b75-9ac3-c2b02cff24c4;2025-03-19;1900-01-01 11:02:00;NO;GM;TK;;;;RS;;LN;NR;;RS;;LN;NY;;GM;MT;;;;RS;;;NR, NY;;red;662;661.0
876313b6-0711-491f-9439-b954d9d1d7df;2025-03-19;1900-01-01 11:04:00;Yes;GM;TK;;;;RS;;LN;NR;;RS;;LN;NY;;GM;MT;;;;RS;;;NR, NY;;green;664;663.0
95a961fc-06f0-426a-9cf4-0ea3df81773e;2025-03-19;1900-01-01 11:06:00;NO;GM;TK;;;;RS;;NR;LN;;RS;;NY, LN;;;GM;MT;;;;RS;;NR;NY;;red;666;665.0
22c96d22-c66c-4054-86a4-60f1007b6720;2025-03-19;1900-01-01 11:08:00;Yes;GM;TK;;;;RS;;NR;LN;;RS;;NY, LN;;;GM;MT;;;;RS;;NR;NY;;green;668;667.0
b68de7aa-afc4-47b8-a121-e46ed7a58e51;2025-03-19;1900-01-01 11:10:00;Yes;GM;TK;;;;RS;;NR;LN;;RS;;NY, LN;;;GM;MT;;;;RS;;NR;NY;;green;670;669.0
a2f31d31-697d-46e7-9b76-a0f8f0a0d4df;2025-03-19;1900-01-01 11:12:00;Yes;GM;TK;;;;RS;;NR;LN;;RS;;NY, LN;;;GM;MT;;;;RS;;NR;NY;;green;672;671.0
3f31e205-9951-4e4d-9b6d-68ac7bbedc24;2025-03-19;1900-01-01 11:14:00;Yes;GM;TK;;;;RS;;NR;LN;;RS;;NY, LN;;;GM;MT;;;;RS;;NR;NY;;green;674;673.0
cd000a2b-5690-4f5d-ac3a-d4dccdeee4b3;2025-03-19;1900-01-01 11:16:00;Yes;GM;TK;;;;RS;;NR;LN;;RS;;NY, LN;;;GM;MT;;;;RS;;NR;NY;;green;676;675.0
176dbb3d-9be2-4fa7-a694-ac87c0922b0d;2025-03-19;1900-01-01 11:18:00;Yes;GM;TK;;;;RS;;NR;LN;;RS;;NY, LN;;;GM;MT;;;;RS;;NR;NY;;green;678;677.0
ac91ebb1-7b28-4b4a-a4e3-36c42716eba9;2025-03-19;1900-01-01 11:20:00;Yes;GM;TK;;;;RS;;NR;LN;;RS;;NY, LN;;;GM;MT;;;;RS;;NR;NY;;green;680;679.0
