ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
c2303c2d-5c9a-4b6f-8a67-c589b2594fbe;2025-05-01;1900-01-01 09:31:00;NO;E;;;;;RS;;;;;RS;;;;;E;;;;;;571;570.0
d5566927-5cad-4451-93a9-574f49ae126e;2025-05-01;1900-01-01 09:33:00;NO;E;;;;;RS;;;;;M;;;TN;;E;;;TK;;;573;572.0
b9f3c1e0-857f-464a-8512-3f9d7cc1bce3;2025-05-01;1900-01-01 09:35:00;NO;E;;;;;RS;;;;;RS;;;TN;;E;;;TK;;red;575;574.0
747c97f3-8d73-4981-9182-9648c9f7e0cf;2025-05-01;1900-01-01 09:37:00;Yes;E;;;;;RS;;;;;RS;;;TN;;E;;;TK;;green;577;576.0
e7496da6-650e-439d-bcc6-570e8e4772ec;2025-05-01;1900-01-01 09:39:00;Yes;E;;;;;RS;;;;;RS;;;TN;;E;;;TK;;green;579;578.0
ff6c8345-8b9b-4c2c-affc-26052ac8135b;2025-05-01;1900-01-01 09:41:00;Yes;E;;;;;RS;;;;;RS;;;TN;;E;;;TK;;green;581;580.0
63123f7a-dd66-465c-bafc-7f0f6d47a74d;2025-05-01;1900-01-01 09:43:00;NO;RS;;;;;RS;;;;;RS;;;;;M;;;;;;583;582.0
78c9bab7-929e-4175-beb4-13137df88d7e;2025-05-01;1900-01-01 09:45:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;585;584.0
bb986fa4-430d-41b5-ae08-9b6e7f8a9cd3;2025-05-01;1900-01-01 09:47:00;NO;RS;;;;;M;;;TN;;RS;;;;;M;;;SR;;;587;586.0
fd7becc5-d2ef-4029-81ad-9cc6af855736;2025-05-01;1900-01-01 09:49:00;NO;RS;;;;;M;;;TN;;RS;;;TN;;RS;;;SR, TK;;;589;588.0
80d1cede-018f-4ce2-94b0-e2594cfc968d;2025-05-01;1900-01-01 09:51:00;NO;RS;;;;;RS;;;TN;;RS;;;TN;;RS;;;SR, TK;;;591;590.0
