ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_TN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_SR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
276dc216-f94d-42f2-850c-144989835cba;2025-03-19;1900-01-01 09:34:00;NO;E;;;;;;E;;SR;;;;;;;;;;E;;;;;;E;;SB;;;;red;574;574.0
65d39b93-ef3f-42df-856b-f25adeada3f9;2025-03-19;1900-01-01 09:36:00;Yes;E;;;;;;E;;SR;;;;;;;;;;E;;;;;;E;;SB;;;;green;576;576.0
d9746d1f-d2b6-485f-903a-e514cdd3ec1a;2025-03-19;1900-01-01 09:38:00;Yes;E;;;;;;E;;SR;;;;;;;;;;E;;;;;;E;;SB;;;;green;578;578.0
4b93b371-751b-4c9c-ad48-1ce4c54dccc0;2025-03-19;1900-01-01 09:40:00;Yes;E;;;;;;E;;SR;;;;;;;;;;E;;;;;;E;;SB;;;;green;580;580.0
a43ed1f3-cffa-4f25-8d66-91d5b31fcd75;2025-03-19;1900-01-01 09:42:00;Yes;E;;;;;;E;;SR;;;;;;;;;;E;;;;;;E;;SB;;;;green;582;582.0
c8cacf39-50fa-41f3-a68f-8e9941ccba31;2025-03-19;1900-01-01 09:44:00;Yes;E;;;;;;E;;SR;;;;;;;;;;E;;;;;;E;;SB;;;;green;584;584.0
ad1007a0-4b5a-44e9-a77c-feed12137747;2025-03-19;1900-01-01 09:46:00;Yes;E;;;;;;E;;SR;;;;;;;;;;E;;;;;;E;;SB;;;;green;586;586.0
df786325-cac9-4aca-a44f-5d2bf1b9efd2;2025-03-19;1900-01-01 09:48:00;NO;GG;SB;SR;;;;GR;MZ, SR;;;;;;;;;;;E;;;;;;E;;SB;MZ;;;red;588;588.0
57cd8370-2e65-4bfc-86b2-13852e949c44;2025-03-19;1900-01-01 09:50:00;Yes;GG;SB;SR;;;;GR;MZ, SR;;;;;;;;;;;E;;;;;;E;;SB;MZ;;;green;590;590.0
4ddde456-0f8f-464c-b7f7-f6119ef91235;2025-03-19;1900-01-01 09:52:00;Yes;GG;SB;SR;;;;GR;MZ, SR;;;;;;;;;;;E;;;;;;E;;SB;MZ;;;green;592;592.0
7b411fae-db75-4392-83b6-c0395b88533b;2025-03-19;1900-01-01 09:54:00;Yes;GG;SB;SR;;;;GR;MZ, SR;;;;;;;;;;;E;;;;;;E;;SB;MZ;;;green;594;594.0
c682d7ab-4a3f-43a6-bc0f-1d3bfa5c6969;2025-03-19;1900-01-01 09:56:00;Yes;GG;SB;SR;;;;GR;MZ, SR;;;;;;;;;;;E;;;;;;E;;SB;MZ;;;green;596;596.0
307233e4-c505-40aa-b0ae-d1f6b561bb0a;2025-03-19;1900-01-01 09:58:00;Yes;GG;SB;SR;;;;GR;MZ, SR;;;;;;;;;;;E;;;;;;E;;SB;MZ;;;green;598;598.0
c54d0d1b-1776-457b-a118-64b7942cb09b;2025-03-19;1900-01-01 10:00:00;NO;M;;;;;;RS;;;MZ;;;;;;;;;RS;;;SB;;;RS;;;;;;;600;600.0
fb9d86a8-c7b4-4c89-bbc1-2f29823e66b1;2025-03-19;1900-01-01 10:02:00;NO;RS;;SB;TN;;;RS;;MZ;TN;;;;;;;;;RS;;;MZ, SB;;;RS;;;;;;;602;602.0
0f8edff4-9760-4b3f-ad88-96073a62c702;2025-03-19;1900-01-01 10:04:00;NO;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;red;604;604.0
9fedf2d9-3978-4b5d-9bfe-763e1e140c95;2025-03-19;1900-01-01 10:06:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;green;606;606.0
b5f450cd-b066-4b83-9cd1-65d417195fd3;2025-03-19;1900-01-01 10:08:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;green;608;608.0
4d0d3c7c-6d87-490a-8a65-ad819c394818;2025-03-19;1900-01-01 10:10:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;green;610;610.0
14f01091-3354-4112-b4f6-d752aac03aec;2025-03-19;1900-01-01 10:12:00;NO;M;;;;;;RS;;;;;;;;;;;;E;;;SR;;;RS;;;TN;;;;612;612.0
5ea95db3-6ab1-44b2-9ba2-89010c40e129;2025-03-19;1900-01-01 10:14:00;NO;M;;;;;;RS;;;TN;;;;;;;;;E;;;SB, SR;;;M;;;TN;;;;614;614.0
1cb841aa-9536-478e-8b04-dd47b93e8b88;2025-03-19;1900-01-01 10:16:00;NO;RS;;;;;;RS;;;TN, SR;;;;;;;;;E;;;SB, SR;;;RS;;;SB, TN;;;red;616;616.0
bd09a0d9-4fbd-4c6f-9a82-754185e878e8;2025-03-19;1900-01-01 10:18:00;Yes;RS;;;;;;RS;;;TN, SR;;;;;;;;;E;;;SB, SR;;;RS;;;SB, TN;;;green;618;618.0
4d7e42ab-f8db-4d35-bab2-e68fb0aaeb9b;2025-03-19;1900-01-01 10:20:00;Yes;RS;;;;;;RS;;;TN, SR;;;;;;;;;E;;;SB, SR;;;RS;;;SB, TN;;;green;620;620.0
a871bcb4-0f8f-45e0-9b8e-9aaf7b533987;2025-03-19;1900-01-01 10:22:00;Yes;RS;;;;;;RS;;;TN, SR;;;;;;;;;E;;;SB, SR;;;RS;;;SB, TN;;;green;622;622.0
f947b207-d37c-413b-a6e5-59328883c8a7;2025-03-19;1900-01-01 10:25:00;NO;RS;;;;;;RS;;;;;;;;;;;;M;;;;;;RS;;;;;;;625;624.0
f85fd346-c8fa-41b3-842d-b8f7107cd499;2025-03-19;1900-01-01 10:26:00;NO;RS;;;;;;RS;;;;;;;;;;;;RS;;;;;;RS;;;;;;red;626;626.0
358279ce-6d53-49dc-876d-c74589f13b88;2025-03-19;1900-01-01 10:28:00;Yes;RS;;;;;;RS;;;;;;;;;;;;RS;;;;;;RS;;;;;;green;628;628.0
4ab41a3f-42fe-49dd-b4ec-f9c9e360f5fd;2025-03-19;1900-01-01 10:30:00;Yes;RS;;;;;;RS;;;;;;;;;;;;RS;;;;;;RS;;;;;;green;630;630.0
03bb2024-3ff4-4971-bedd-ed6d21d9bcaf;2025-03-19;1900-01-01 10:48:00;NO;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;red;648;647.0
a8f33b9b-c4c7-4e46-8600-b070930f2e1f;2025-03-19;1900-01-01 10:50:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;green;650;649.0
1840b337-c3c3-4a69-a1bf-b611813cf82c;2025-03-19;1900-01-01 10:52:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;green;652;651.0
f84886ea-6868-4785-9277-fb5ee2066cf3;2025-03-19;1900-01-01 10:54:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;green;654;653.0
542ba273-2897-4dd8-8629-5c155f5423d1;2025-03-19;1900-01-01 10:56:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;green;656;655.0
47dd1e5b-f9d7-42d1-92b6-2ca408572ee6;2025-03-19;1900-01-01 10:58:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;green;658;657.0
362d5dae-37b3-4869-8618-ecbd928e4f39;2025-03-19;1900-01-01 11:00:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;green;660;659.0
120407d5-989a-4170-b882-20070a75dca4;2025-03-19;1900-01-01 11:02:00;Yes;RS;;;;;;RS;;;TN;;;;;;;;;RS;;;SB;;;RS;;;;;;green;662;661.0
d0a33017-da8a-4b60-844e-3541894cc7f8;2025-03-19;1900-01-01 11:04:00;NO;RS;;;;;;RS;;;TN, SR;;;;;;;;;RS;;;SB;;;M;;;SB;;;;664;663.0
