ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
1658b058-e889-4bdb-b22f-016e8b67e48a;2025-03-23;1900-01-01 09:37:00;NO;M;;;GG;;;M;;;MS;;;E;;;MZ, MS;;;E;;;GG, SB;;;;577;576.0
f5262488-2c06-452b-b18c-606ca025ea6b;2025-03-23;1900-01-01 09:39:00;NO;M;;;;;;E;;GG, MS;;;;E;;MS, SB;;;;E;;SB, GG;;;;red;579;578.0
080448ff-7653-44b3-9788-e96a310bd093;2025-03-23;1900-01-01 09:41:00;Yes;M;;;;;;E;;GG, MS;;;;E;;MS, SB;;;;E;;SB, GG;;;;green;581;580.0
4047ba9f-f30b-4651-b153-bf37d41887e4;2025-03-23;1900-01-01 09:43:00;NO;E;;;;;;E;;MS, GG;;;;E;;MS, SB;;;;E;;SB, GG;;;;red;583;582.0
42c38470-940f-4956-a2e5-1891b7b86217;2025-03-23;1900-01-01 09:45:00;Yes;E;;;;;;E;;MS, GG;;;;E;;MS, SB;;;;E;;SB, GG;;;;green;585;584.0
b88c7e84-f0c6-4a80-8fcd-1890d4283814;2025-03-23;1900-01-01 09:47:00;NO;RS;;;;;;E;;MS, GG;;;;E;;MS, SB;;;;E;;SB, GG;;;;red;587;586.0
a5454f97-446a-408c-8919-25f6f0f4b6ce;2025-03-23;1900-01-01 09:49:00;Yes;RS;;;;;;E;;MS, GG;;;;E;;MS, SB;;;;E;;SB, GG;;;;green;589;588.0
563f1c42-f46d-4835-883a-53cf187a63dd;2025-03-23;1900-01-01 09:51:00;Yes;RS;;;;;;E;;MS, GG;;;;E;;MS, SB;;;;E;;SB, GG;;;;green;591;590.0
ad039edc-1539-4543-9d4f-9b0cd900399e;2025-03-23;1900-01-01 09:53:00;NO;SD;;;;;;E;;MS;;;;M;;;;;;E;;SB;;;;;593;592.0
a9dc02df-86c5-4e85-97cd-22025c23fbc7;2025-03-23;1900-01-01 09:55:00;NO;RS;;;;;;E;;MS, GG;;;;E;;SB, MS;;;;E;;SB, GG;;;;red;595;594.0
bac3c024-7011-4ce6-ba45-d26307732912;2025-03-23;1900-01-01 09:57:00;Yes;RS;;;;;;E;;MS, GG;;;;E;;SB, MS;;;;E;;SB, GG;;;;green;597;596.0
402e7c9c-aec6-446e-aee0-11b9b9729052;2025-03-23;1900-01-01 09:59:00;NO;SD;;;;;;M;;;;;;E;;MS;;;;E;;GG;;;;;599;598.0
cb2fca25-d5aa-48a6-ae03-de3faa583dc3;2025-03-23;1900-01-01 10:01:00;NO;SD;;;;;;E;;GG;MS;;;E;;;SB, MS;;;E;;GG;SB;;;red;601;600.0
300e21c8-0426-40c8-b3ec-bfb560e95beb;2025-03-23;1900-01-01 10:03:00;Yes;SD;;;;;;E;;GG;MS;;;E;;;SB, MS;;;E;;GG;SB;;;green;603;602.0
52a3ef5d-9cd3-4fbc-999f-5df53de8ac61;2025-03-23;1900-01-01 10:05:00;Yes;SD;;;;;;E;;GG;MS;;;E;;;SB, MS;;;E;;GG;SB;;;green;605;604.0
7aa379d0-b033-48ab-86e4-b1caf94654d3;2025-03-23;1900-01-01 10:07:00;Yes;SD;;;;;;E;;GG;MS;;;E;;;SB, MS;;;E;;GG;SB;;;green;607;606.0
82a93046-f8eb-478f-a8e4-cb724201594f;2025-03-23;1900-01-01 10:09:00;Yes;SD;;;;;;E;;GG;MS;;;E;;;SB, MS;;;E;;GG;SB;;;green;609;608.0
2c527392-520e-4895-8f42-3e742320664b;2025-03-23;1900-01-01 10:11:00;Yes;SD;;;;;;E;;GG;MS;;;E;;;SB, MS;;;E;;GG;SB;;;green;611;610.0
86bb52c2-9669-439c-9258-43af3a12001f;2025-03-23;1900-01-01 10:13:00;Yes;SD;;;;;;E;;GG;MS;;;E;;;SB, MS;;;E;;GG;SB;;;green;613;612.0
49cf1518-65b8-41fa-9b49-8d4db9b10eab;2025-03-23;1900-01-01 10:15:00;Yes;SD;;;;;;E;;GG;MS;;;E;;;SB, MS;;;E;;GG;SB;;;green;615;614.0
240bb034-a940-4a81-b1a6-668430bfd3a7;2025-03-23;1900-01-01 10:17:00;Yes;SD;;;;;;E;;GG;MS;;;E;;;SB, MS;;;E;;GG;SB;;;green;617;616.0
30330f5e-ff69-4f48-8917-2b9c2481f5bf;2025-03-23;1900-01-01 10:19:00;Yes;SD;;;;;;E;;GG;MS;;;E;;;SB, MS;;;E;;GG;SB;;;green;619;618.0
1f3049cb-bf85-4752-818d-5937428155cf;2025-03-23;1900-01-01 10:21:00;NO;RS;;;;;;E;;;MS;;;M;;;;;;E;;;SB;;;;621;620.0
f6e8da2c-7c66-49b8-bcc6-f3a6e7d31d78;2025-03-23;1900-01-01 10:23:00;NO;RS;;;;;;E;;;MS, GG;;;E;;;MS, SB;;;E;;;SB, GG;;;;623;622.0
8b6d5563-51fb-46e9-b6ab-87b1c171d64d;2025-03-23;1900-01-01 10:25:00;NO;SD;;;;;;E;;MS, GG;;;;E;;MS, SB;;;;E;;GG, SB;;;;;625;624.0
ee944419-8297-448d-b035-16411cd6c1b4;2025-03-23;1900-01-01 10:27:00;NO;RS;;;;;;RS;;;;;;E;;MS;;;;E;;GG;;;;red;627;626.0
9341c720-64db-4c7d-b189-7c88af3752e7;2025-03-23;1900-01-01 10:29:00;Yes;RS;;;;;;RS;;;;;;E;;MS;;;;E;;GG;;;;green;629;628.0
8fdadb63-0c68-4183-9d64-51b8273a68ad;2025-03-23;1900-01-01 10:47:00;NO;RS;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;;647;647.0
6caa008a-bb94-4e1b-868c-32d94d5d32db;2025-03-23;1900-01-01 10:49:00;NO;RL;;;;;;RS;;;;;;DS;;;;;;RS;;;;;;;649;649.0
72517924-12ab-470d-859a-da0fca38c2bb;2025-03-23;1900-01-01 10:51:00;NO;RL;;;;;;RS;;;;;;GG;MS;;;;;GR;GG;;;;;;651;651.0
51d63cbb-2f7f-458a-81df-39a4a5dce82c;2025-03-23;1900-01-01 10:53:00;NO;RL;;;;;;M;;;;;;RS;;MS;;;;RS;;GG;;;;;653;653.0
3ed4f51d-718f-43a2-9029-9228c7946684;2025-03-23;1900-01-01 10:55:00;NO;RL;;;;;;RS;;;;;;E;;MS;;;;E;;GG;;;;;655;655.0
81bb1829-0fcf-4ffa-b864-ac68d48ed597;2025-03-23;1900-01-01 10:57:00;NO;RL;;;;;;RS;;;;;;RL;;MS;;;;E;;GG;;;;red;657;657.0
b61334f6-5640-4fc9-8d5f-14c8eed74ec9;2025-03-23;1900-01-01 10:59:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;E;;GG;;;;green;659;659.0
a248b05e-7fad-4dd2-9268-b979901a2136;2025-03-23;1900-01-01 11:01:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;E;;GG;;;;green;661;661.0
04d95099-5d22-4165-90cb-b4af13e099a1;2025-03-23;1900-01-01 11:03:00;NO;RL;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;red;663;663.0
4595ec92-57d6-4cb1-8a95-4df87249bc74;2025-03-23;1900-01-01 11:05:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;green;665;665.0
50073ccd-9649-46c7-8e84-9058f92e2db1;2025-03-23;1900-01-01 11:07:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;green;667;667.0
ca19162b-fe0f-4dc5-964e-9c38eef7be19;2025-03-23;1900-01-01 11:09:00;NO;RL;;;;;;RS;;;;;;RS;;MS;;;;RS;;GG;;;;;669;669.0
13cd4566-9c0a-4241-a7b5-cd9ebfbec543;2025-03-23;1900-01-01 11:11:00;NO;RL;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;red;671;671.0
