ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_TN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_SR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;38_MS_Behavior;39_Contact;40_AR;41_3M;42_Occurence;43_Notes;44_LN_Behavior;45_Contact;46_AR;47_3M;48_Occurence;49_Notes;50_NR_Behavior;51_Contact;52_AR;53_3M;54_Occurence;55_Notes;msm;corrected_msm
0ab79a15-8172-40ea-9cc5-bc35594d4ebf;2025-04-04;1900-01-01 11:22:00;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;682;681.0
ed40c3cb-1880-4b19-aba2-5a6711a54048;2025-04-04;1900-01-01 11:24:00;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;684;683.0
954492ca-1553-45ea-a109-50c9adce65aa;2025-04-04;1900-01-01 11:26:00;NO;DS;;;;;Calling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;686;685.0
954492ca-1553-45ea-a109-50c9adce65aa;2025-04-04;1900-01-01 11:26:00;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;Displaing;686;687.0
5281e1ee-e9be-4c12-8de1-245179b0bafd;2025-04-04;1900-01-01 11:28:00;NO;DS;;;;;Charging;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;688;689.0
5281e1ee-e9be-4c12-8de1-245179b0bafd;2025-04-04;1900-01-01 11:28:00;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;Displaying;688;
2231b58b-fb10-4a89-9c06-c9cd31e78c93;2025-04-04;1900-01-01 11:30:00;Yes;DS;;;;;Charging;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;690;691.0
2231b58b-fb10-4a89-9c06-c9cd31e78c93;2025-04-04;1900-01-01 11:30:00;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;Displaying;690;
d3991c58-5c27-46e9-97c7-f21353189ebe;2025-04-04;1900-01-01 11:32:00;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;Charging and displaying;692;693.0
1b38d355-7448-485a-b1ee-80b9faffe9cc;2025-04-04;1900-01-01 11:36:00;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;Charging and displaying;696;695.0
963f9db0-45f6-44ad-8c3b-16958d610ac6;2025-04-04;1900-01-01 11:36:00;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;Charging and displaying;696;697.0
df28a9af-e70b-4104-9dca-67cd82570f0c;2025-04-04;1900-01-01 11:38:00;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;Charging displaying;698;699.0
005113c1-9628-41ed-add0-0b2f0bf383b8;2025-04-04;1900-01-01 11:40:00;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;Charging displaying;700;701.0
dc528e35-37e0-450f-a271-31be3c0b4913;2025-04-04;1900-01-01 11:42:00;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DS;;;;;Charging displaying;702;703.0
11a22ea1-6708-4eba-807a-1b2d6e4642c1;2025-04-04;1900-01-01 11:44:00;NO;PL;;NR;;;Playing with NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;704;705.0
11a22ea1-6708-4eba-807a-1b2d6e4642c1;2025-04-04;1900-01-01 11:44:00;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;;MZ;;;Playing with MZ;704;
d39a1d58-f5df-4baa-bd70-2ee5b1ee1c92;2025-04-04;1900-01-01 14:11:00;NO;DS;;;;;Calling to neighbor cage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;851;851.0
b47b6642-3664-49ec-9577-91a85d38226a;2025-04-04;1900-01-01 14:13:00;Yes;DS;;;;;Calling to neighbor cage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;853;853.0
