ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,partner,dyad,distance
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,NY,MN-NY,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,NR,MN-NR,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,TK,MN-TK,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,MN,LN,MN-LN,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,MN,NY-MN,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,NR,NY-NR,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,TK,NY-TK,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,NY,LN,NY-LN,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,MN,NR-MN,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,NY,NR-NY,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,TK,NR-TK,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,NR,LN,NR-LN,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,MN,TK-MN,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,NY,TK-NY,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,NR,TK-NR,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,TK,LN,TK-LN,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,MN,LN-MN,4
xyc,Playback,11-03-2025,585,A_1,1,morn1,morn1_A_1_trial1_first_play,LN,NY,LN-NY,4
