ec5_uuid,date,1_TIme,msm,Ind_1,Ind_1_Behavior,Ind_1_Contact,Ind_1_AR,Ind_1_3M,Ind_2,Ind_2_Behavior,Ind_2_Contact,Ind_2_AR,Ind_2_3M,Ind_3,Ind_3_Behavior,Ind_3_Contact,Ind_3_AR,Ind_3_3M,Ind_4,Ind_4_Behavior,Ind_4_Contact,Ind_4_AR,Ind_4_3M,Ind_5,Ind_5_Behavior,Ind_5_Contact,Ind_5_AR,Ind_5_3M,condition,trial,first_day,phase,group,block_ID
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,14-03-2025,09:34,574,ST,RS,,,,NY,E,,,,SR,RS,,,,TK,RS,,,,TN,RS,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
1843b240-cbac-4efd-837f-4cdc6c3e2b57,14-03-2025,09:36,576,ST,RS,,,,NY,E,,,,SR,RS,,,,TK,RS,,,,TN,M,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
5cb29631-aa3f-4178-8b2f-e27aed83a63a,14-03-2025,09:38,578,ST,RS,,NY,TN,NY,RS,,ST,TN,SR,M,,,,TK,RS,,,,TN,M,,,"ST, NY",Crow,1,True,morn1,,morn1__trial1_first_cont
c81df9c3-55e4-48b9-83e5-58976f59f8f0,14-03-2025,09:40,580,ST,RS,,,,NY,RS,,,,SR,RS,,,,TK,RS,,,,TN,RS,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
c9832f0e-a51e-4407-9e02-b9b0b2d4e309,14-03-2025,09:42,582,ST,RS,,,NY,NY,M,,,ST,SR,RS,,,,TK,RS,,,,TN,RS,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
e66533d7-c0e0-4a2b-9dbe-9b0027f51b42,14-03-2025,09:44,584,ST,M,,,"TN, NY",NY,M,,,"TN, ST",SR,RS,,,,TK,RS,,,,TN,DS,,,"ST, NY",Crow,1,True,morn1,,morn1__trial1_first_cont
46915bde-b509-4275-94e1-3af66441e021,14-03-2025,09:46,586,ST,RS,,,SR,NY,RS,,,,SR,M,,,ST,TK,RS,,,,TN,RS,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
a082c725-ac1a-4398-8731-31d5296cb83b,14-03-2025,09:48,588,ST,GR,TN,,"SR, NY",NY,M,,,"SR, ST, TN",SR,M,,,"TN, ST, NY",TK,RS,,,,TN,GG,ST,,"NY, SR",Crow,1,True,morn1,,morn1__trial1_first_cont
c90d4d07-ca68-4d39-8f86-a31d68516511,14-03-2025,09:50,590,ST,RS,,TN,,NY,PL,,SR,,SR,PL,,NY,,TK,RS,,,,TN,RS,,ST,,Crow,1,True,morn1,,morn1__trial1_first_cont
250703f2-3799-42c5-84a1-581560f4566b,14-03-2025,09:52,592,ST,RS,,TN,SR,NY,RS,,,,SR,M,,,"TN, ST",TK,RS,,,,TN,RS,,ST,SR,Crow,1,True,morn1,,morn1__trial1_first_cont
92e77fea-795e-44c9-94b4-2e2343478c1c,14-03-2025,09:54,594,ST,RS,,,TN,NY,RS,,,,SR,M,,,,TK,RS,,,,TN,M,,,ST,Crow,1,True,morn1,,morn1__trial1_first_cont
85cee0ac-df54-40ea-bb96-92628af6fbc3,14-03-2025,09:56,596,ST,RS,,,"SR, TN",NY,M,,,,SR,M,,,"TN, ST",TK,RS,,,,TN,M,,,"ST, SR",Crow,1,True,morn1,,morn1__trial1_first_cont
58361727-bc67-450e-9e1b-02255720d6a4,14-03-2025,09:58,598,ST,RS,,,NY,NY,RS,,,ST,SR,PL,TK,,TN,TK,PL,SR,,TN,TN,RS,,,"SR, ST",Crow,1,True,morn1,,morn1__trial1_first_cont
3f2413d1-6ccf-4445-9645-46eb684420fc,14-03-2025,10:00,600,ST,RS,,"TN, TK",,NY,RS,,,,SR,RS,,,,TK,PL,TN,ST,,TN,PL,SR,ST,,Crow,1,True,morn1,,morn1__trial1_first_cont
1558914b-679a-4994-8591-47ec11545bbb,14-03-2025,10:02,602,ST,RS,,"TK, TN",,NY,RS,,,,SR,M,,,,TK,PL,TN,ST,,TN,PL,TK,ST,,Crow,1,True,morn1,,morn1__trial1_first_cont
44ce43a8-fc0e-4e7c-b2bd-36ff5ee554c8,14-03-2025,10:04,604,ST,RS,,,,NY,RS,,,,SR,M,,,,TK,RS,,,,TN,RS,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
c98294c3-5a9e-4329-be14-3a0ebb3b47ff,14-03-2025,10:06,606,ST,RS,TK,,,NY,RS,,,,SR,DS,,,,TK,RS,ST,,,TN,RS,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
6637ff12-ff95-4616-ab18-61af38c79b16,14-03-2025,10:08,608,ST,RS,,,TN,NY,RS,,,,SR,RS,,,TK,TK,M,,,"SR, TN",TN,E,,,"ST, TK",Crow,1,True,morn1,,morn1__trial1_first_cont
d5d4e59d-a6a7-49d1-9608-cd83f2aaf17c,14-03-2025,10:10,610,ST,RS,,,"SR, TK, NY",NY,RS,,,"ST, TK, SR, TN",SR,RS,,,"TN, NY, ST, TK",TK,RS,,,"ST, NY, SR",TN,RS,,,"SR, NY",Crow,1,True,morn1,,morn1__trial1_first_cont
8aa9fa0c-a078-4d3f-b6f8-df8b80fb6621,14-03-2025,10:12,612,ST,RS,,NY,,NY,RS,,ST,,SR,RS,,,"TN, TK",TK,RS,,,SR,TN,RS,,,SR,Crow,1,True,morn1,,morn1__trial1_first_cont
6c95e98d-4edd-42a9-8204-46c5c5e7b2c2,14-03-2025,10:14,614,ST,SD,,NY,,NY,RS,,ST,,SR,RS,,,"TN, TK",TK,RS,,,SR,TN,E,,,SR,Crow,1,True,morn1,,morn1__trial1_first_cont
0ac4aa00-7ee2-4c32-9ead-15f2a0f7d7a9,14-03-2025,10:16,616,ST,RS,,,NY,NY,RS,,,ST,SR,RS,,,"TN, TK",TK,RS,,,SR,TN,RS,,,SR,Crow,1,True,morn1,,morn1__trial1_first_cont
aa0399b5-2bb7-4274-ae80-ce58c9a8982d,14-03-2025,10:18,618,ST,M,,,,NY,M,,,SR,SR,M,,,NY,TK,RS,,,,TN,M,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
928060f4-f8d8-4b2a-8322-da501545c599,14-03-2025,10:20,620,ST,M,,,,NY,RS,,,SR,SR,RS,,,NY,TK,RS,,,,TN,E,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
a5fe4062-5f89-44e9-b99c-8366c76e6202,14-03-2025,10:22,622,ST,RS,,,,NY,RS,,,,SR,RS,,,,TK,RS,,,,TN,RS,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
0abd71a9-d0e5-4d1c-b6a6-3773874b9540,14-03-2025,10:24,624,ST,RS,,,,NY,RS,,,,SR,RS,,,,TK,RS,,,,TN,RS,,,,Crow,1,True,morn1,,morn1__trial1_first_cont
7a1ecefc-e294-44d2-bf56-3d23bff371a6,14-03-2025,10:26,626,ST,E,,,TN,NY,RS,,,SR,SR,RS,,,NY,TK,RS,,,,TN,RS,,,ST,Crow,1,True,morn1,,morn1__trial1_first_cont
