ec5_uuid,date,1_TIme,2_NC,4_ST_Behavior,5_Contact,6_AR,7_3M,8_Notes,10_NY_Behavior,11_Contact,12_AR,13_3M,14_Notes,16_SR_Behavior,17_Contact,18_AR,19_3M,20_Notes,22_TK_Behavior,23_Contact,24_AR,25_3M,26_Notes,28_TN_Behavior,29_Contact,30_AR,31_3M,32_Notes,highlight,msm,corrected_msm
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,2025-03-14,1900-01-01 09:34:00,NO,RS,,,,,E,,,,,RS,,,,,RS,,,,,RS,,,,,,574,574.0
1843b240-cbac-4efd-837f-4cdc6c3e2b57,2025-03-14,1900-01-01 09:36:00,NO,RS,,,,,E,,,,,RS,,,,,RS,,,,,M,,,,,,576,576.0
5cb29631-aa3f-4178-8b2f-e27aed83a63a,2025-03-14,1900-01-01 09:38:00,NO,RS,,NY,TN,,RS,,ST,TN,,M,,,,,RS,,,,,M,,,"ST, NY",,,578,578.0
c81df9c3-55e4-48b9-83e5-58976f59f8f0,2025-03-14,1900-01-01 09:40:00,NO,RS,,,,,RS,,,,,RS,,,,,RS,,,,,RS,,,,,,580,580.0
c9832f0e-a51e-4407-9e02-b9b0b2d4e309,2025-03-14,1900-01-01 09:42:00,NO,RS,,,NY,,M,,,ST,,RS,,,,,RS,,,,,RS,,,,,,582,582.0
e66533d7-c0e0-4a2b-9dbe-9b0027f51b42,2025-03-14,1900-01-01 09:44:00,NO,M,,,"TN, NY",,M,,,"TN, ST",,RS,,,,,RS,,,,,DS,,,"ST, NY",Typical TN display - fart noise plus weird butt scooch,,584,584.0
46915bde-b509-4275-94e1-3af66441e021,2025-03-14,1900-01-01 09:46:00,NO,RS,,,SR,,RS,,,,,M,,,ST,,RS,,,,,RS,,,,,,586,586.0
a082c725-ac1a-4398-8731-31d5296cb83b,2025-03-14,1900-01-01 09:48:00,NO,GR,TN,,"SR, NY",,M,,,"SR, ST, TN",,M,,,"TN, ST, NY",,RS,,,,,GG,ST,,"NY, SR",,,588,588.0
c90d4d07-ca68-4d39-8f86-a31d68516511,2025-03-14,1900-01-01 09:50:00,NO,RS,,TN,,,PL,,SR,,Following SR,PL,,NY,,Being followed by NY,RS,,,,,RS,,ST,,,,590,590.0
250703f2-3799-42c5-84a1-581560f4566b,2025-03-14,1900-01-01 09:52:00,NO,RS,,TN,SR,,RS,,,,,M,,,"TN, ST",,RS,,,,,RS,,ST,SR,,,592,592.0
92e77fea-795e-44c9-94b4-2e2343478c1c,2025-03-14,1900-01-01 09:54:00,NO,RS,,,TN,,RS,,,,,M,,,,,RS,,,,,M,,,ST,,,594,594.0
85cee0ac-df54-40ea-bb96-92628af6fbc3,2025-03-14,1900-01-01 09:56:00,NO,RS,,,"SR, TN",,M,,,,,M,,,"TN, ST",,RS,,,,,M,,,"ST, SR",,,596,596.0
58361727-bc67-450e-9e1b-02255720d6a4,2025-03-14,1900-01-01 09:58:00,NO,RS,,,NY,,RS,,,ST,,PL,TK,,TN,TK grabbing SR,PL,SR,,TN,Tugging SR,RS,,,"SR, ST",,,598,598.0
3f2413d1-6ccf-4445-9645-46eb684420fc,2025-03-14,1900-01-01 10:00:00,NO,RS,,"TN, TK",,,RS,,,,,RS,,,,Arm slapping/grabbing,PL,TN,ST,,,PL,SR,ST,,,,600,600.0
1558914b-679a-4994-8591-47ec11545bbb,2025-03-14,1900-01-01 10:02:00,NO,RS,,"TK, TN",,,RS,,,,,M,,,,,PL,TN,ST,,Grabbing TN,PL,TK,ST,,Grabbing TK,,602,602.0
44ce43a8-fc0e-4e7c-b2bd-36ff5ee554c8,2025-03-14,1900-01-01 10:04:00,NO,RS,,,,,RS,,,,,M,,,,,RS,,,,,RS,,,,,,604,604.0
c98294c3-5a9e-4329-be14-3a0ebb3b47ff,2025-03-14,1900-01-01 10:06:00,NO,RS,TK,,,,RS,,,,,DS,,,,Pant hoot by himself to no one,RS,ST,,,,RS,,,,,,606,606.0
6637ff12-ff95-4616-ab18-61af38c79b16,2025-03-14,1900-01-01 10:08:00,NO,RS,,,TN,,RS,,,,,RS,,,TK,,M,,,"SR, TN",,E,,,"ST, TK",,,608,608.0
d5d4e59d-a6a7-49d1-9608-cd83f2aaf17c,2025-03-14,1900-01-01 10:10:00,NO,RS,,,"SR, TK, NY",,RS,,,"ST, TK, SR, TN",,RS,,,"TN, NY, ST, TK",,RS,,,"ST, NY, SR",,RS,,,"SR, NY",,,610,610.0
8aa9fa0c-a078-4d3f-b6f8-df8b80fb6621,2025-03-14,1900-01-01 10:12:00,NO,RS,,NY,,,RS,,ST,,,RS,,,"TN, TK",,RS,,,SR,,RS,,,SR,,,612,612.0
6c95e98d-4edd-42a9-8204-46c5c5e7b2c2,2025-03-14,1900-01-01 10:14:00,NO,SD,,NY,,,RS,,ST,,,RS,,,"TN, TK",,RS,,,SR,,E,,,SR,,,614,614.0
0ac4aa00-7ee2-4c32-9ead-15f2a0f7d7a9,2025-03-14,1900-01-01 10:16:00,NO,RS,,,NY,,RS,,,ST,,RS,,,"TN, TK",,RS,,,SR,,RS,,,SR,,,616,616.0
aa0399b5-2bb7-4274-ae80-ce58c9a8982d,2025-03-14,1900-01-01 10:18:00,NO,M,,,,,M,,,SR,,M,,,NY,,RS,,,,,M,,,,,,618,618.0
928060f4-f8d8-4b2a-8322-da501545c599,2025-03-14,1900-01-01 10:20:00,NO,M,,,,,RS,,,SR,,RS,,,NY,,RS,,,,,E,,,,,,620,620.0
a5fe4062-5f89-44e9-b99c-8366c76e6202,2025-03-14,1900-01-01 10:22:00,NO,RS,,,,,RS,,,,,RS,,,,,RS,,,,,RS,,,,,red,622,622.0
0abd71a9-d0e5-4d1c-b6a6-3773874b9540,2025-03-14,1900-01-01 10:24:00,Yes,RS,,,,,RS,,,,,RS,,,,,RS,,,,,RS,,,,,green,624,624.0
7a1ecefc-e294-44d2-bf56-3d23bff371a6,2025-03-14,1900-01-01 10:26:00,NO,E,,,TN,,RS,,,SR,,RS,,,NY,,RS,,,,,RS,,,ST,,red,626,626.0
b31eb160-dcf0-4d3c-bef0-177c7cf61c4d,2025-03-14,1900-01-01 10:28:00,Yes,E,,,TN,,RS,,,SR,,RS,,,NY,,RS,,,,,RS,,,ST,,green,628,628.0
be93d708-97cb-4990-a931-c659c8aed506,2025-03-14,1900-01-01 10:30:00,Yes,E,,,TN,,RS,,,SR,,RS,,,NY,,RS,,,,,RS,,,ST,,green,630,630.0
fd52ff6b-7a51-4911-a919-eb816fb5b41f,2025-03-14,1900-01-01 10:46:00,NO,RS,,,,,RS,,,,,RS,,,"TN, TK",,RS,,,"TN, SR",,RS,,,"SR, TK",,,646,645.0
d782fe2c-7055-46b6-82e9-352eed2b1b0f,2025-03-14,1900-01-01 10:48:00,NO,RS,,NY,,,RS,,ST,,,RS,,TN,,,RS,,,,,RS,,SR,,,,648,647.0
1de4908c-4908-4f6f-8d6c-f6fea6703a1e,2025-03-14,1900-01-01 10:50:00,NO,RS,,,,,RS,,,,,RS,,TN,,,RS,,,,,RS,,SR,,,,650,649.0
a040875d-23a2-435f-9831-5aa21b0da979,2025-03-14,1900-01-01 10:52:00,NO,RS,,,,,RS,,,TK,,RS,,TN,,,RS,,,NY,,RS,,SR,,,red,652,651.0
fc26ab95-e89f-494c-a407-9296702c8ccc,2025-03-14,1900-01-01 10:54:00,Yes,RS,,,,,RS,,,TK,,RS,,TN,,,RS,,,NY,,RS,,SR,,,green,654,653.0
7ae64dd9-e573-4c1d-b543-ceab61224d68,2025-03-14,1900-01-01 10:56:00,NO,RS,,,,,RS,,,,,RS,,"TN, TK",,,RS,,"TN, SR",,,RS,,"SR, TK",,,red,656,655.0
98481693-27f4-454f-8c8e-c4333911a183,2025-03-14,1900-01-01 10:58:00,Yes,RS,,,,,RS,,,,,RS,,"TN, TK",,,RS,,"TN, SR",,,RS,,"SR, TK",,,green,658,657.0
27bf9b55-1b7d-4743-88b2-ba172b857cc4,2025-03-14,1900-01-01 11:00:00,Yes,RS,,,,,RS,,,,,RS,,"TN, TK",,,RS,,"TN, SR",,,RS,,"SR, TK",,,green,660,659.0
e9296d6d-a090-42b2-8722-d5e83b82905b,2025-03-14,1900-01-01 11:02:00,NO,RS,,,,,RS,,,,,RS,,"TK, TN",,,RS,,"TN, SR",,,RL,,"TK, SR",,,red,662,661.0
d33a6efe-2073-4091-adf1-8e2d29abd8d3,2025-03-14,1900-01-01 11:04:00,Yes,RS,,,,,RS,,,,,RS,,"TK, TN",,,RS,,"TN, SR",,,RL,,"TK, SR",,,green,664,663.0
1a23a382-bd49-45c1-9adb-e5293ae76d40,2025-03-14,1900-01-01 11:06:00,Yes,RS,,,,,RS,,,,,RS,,"TK, TN",,,RS,,"TN, SR",,,RL,,"TK, SR",,,green,666,665.0
1555b00c-74df-4ffd-a350-2e41deb7ef2a,2025-03-14,1900-01-01 11:08:00,Yes,RS,,,,,RS,,,,,RS,,"TK, TN",,,RS,,"TN, SR",,,RL,,"TK, SR",,,green,668,667.0
