ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,behaviour,qualifier,partner,eating,playing,moving,resting,sitting,self_direct,grooming
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,ST,RS,,,0,0,0,1,1,0,0
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,NY,E,,,1,0,0,0,0,0,0
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,SR,RS,,,0,0,0,1,1,0,0
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,TK,RS,,,0,0,0,1,1,0,0
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,TN,RS,,,0,0,0,1,1,0,0
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,ST,RS,,,0,0,0,1,1,0,0
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,NY,E,,,1,0,0,0,0,0,0
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,SR,RS,,,0,0,0,1,1,0,0
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,TK,RS,,,0,0,0,1,1,0,0
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,TN,M,,,0,0,1,0,0,0,0
5cb29631-aa3f-4178-8b2f-e27aed83a63a,Crow,14-03-2025,578,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,ST,RS,,,0,0,0,1,1,0,0
5cb29631-aa3f-4178-8b2f-e27aed83a63a,Crow,14-03-2025,578,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,NY,RS,,,0,0,0,1,1,0,0
5cb29631-aa3f-4178-8b2f-e27aed83a63a,Crow,14-03-2025,578,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,SR,M,,,0,0,1,0,0,0,0
5cb29631-aa3f-4178-8b2f-e27aed83a63a,Crow,14-03-2025,578,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,TK,RS,,,0,0,0,1,1,0,0
5cb29631-aa3f-4178-8b2f-e27aed83a63a,Crow,14-03-2025,578,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,TN,M,,,0,0,1,0,0,0,0
c81df9c3-55e4-48b9-83e5-58976f59f8f0,Crow,14-03-2025,580,A_UNKNOWN_DATE,1,morn1,morn1_A_UNKNOWN_DATE_trial1_first_cont,ST,RS,,,0,0,0,1,1,0,0
