ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,block_ID,Ind1,partner,dyad,distance
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,ST,NY,NY-ST,4
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,ST,SR,SR-ST,4
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,ST,TK,ST-TK,4
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,ST,TN,ST-TN,4
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,NY,SR,NY-SR,4
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,NY,TK,NY-TK,4
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,NY,TN,NY-TN,4
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,SR,TK,SR-TK,4
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,SR,TN,SR-TN,4
f8c5c365-6a21-465b-8fe3-f7f0883d55a6,Crow,14-03-2025,574.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,TK,TN,TK-TN,4
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,ST,NY,NY-ST,4
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,ST,SR,SR-ST,4
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,ST,TK,ST-TK,4
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,ST,TN,ST-TN,4
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,NY,SR,NY-SR,4
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,NY,TK,NY-TK,4
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,NY,TN,NY-TN,4
1843b240-cbac-4efd-837f-4cdc6c3e2b57,Crow,14-03-2025,576.0,UNKNOWN_DATE,False,1,morn1,morn1_UNKNOWN_DATE_trial1_first_cont,SR,TK,SR-TK,4
