ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1,Ind_1_Behavior,Ind_1_Contact,Ind_1_AR,Ind_1_3M,Ind_2,Ind_2_Behavior,Ind_2_Contact,Ind_2_AR,Ind_2_3M,Ind_3,Ind_3_Behavior,Ind_3_Contact,Ind_3_AR,Ind_3_3M,condition,trial,first_day,phase,group,block_ID
26afc396-dc72-41eb-baed-eace7af91c4c,11-03-2025,1900-01-01 09:45:00,585,584.0,MS,RS,,,,ST,RS,,,,NH,RS,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
0962879c-c4a2-494c-bc93-79d32ec76828,11-03-2025,1900-01-01 09:47:00,587,586.0,MS,RS,,,,ST,RS,,,,NH,RS,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
0bc8d251-68da-4852-9894-ad051a852e48,11-03-2025,1900-01-01 09:50:00,590,590.0,MS,RS,,,,ST,RS,,NH,,NH,RS,,ST,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
c2f07979-391c-4336-aa01-002e403e8221,11-03-2025,1900-01-01 09:51:00,591,592.0,MS,RS,,NH,,ST,RS,,,,NH,RS,,MS,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
cffb1b05-ffce-419e-95d4-75c5c267c3cf,11-03-2025,1900-01-01 09:53:00,593,594.0,MS,RS,,NH,,ST,RS,,,,NH,RS,,MS,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
130d9136-9862-40be-936f-601eca418b7b,11-03-2025,1900-01-01 09:55:00,595,596.0,MS,RS,,NH,,ST,RS,,,,NH,RS,,MS,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
255d0826-c7e9-4687-a25f-ed491ef5d258,11-03-2025,1900-01-01 09:57:00,597,598.0,MS,RS,,NH,,ST,RS,,,,NH,RS,,MS,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
c80e2fdc-edaa-4371-9799-a2a6dd36e650,11-03-2025,1900-01-01 09:59:00,599,600.0,MS,RS,,NH,,ST,RS,,,,NH,RS,,MS,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
b1c8ef4d-fd02-46d6-837c-60beea0ec643,11-03-2025,1900-01-01 10:01:00,601,602.0,MS,RS,,NH,,ST,RS,,,,NH,RS,,MS,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
be7f421b-6a8d-4733-b29c-6ff333b23fd5,11-03-2025,1900-01-01 10:03:00,603,604.0,MS,RS,,,NH,ST,,,,,NH,RS,,,MS,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
932e3d70-3c01-44c5-91e5-d0b9578b12e9,11-03-2025,1900-01-01 10:05:00,605,606.0,MS,RS,,,,ST,,,,,NH,M,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
cb19508d-e1e4-44a3-8146-3a106906ecbf,11-03-2025,1900-01-01 10:07:00,607,608.0,MS,RS,NH,,,ST,,,,,NH,RS,MS,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
e79c0c04-a549-4549-869e-79773c9bc830,11-03-2025,1900-01-01 10:09:00,609,610.0,MS,RS,NH,,,ST,,,,,NH,RS,MS,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
5b3aafd2-f3c4-49b0-b97a-a0de95374e1d,11-03-2025,1900-01-01 10:11:00,611,612.0,MS,RS,NH,,,ST,,,,,NH,RS,MS,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
865dc044-b111-4f86-a967-da3aa1c8c997,11-03-2025,1900-01-01 10:13:00,613,614.0,MS,RS,,,,ST,,,,,NH,RS,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
7c0c6b28-cf04-442d-8002-dcc7a8dbb23c,11-03-2025,1900-01-01 10:16:00,616,616.0,MS,RS,,,,ST,GG,NH,,,NH,GM,ST,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
53b3a04f-438f-4f74-9f1e-aed2adf6f429,11-03-2025,1900-01-01 10:17:00,617,618.0,MS,RS,,,,ST,RS,,,,NH,RS,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
0d973b4c-775a-4173-82c4-a29d1c451bc3,11-03-2025,1900-01-01 10:19:00,619,620.0,MS,RS,,ST,,ST,RS,,MS,,NH,RS,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
31899f50-45f2-43f3-9a31-62b06ce09200,11-03-2025,1900-01-01 10:21:00,621,622.0,MS,RS,,ST,,ST,RS,,MS,,NH,RS,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
06a5ea26-cc44-40b7-bdd9-8e2e9735ced9,11-03-2025,1900-01-01 10:23:00,623,624.0,MS,RS,,ST,,ST,RS,,MS,,NH,RS,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
92916bdc-915e-448f-8241-b597a21bdf3f,11-03-2025,1900-01-01 10:25:00,625,626.0,MS,RS,,ST,,ST,RS,,MS,,NH,RS,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
e652e489-21b7-462b-a99e-aa7785a21760,11-03-2025,1900-01-01 10:27:00,627,628.0,MS,RS,ST,,,ST,RS,MS,,,NH,M,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
d8707140-7d4e-4840-8688-eb6ccdd9ac7c,11-03-2025,1900-01-01 10:29:00,629,630.0,MS,RS,ST,,,ST,RS,MS,,,NH,RS,,,,Playback,1,True,morn1,B_1,morn1_B_1_trial1_first_play
dafd1677-4e61-4ef3-8da0-38405308cefb,11-03-2025,1900-01-01 10:47:00,647,647.0,MS,RS,ST,,,ST,RS,MS,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
a7a002ba-3edb-42ab-80b4-e3dd57036d9a,11-03-2025,1900-01-01 10:49:00,649,649.0,MS,RS,ST,,,ST,RS,MS,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
7c99fc41-2e2b-4bf0-823f-cf78bba454d0,11-03-2025,1900-01-01 10:51:00,651,651.0,MS,RS,ST,,,ST,RS,MS,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
e2ae9a2a-ac7d-4e7e-9c8b-584a16843ff4,11-03-2025,1900-01-01 10:54:00,654,653.0,MS,GG,NH,,,ST,RS,,NH,MS,NH,GR,MS,ST,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
74893507-97ff-4432-bd20-a47122d0169a,11-03-2025,1900-01-01 10:55:00,655,655.0,MS,RS,,NH,,ST,RS,,,"MS, NH",NH,RS,,MS,ST,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
cd8a0165-a9e3-467a-b89b-ad6392826b62,11-03-2025,1900-01-01 10:57:00,657,657.0,MS,RS,,NH,,ST,RS,,NH,MS,NH,RS,,"MS, ST",,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
66eaa4b8-0dd9-4b8b-9bcb-2830f63f6a6d,11-03-2025,1900-01-01 10:59:00,659,659.0,MS,RS,,NH,,ST,RS,,NH,MS,NH,RS,,"MS, ST",,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
8d3e4cda-aea8-4b55-9307-6e8fa6438f67,11-03-2025,1900-01-01 11:01:00,661,661.0,MS,RS,,NH,,ST,RS,,NH,MS,NH,RS,,"MS, ST",,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
2d4169ea-175b-4ee2-8d65-7287b74b6ece,11-03-2025,1900-01-01 11:03:00,663,663.0,MS,RS,,,NH,ST,M,,,,NH,RS,,,MS,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
670ce32b-66d3-4a0b-89f7-a575cdc6815d,11-03-2025,1900-01-01 11:05:00,665,665.0,MS,RS,,,NH,ST,M,,,,NH,RS,,,MS,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
bc5a3d1e-c195-4a77-ab04-1d3d4b5bdc08,11-03-2025,1900-01-01 11:07:00,667,667.0,MS,RS,,,NH,ST,RS,,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
470ff739-79d1-4ed8-84c1-6d696d8adbcd,11-03-2025,1900-01-01 11:09:00,669,669.0,MS,RS,,,NH,ST,RS,,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
a839dfbe-d566-421d-85f3-38cb096f2166,11-03-2025,1900-01-01 11:12:00,672,671.0,MS,RS,,,NH,ST,RS,,,,NH,RS,,,MS,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
36642c95-103c-4997-81d6-b9f592f283e5,11-03-2025,1900-01-01 11:13:00,673,673.0,MS,RS,,,NH,ST,RS,,,,NH,RS,,,MS,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
ac7c8d12-1736-4b57-a8ff-98f0e2f5d109,11-03-2025,1900-01-01 11:15:00,675,675.0,MS,RS,,,NH,ST,RS,,,,NH,RS,,,MS,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
40abb3d7-f1b0-49a3-a56b-cf729030c616,11-03-2025,1900-01-01 11:17:00,677,677.0,MS,RS,,,NH,ST,RS,,,,NH,RS,,,MS,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
287c131c-b6e5-4689-8dcd-0f1a39945c13,11-03-2025,1900-01-01 11:19:00,679,679.0,MS,RS,,,NH,ST,RS,,,,NH,RS,,,MS,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
a36492d5-ad11-43c9-99b9-c3b961452c41,11-03-2025,1900-01-01 11:21:00,681,681.0,MS,RS,,,,ST,RS,,,,NH,M,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
97a548c2-cd03-4b4d-8fed-0f05755b2284,11-03-2025,1900-01-01 11:23:00,683,683.0,MS,RS,,,,ST,RS,,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
56e8ca55-84b0-43df-ae56-7dc6f22ff1df,11-03-2025,1900-01-01 11:26:00,686,685.0,MS,RS,,,,ST,RS,,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
60b3662c-8157-465f-8aa3-cf4f9d0b2269,11-03-2025,1900-01-01 11:27:00,687,687.0,MS,RS,,,,ST,RS,,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
fc60ec4f-a7e6-4d5d-a268-a3b7a9c3d227,11-03-2025,1900-01-01 11:29:00,689,689.0,MS,RS,,,,ST,RS,,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
f02bdd4d-7128-497b-949d-898fdbe3c4e3,11-03-2025,1900-01-01 11:31:00,691,691.0,MS,GG,ST,,,ST,GR,MS,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
f45109c6-0b5a-4575-9c51-7e6723a5ce5b,11-03-2025,1900-01-01 11:34:00,694,693.0,MS,GR,ST,,,ST,GG,MS,,,NH,RS,,,,Playback,1,True,morn2,B_1,morn2_B_1_trial1_first_play
