ec5_uuid,date,1_TIme,2_NC,4_LN_Behavior,5_Contact,6_AR,7_3M,8_Notes,10_MN_Behavior,11_Contact,12_AR,13_3M,14_Notes,16_NH_Behavior,17_Contact,18_AR,19_3M,20_Notes,22_NR_Behavior,23_Contact,24_AR,25_3M,26_Notes,highlight,msm
da7c061b-60a6-4fc3-aa5a-24b5b8f848d0,2025-03-14,1900-01-01 09:34:00,,RS,,,,,M,,,,,E,,,NR,,E,,,NH,,,574
471ae2da-d98f-40a3-b058-d04480d41884,2025-03-14,1900-01-01 09:36:00,,M,,,"NH, NR",,RS,,,,,E,,,"LN, NR",,E,,,"LN, NH",,,576
080994ed-9055-4a6d-9838-f3fa379b153c,2025-03-14,1900-01-01 09:38:00,,E,,NR,MN,,RS,,,"LN, NR",,RL,,,,,E,,LN,MN,,red,578
97bfc32a-3a77-400d-ac05-7a33d442d5b1,2025-03-14,1900-01-01 09:40:00,Yes,E,,NR,MN,,RS,,,"LN, NR",,RL,,,,,E,,LN,MN,,green,580
78fa3a7d-09a5-4f70-a27e-86645a3c2de4,2025-03-14,1900-01-01 09:42:00,Yes,E,,NR,MN,,RS,,,"LN, NR",,RL,,,,,E,,LN,MN,,green,582
589acbf7-d2bd-475d-819f-8be323479fef,2025-03-14,1900-01-01 09:44:00,,RS,,,,,,,NR,,,RS,,,,,PL,,MN,,,red,584
7ee79de3-115d-40ac-9cd0-bd881b5cca62,2025-03-14,1900-01-01 09:46:00,Yes,RS,,,,,,,NR,,,RS,,,,,PL,,MN,,,green,586
a34e9985-10cd-4907-a518-00e9e716ca09,2025-03-14,1900-01-01 09:48:00,,RS,,,NH,,PL,,NR,,,RS,,,LN,,PL,,MN,,,,588
51c38111-43d7-4c88-8c84-d15d5fc8d6d4,2025-03-14,1900-01-01 09:50:00,,RS,,,NH,,M,,,,,RS,,,LN,,M,,,,,,590
154f07d5-70b7-4f98-851a-ae754899b37f,2025-03-14,1900-01-01 09:52:00,,RS,,NH,,,M,,,,,RS,,LN,,,M,,,,,red,592
9d459ea2-d03c-4a03-ac87-7a5bd4c1e7e9,2025-03-14,1900-01-01 09:54:00,Yes,RS,,NH,,,M,,,,,RS,,LN,,,M,,,,,green,594
710642fc-ca87-4b33-8e47-f3101026720e,2025-03-14,1900-01-01 09:56:00,,RS,,NH,,,RS,,,NR,,RS,,LN,,,RS,,,MN,,,596
854f93f7-1533-400b-85d6-f34ab7e7fc2a,2025-03-14,1900-01-01 09:58:00,,RS,,"NH, NR",,,M,,,,,RS,,LN,NR,,RS,,LN,NH,,red,598
c47d340e-a3bd-4e80-b8b8-dd395113851c,2025-03-14,1900-01-01 10:00:00,Yes,RS,,"NH, NR",,,M,,,,,RS,,LN,NR,,RS,,LN,NH,,green,600
b29b23ec-e7cd-4125-991f-5fc857554a2b,2025-03-14,1900-01-01 10:02:00,,RS,NR,NH,,,E,,,,,RS,,"LN, NR",,,RS,,LN,NH,,red,602
efa439c6-7307-4581-8726-d04bc2da970c,2025-03-14,1900-01-01 10:04:00,Yes,RS,NR,NH,,,E,,,,,RS,,"LN, NR",,,RS,,LN,NH,,green,604
09eaaf82-896f-4794-bab2-b8033605f617,2025-03-14,1900-01-01 10:06:00,Yes,RS,NR,NH,,,E,,,,,RS,,"LN, NR",,,RS,,LN,NH,,green,606
895c7f1b-5c49-4cfb-b3d5-a444c759daa8,2025-03-14,1900-01-01 10:08:00,,RS,,,,,PL,,,,Playing with a bottle,M,,,,,RS,,,,,,608
9b244cdf-0f9a-43c4-ae0c-7cfc2ab80559,2025-03-14,1900-01-01 10:10:00,,RS,,,NH,,RS,,,,,RS,,,LN,,RS,,,,,red,610
ccf43b3f-3b36-4d5e-b0f5-0083ecbb92f5,2025-03-14,1900-01-01 10:12:00,Yes,RS,,,NH,,RS,,,,,RS,,,LN,,RS,,,,,green,612
8fabdcb8-3140-43dc-b2bd-28a0fbaf26ab,2025-03-14,1900-01-01 10:14:00,,RS,,,,,RS,,,,,M,,,,,RS,,,,,,614
37389303-c253-4154-8ec0-1c684fed8e49,2025-03-14,1900-01-01 10:16:00,,RS,,,,,DS,,,,Towards cage c,DS,,,,Towards cage c,M,,,,,,616
6a4d8dc6-a506-499a-a5e1-166ce4b80004,2025-03-14,1900-01-01 10:18:00,,RS,,,,,DS,,,,Towards cage c,M,,,,,M,,,,,,618
fc387a09-9327-4577-bed4-77cc0c5e0f21,2025-03-14,1900-01-01 10:20:00,,RS,,"NH, NR",,,M,,,,,RS,,"LN, NR",,,RS,,"LN, NH",,,,620
d3075e0f-b6fb-426c-9e1b-b59af792b047,2025-03-14,1900-01-01 10:22:00,,RS,,NR,,,RS,,,NH,,RS,,,MN,,RS,,LN,,,,622
f428a201-e59b-4cac-990e-47787fb66aa9,2025-03-14,1900-01-01 10:26:00,,RS,,,NH,,M,,,,,RS,,,LN,,DS,,,,,,626
4cf78534-4969-468f-8e3f-46817c70d734,2025-03-14,1900-01-01 10:28:00,,RS,,,NH,,RS,,,,,RS,,,LN,,PL,,,,Playing with a bottle,,628
c934b92c-f194-4b67-8425-0174a72af684,2025-03-14,1900-01-01 10:30:00,,RS,,,,,PL,,,NR,,M,,,,,PL,,,MN,,,630
807971fe-aa2a-4a2f-9d4b-5294713b5fac,2025-03-14,1900-01-01 10:46:00,,RS,,"NR, NH",MN,,RS,,,"LN, NH, NR",,RS,,NR,"LN, MN",,RS,,"LN, NH",MN,,red,646
