ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,block_ID,Ind1,behaviour,qualifier,partner,eating,playing,moving,resting,sitting,self_direct,grooming,laying
da7c061b-60a6-4fc3-aa5a-24b5b8f848d0,Crow,14-03-2025,574.0,2,False,1,morn1,morn1_2_trial1_first_cont,LN,RS,,,0,0,0,1,1,0,0,
da7c061b-60a6-4fc3-aa5a-24b5b8f848d0,Crow,14-03-2025,574.0,2,False,1,morn1,morn1_2_trial1_first_cont,MN,M,,,0,0,1,0,0,0,0,
da7c061b-60a6-4fc3-aa5a-24b5b8f848d0,Crow,14-03-2025,574.0,2,False,1,morn1,morn1_2_trial1_first_cont,NH,E,,,1,0,0,0,0,0,0,
da7c061b-60a6-4fc3-aa5a-24b5b8f848d0,Crow,14-03-2025,574.0,2,False,1,morn1,morn1_2_trial1_first_cont,NR,E,,,1,0,0,0,0,0,0,
471ae2da-d98f-40a3-b058-d04480d41884,Crow,14-03-2025,576.0,2,False,1,morn1,morn1_2_trial1_first_cont,LN,M,,,0,0,1,0,0,0,0,
471ae2da-d98f-40a3-b058-d04480d41884,Crow,14-03-2025,576.0,2,False,1,morn1,morn1_2_trial1_first_cont,MN,RS,,,0,0,0,1,1,0,0,
471ae2da-d98f-40a3-b058-d04480d41884,Crow,14-03-2025,576.0,2,False,1,morn1,morn1_2_trial1_first_cont,NH,E,,,1,0,0,0,0,0,0,
471ae2da-d98f-40a3-b058-d04480d41884,Crow,14-03-2025,576.0,2,False,1,morn1,morn1_2_trial1_first_cont,NR,E,,,1,0,0,0,0,0,0,
080994ed-9055-4a6d-9838-f3fa379b153c,Crow,14-03-2025,578.0,2,False,1,morn1,morn1_2_trial1_first_cont,LN,E,,,1,0,0,0,0,0,0,
080994ed-9055-4a6d-9838-f3fa379b153c,Crow,14-03-2025,578.0,2,False,1,morn1,morn1_2_trial1_first_cont,MN,RS,,,0,0,0,1,1,0,0,
