ec5_uuid,date,1_TIme,msm,Ind_1,Ind_1_Behavior,Ind_1_Contact,Ind_1_AR,Ind_1_3M,Ind_2,Ind_2_Behavior,Ind_2_Contact,Ind_2_AR,Ind_2_3M,Ind_3,Ind_3_Behavior,Ind_3_Contact,Ind_3_AR,Ind_3_3M,Ind_4,Ind_4_Behavior,Ind_4_Contact,Ind_4_AR,Ind_4_3M,condition,trial,first_day,phase,group,block_ID
c7630417-7750-4af9-9b37-cd8b29a69be5,16-04-2025,09:33,573,MS,E,,,NH,NH,RS,,,MS,MN,GG,NY,,,NY,GR,MN,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
ebf0aa42-a003-48b9-9295-04151da3562d,16-04-2025,09:35,575,MS,E,,,NH,NH,RS,,,MS,MN,RS,,,,NY,RS,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
301f936f-2be6-4cd3-bdd3-6f00d27f622f,16-04-2025,09:37,577,MS,E,,,NH,NH,RS,,,MS,MN,RS,,,,NY,M,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
a2b04628-495d-4a6d-aa06-afbedb5b9bea,16-04-2025,09:39,579,MS,E,,,NH,NH,M,,,MS,MN,DS,,,,NY,RS,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
c40920ad-2ebd-4413-98af-e730b1144a43,16-04-2025,09:41,581,MS,E,,"NH, NY",MN,NH,RS,,MS,"MN, NY",MN,GG,NY,MS,NH,NY,GR,MN,MS,NH,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
f3e5dfea-8396-4bf4-b44a-8a3d62935e7e,16-04-2025,09:43,583,MS,E,,,,NH,DS,,,,MN,RS,,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
b388a932-5026-4d93-87ee-001ce4237633,16-04-2025,09:45,585,MS,E,,,NY,NH,RS,,,,MN,RS,,,,NY,M,,,MS,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
c7609210-04a2-4934-968e-331c2e6d28d7,16-04-2025,09:47,587,MS,E,,,,NH,RS,,,,MN,RS,,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
cf801c18-4f71-45c7-9b93-fd752f9a3913,16-04-2025,09:49,589,MS,E,,,,NH,RS,,,,MN,RS,,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
501816ee-0272-417c-b4d4-db1b378fa850,16-04-2025,09:50,590,MS,E,,,,NH,RS,,,,MN,RS,,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
5e106da1-8d6b-4953-ba2a-373a38b0e26c,16-04-2025,09:53,593,MS,E,,,,NH,RS,,,,MN,RS,,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
5a16761b-d18c-47d7-9cb5-d40306666c76,16-04-2025,09:55,595,MS,RS,,,,NH,GR,MN,,,MN,GG,NH,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
b5abc0f1-f790-47cf-bea0-1a504f046122,16-04-2025,09:57,597,MS,RS,,,,NH,GM,MN,,,MN,GM,NH,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
17a9d3fc-6f80-4918-97f7-12acf9562d19,16-04-2025,09:59,599,MS,RS,,,,NH,GM,MN,,,MN,GM,NH,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
49603aa0-077b-426e-b06e-09d550dc410c,16-04-2025,10:01,601,MS,RL,,,NH,NH,SD,,,MS,MN,M,,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
dab728ec-47b9-4dfc-a457-300fda2a9313,16-04-2025,10:03,603,MS,RL,,,NH,NH,SD,,,MS,MN,M,,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
a327e5b5-607f-4444-9a4e-86e9a0994077,16-04-2025,10:05,605,MS,RL,,,NH,NH,SD,,,MS,MN,M,,,,NY,RL,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
ce027d35-6dea-40d3-8b1a-f12cdbe50fb9,16-04-2025,10:07,607,MS,RL,,,NH,NH,RS,,,MS,MN,M,,NY,,NY,M,,MN,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
d84ffa92-9fd9-4337-9620-2c55d4dfd47c,16-04-2025,10:09,609,MS,RL,,,NH,NH,RS,,,MS,MN,RS,,NY,,NY,M,,MN,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
b84e410e-b1a5-4f3e-9ea6-6df6ac2e439e,16-04-2025,10:11,611,MS,RL,,,NH,NH,RS,,,MS,MN,SD,,,NY,NY,RS,,,MN,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
369ed860-1a49-471c-b1db-ae842157355d,16-04-2025,10:13,613,MS,RL,,,NH,NH,RS,,,MS,MN,SD,,,NY,NY,RS,,,MN,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
8a4bdbf1-c8bd-4a98-a88f-348dd7f69e02,16-04-2025,10:14,614,MS,GR,MN,,NH,NH,RS,,,"MN, MS",MN,GG,MS,,NH,NY,RS,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
bb882607-53b3-4f24-91b6-7c2513cb8825,16-04-2025,10:17,617,MS,GR,MN,NH,,NH,RS,,"MN, MS",,MN,GG,MS,NH,,NY,RS,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
d856607f-6e3c-4875-aeb8-c9f5e9460b97,16-04-2025,10:19,619,MS,GR,MN,NH,,NH,RS,,"MN, MS",,MN,GG,MS,NH,,NY,RS,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
ee1a8638-82db-4bdc-8a66-44b8aa9b33f3,16-04-2025,10:21,621,MS,GR,MN,,NH,NH,RL,,,"MN, MS",MN,GG,MS,,NH,NY,RS,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
ed0cf21c-7e11-4352-9244-90ee25046a42,16-04-2025,10:23,623,MS,GR,MN,,NH,NH,RL,,,"MN, MS",MN,GG,MS,,NH,NY,RS,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
fe8e0371-0bcd-4846-92ba-d8cdb2f8cd53,16-04-2025,10:25,625,MS,GR,MN,,NH,NH,RL,,,"MN, MS",MN,GG,MS,,NH,NY,RS,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
26590f2f-5dd2-4918-86e2-4860238dfe6c,16-04-2025,10:27,627,MS,RS,,,NH,NH,RS,,,MS,MN,RS,,,NY,NY,RS,,,MN,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
7f3cc488-c2ac-4339-8f94-37c56247900d,16-04-2025,10:29,629,MS,M,,,,NH,RS,,,,MN,DS,,,,NY,M,,,,Crow,4,True,morn1,A_3,morn1_A_3_trial4_first_cont
9e7f4adf-46b9-4050-90ff-ad45ab1c7ff0,16-04-2025,10:53,653,MS,M,,,,NH,AG,"MN, NY",,,MN,AG,"NH, NY",,,NY,AG,"NH, MN",,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
1c807d5f-f6ee-4f99-8262-7093058d0410,16-04-2025,10:56,656,MS,RS,,,,NH,M,,,,MN,M,,,,NY,RL,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
96b5bc45-609a-4e46-942d-899748f2e30b,16-04-2025,10:57,657,MS,DS,,,,NH,DS,,,"MN, NY",MN,DS,,,"NH, NY",NY,DS,,,"NH, MN",Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
ff813c1d-5619-460a-aec6-ff3b486f19ae,16-04-2025,10:59,659,MS,RS,,,,NH,RS,,,MN,MN,SD,,,NH,NY,RS,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
436694f7-439c-4953-8e57-85d27f8d94e7,16-04-2025,11:01,661,MS,RS,,,NH,NH,RS,,,MS,MN,RS,,,,NY,RS,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
093468c4-ae83-46e9-8cfa-79496fa9c324,16-04-2025,11:03,663,MS,RL,,NH,,NH,RS,,MS,,MN,RS,,,,NY,RL,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
858119a9-8b2f-402b-8d07-6e93eb910c2c,16-04-2025,11:05,665,MS,RL,,NH,,NH,RS,,MS,,MN,RS,,,,NY,RL,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
1ae8da86-b42b-4ec7-ad11-3f9d39d2fea4,16-04-2025,11:07,667,MS,RL,,NH,,NH,RS,,MS,,MN,RS,,,,NY,RL,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
b866ef00-6ade-40bf-b757-75ba243e0c34,16-04-2025,11:09,669,MS,RS,,NH,,NH,RS,,MS,,MN,M,,,,NY,RL,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
90cc271f-9a73-43a1-96bf-0f7319bd60a1,16-04-2025,11:10,670,MS,RS,,NH,,NH,RS,,MS,,MN,M,,,,NY,RL,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
0afb0986-89a7-49ce-b882-255b35529340,16-04-2025,11:13,673,MS,RS,,NH,,NH,RS,,MS,,MN,M,,,,NY,RL,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
8d9ea1d9-dca5-4215-b41f-08a84740df91,16-04-2025,11:15,675,MS,RL,,NH,,NH,RS,,MS,,MN,M,,,,NY,M,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
32d0e847-e0dd-444d-a3b8-25e1cce0b6bb,16-04-2025,11:16,676,MS,RL,,NH,,NH,SD,,MS,,MN,RS,,,,NY,RS,,,,Crow,4,True,morn2,A_3,morn2_A_3_trial4_first_cont
