ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,behaviour,qualifier,partner,eating,playing,moving,resting,sitting,self_direct,grooming
c7630417-7750-4af9-9b37-cd8b29a69be5,Crow,16-04-2025,573,A_3,4,morn1,morn1_A_3_trial4_first_cont,MS,E,,,1,0,0,0,0,0,0
c7630417-7750-4af9-9b37-cd8b29a69be5,Crow,16-04-2025,573,A_3,4,morn1,morn1_A_3_trial4_first_cont,NH,RS,,,0,0,0,1,1,0,0
c7630417-7750-4af9-9b37-cd8b29a69be5,Crow,16-04-2025,573,A_3,4,morn1,morn1_A_3_trial4_first_cont,MN,G,G,NY,0,0,0,0,0,0,1
c7630417-7750-4af9-9b37-cd8b29a69be5,Crow,16-04-2025,573,A_3,4,morn1,morn1_A_3_trial4_first_cont,NY,G,R,MN,0,0,0,0,0,0,1
ebf0aa42-a003-48b9-9295-04151da3562d,Crow,16-04-2025,575,A_3,4,morn1,morn1_A_3_trial4_first_cont,MS,E,,,1,0,0,0,0,0,0
ebf0aa42-a003-48b9-9295-04151da3562d,Crow,16-04-2025,575,A_3,4,morn1,morn1_A_3_trial4_first_cont,NH,RS,,,0,0,0,1,1,0,0
ebf0aa42-a003-48b9-9295-04151da3562d,Crow,16-04-2025,575,A_3,4,morn1,morn1_A_3_trial4_first_cont,MN,RS,,,0,0,0,1,1,0,0
ebf0aa42-a003-48b9-9295-04151da3562d,Crow,16-04-2025,575,A_3,4,morn1,morn1_A_3_trial4_first_cont,NY,RS,,,0,0,0,1,1,0,0
301f936f-2be6-4cd3-bdd3-6f00d27f622f,Crow,16-04-2025,577,A_3,4,morn1,morn1_A_3_trial4_first_cont,MS,E,,,1,0,0,0,0,0,0
301f936f-2be6-4cd3-bdd3-6f00d27f622f,Crow,16-04-2025,577,A_3,4,morn1,morn1_A_3_trial4_first_cont,NH,RS,,,0,0,0,1,1,0,0
301f936f-2be6-4cd3-bdd3-6f00d27f622f,Crow,16-04-2025,577,A_3,4,morn1,morn1_A_3_trial4_first_cont,MN,RS,,,0,0,0,1,1,0,0
301f936f-2be6-4cd3-bdd3-6f00d27f622f,Crow,16-04-2025,577,A_3,4,morn1,morn1_A_3_trial4_first_cont,NY,M,,,0,0,1,0,0,0,0
a2b04628-495d-4a6d-aa06-afbedb5b9bea,Crow,16-04-2025,579,A_3,4,morn1,morn1_A_3_trial4_first_cont,MS,E,,,1,0,0,0,0,0,0
a2b04628-495d-4a6d-aa06-afbedb5b9bea,Crow,16-04-2025,579,A_3,4,morn1,morn1_A_3_trial4_first_cont,NH,M,,,0,0,1,0,0,0,0
a2b04628-495d-4a6d-aa06-afbedb5b9bea,Crow,16-04-2025,579,A_3,4,morn1,morn1_A_3_trial4_first_cont,NY,RS,,,0,0,0,1,1,0,0
c40920ad-2ebd-4413-98af-e730b1144a43,Crow,16-04-2025,581,A_3,4,morn1,morn1_A_3_trial4_first_cont,MS,E,,,1,0,0,0,0,0,0
c40920ad-2ebd-4413-98af-e730b1144a43,Crow,16-04-2025,581,A_3,4,morn1,morn1_A_3_trial4_first_cont,NH,RS,,,0,0,0,1,1,0,0
c40920ad-2ebd-4413-98af-e730b1144a43,Crow,16-04-2025,581,A_3,4,morn1,morn1_A_3_trial4_first_cont,MN,G,G,NY,0,0,0,0,0,0,1
c40920ad-2ebd-4413-98af-e730b1144a43,Crow,16-04-2025,581,A_3,4,morn1,morn1_A_3_trial4_first_cont,NY,G,R,MN,0,0,0,0,0,0,1
f3e5dfea-8396-4bf4-b44a-8a3d62935e7e,Crow,16-04-2025,583,A_3,4,morn1,morn1_A_3_trial4_first_cont,MS,E,,,1,0,0,0,0,0,0
