ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,MS_Notes,Ind_2(ST),ST_Behavior,ST_Contact,ST_AR,ST_3M,ST_Notes,Ind_3(NH),NH_Behavior,NH_Contact,NH_AR,NH_3M,NH_Notes,Ind_4(LN),LN_Behavior,LN_Contact,LN_AR,LN_3M,LN_Notes,Ind_5(NR),NR_Behavior,NR_Contact,NR_AR,NR_3M,NR_Notes,Ind_6(MN),MN_Behavior,MN_Contact,MN_AR,MN_3M,MN_Notes,Ind_7(NY),NY_Behavior,NY_Contact,NY_AR,NY_3M,NY_Notes,condition,trial,first_day,phase,group,is_all_occasions,block_ID
c2021bc8-d46f-47e4-8a32-24726700a0b6,12-03-2025,1900-01-01 14:03:00,843,843.0,MS,,,,,,ST,,,,,,NH,DS,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
c2021bc8-d46f-47e4-8a32-24726700a0b6,12-03-2025,1900-01-01 14:03:00,843,,MS,,,,,,ST,,,,,,NH,DS,,,,Pan hoot with stick,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,,1,False,_1_trial1_sec_play
7e373872-3d0f-4779-889f-01102d52128e,12-03-2025,1900-01-01 14:05:00,845,845.0,MS,,,,,,ST,,,,,,NH,DS,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
ecfc7357-f1d3-4a3e-9c03-68040660035b,12-03-2025,1900-01-01 14:07:00,847,847.0,MS,,,,,,ST,DS,,NH,,,NH,DS,,ST,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
ecfc7357-f1d3-4a3e-9c03-68040660035b,12-03-2025,1900-01-01 14:07:00,847,,MS,,,,,,ST,DS,,NH,,Towards cage c,NH,DS,,ST,,Towards cage c,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,,1,False,_1_trial1_sec_play
9de25b42-d6c4-4733-b67e-5080ea954b05,12-03-2025,1900-01-01 14:09:00,849,849.0,MS,,,,,,ST,DS,,NH,,,NH,DS,,ST,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
7042277d-2331-47be-9021-80a990a01672,12-03-2025,1900-01-01 14:21:00,861,861.0,MS,,,,,,ST,,,,,Looking at aggressions in cage c,NH,DS,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
eb57ce1a-0fc2-4b11-bece-1a215981a5a6,12-03-2025,1900-01-01 14:27:00,867,867.0,MS,PL,,NH,,,ST,,,,,,NH,PL,MS,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
eb57ce1a-0fc2-4b11-bece-1a215981a5a6,12-03-2025,1900-01-01 14:27:00,867,,MS,PL,,NH,,,ST,,,,,,NH,PL,MS,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,,1,False,_1_trial1_sec_play
8990c4d8-5028-4750-bd62-d9a5a9c7316e,12-03-2025,1900-01-01 14:29:00,869,869.0,MS,PL,,"ST, NH",,,ST,PL,,"MS, NH",,,NH,PL,,"MS, ST",,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
8990c4d8-5028-4750-bd62-d9a5a9c7316e,12-03-2025,1900-01-01 14:29:00,869,,MS,PL,,"ST, NH",,,ST,PL,,"MS, NH",,,NH,PL,,"MS, ST",,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,,1,False,_1_trial1_sec_play
22280968-7cb0-46e1-b88a-e0a56934f328,12-03-2025,1900-01-01 14:35:00,875,875.0,MS,PL,ST,,,,ST,PL,MS,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
22280968-7cb0-46e1-b88a-e0a56934f328,12-03-2025,1900-01-01 14:35:00,875,,MS,PL,ST,,,,ST,PL,MS,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,,1,False,_1_trial1_sec_play
2798817d-708f-48c2-8a1b-c57dcac4b1e2,12-03-2025,1900-01-01 14:37:00,877,877.0,MS,PL,ST,,,,ST,PL,MS,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
2798817d-708f-48c2-8a1b-c57dcac4b1e2,12-03-2025,1900-01-01 14:37:00,877,,MS,PL,ST,,,,ST,PL,MS,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,,1,False,_1_trial1_sec_play
e374d507-c698-46b2-ac5d-3d12fd2b12cd,12-03-2025,1900-01-01 14:39:00,879,879.0,MS,PL,ST,,,,ST,PL,MS,,,,NH,,,,,,LN,,,,,,NR,,,,,,MN,,,,,,NY,,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
