ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MZ),MZ_Behavior,MZ_Contact,MZ_AR,MZ_3M,Ind_2(SB),SB_Behavior,SB_Contact,SB_AR,SB_3M,Ind_3(GG),GG_Behavior,GG_Contact,GG_AR,GG_3M,Ind_4(TN),TN_Behavior,TN_Contact,TN_AR,TN_3M,Ind_5(SR),SR_Behavior,SR_Contact,SR_AR,SR_3M,condition,trial,first_day,phase,group,is_all_occasions,block_ID
c5b01296-f01e-4d25-a948-4859bfe00914,11-03-2025,1900-01-01 09:31:00,571,570.0,MZ,E,,,,SB,E,,,,GG,,,,,TN,,,,,SR,,,,,Playback,1,True,morn1,1,False,morn1_1_trial1_first_play
95bd6f72-e308-44c0-8632-dbdbf6908795,11-03-2025,1900-01-01 09:33:00,573,572.0,MZ,E,,TN,,SB,E,,,MZ,GG,,,,,TN,,,,MZ,SR,,,,,Playback,1,True,morn1,1,False,morn1_1_trial1_first_play
72615090-001b-498f-ac5a-8c9106e74fcb,11-03-2025,1900-01-01 09:35:00,575,574.0,MZ,M,,,,SB,E,,,,GG,,,,,TN,,,,,SR,,,,,Playback,1,True,morn1,1,False,morn1_1_trial1_first_play
211266c2-ce39-452e-b4e3-ae1660052c49,11-03-2025,1900-01-01 09:38:00,578,578.0,MZ,M,,,,SB,E,,,,GG,,,,,TN,,,,,SR,,,,,Playback,1,True,morn1,1,False,morn1_1_trial1_first_play
b4d5dc59-cfb1-40b4-93d3-e20fe38cd9ab,11-03-2025,1900-01-01 09:44:00,584,584.0,MZ,E,,,,SB,E,,,,GG,,,,,TN,E,,,,SR,,,,,Playback,1,True,morn1,1,False,morn1_1_trial1_first_play
5f60f63a-b682-41eb-be25-c07ddb5c42a0,11-03-2025,1900-01-01 09:48:00,588,588.0,MZ,M,,,,SB,E,,,,GG,,,,,TN,E,,,,SR,,,,,Playback,1,True,morn1,1,False,morn1_1_trial1_first_play
9f066fb3-b1a0-40c9-bca5-b2abb3ed4303,11-03-2025,1900-01-01 09:50:00,590,590.0,MZ,RS,,,SB,SB,E,,,MZ,GG,,,,,TN,,,,,SR,,,,,Playback,1,True,morn1,1,False,morn1_1_trial1_first_play
2f779b46-8a12-4f83-b46a-2de143d084ce,11-03-2025,1900-01-01 09:52:00,592,592.0,MZ,RS,,,SB,SB,E,,,MZ,GG,,,,,TN,,,,,SR,,,,,Playback,1,True,morn1,1,False,morn1_1_trial1_first_play
152eb63d-68da-45ef-bbc2-f97896d41356,11-03-2025,1900-01-01 09:53:00,593,594.0,MZ,RS,,,,SB,RS,,,,GG,,,,,TN,,,,,SR,,,,,Playback,1,True,morn1,1,False,morn1_1_trial1_first_play
b42e0e00-3620-45fa-af50-ab4bb0785bff,11-03-2025,1900-01-01 09:56:00,596,596.0,MZ,RS,,,,SB,RS,,,,GG,,,,,TN,RS,,,,SR,,,,,Playback,1,True,morn1,1,False,morn1_1_trial1_first_play
