ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,behaviour,qualifier,partner,eating,playing,moving,resting,sitting,self_direct,grooming
c5b01296-f01e-4d25-a948-4859bfe00914,Playback,11-03-2025,571,C_1,1,morn1,morn1_C_1_trial1_first_play,MZ,E,,,1,0,0,0,0,0,0
c5b01296-f01e-4d25-a948-4859bfe00914,Playback,11-03-2025,571,C_1,1,morn1,morn1_C_1_trial1_first_play,SB,E,,,1,0,0,0,0,0,0
95bd6f72-e308-44c0-8632-dbdbf6908795,Playback,11-03-2025,573,C_1,1,morn1,morn1_C_1_trial1_first_play,MZ,E,,,1,0,0,0,0,0,0
95bd6f72-e308-44c0-8632-dbdbf6908795,Playback,11-03-2025,573,C_1,1,morn1,morn1_C_1_trial1_first_play,SB,E,,,1,0,0,0,0,0,0
72615090-001b-498f-ac5a-8c9106e74fcb,Playback,11-03-2025,575,C_1,1,morn1,morn1_C_1_trial1_first_play,MZ,M,,,0,0,1,0,0,0,0
72615090-001b-498f-ac5a-8c9106e74fcb,Playback,11-03-2025,575,C_1,1,morn1,morn1_C_1_trial1_first_play,SB,E,,,1,0,0,0,0,0,0
211266c2-ce39-452e-b4e3-ae1660052c49,Playback,11-03-2025,578,C_1,1,morn1,morn1_C_1_trial1_first_play,MZ,M,,,0,0,1,0,0,0,0
211266c2-ce39-452e-b4e3-ae1660052c49,Playback,11-03-2025,578,C_1,1,morn1,morn1_C_1_trial1_first_play,SB,E,,,1,0,0,0,0,0,0
b4d5dc59-cfb1-40b4-93d3-e20fe38cd9ab,Playback,11-03-2025,584,C_1,1,morn1,morn1_C_1_trial1_first_play,MZ,E,,,1,0,0,0,0,0,0
b4d5dc59-cfb1-40b4-93d3-e20fe38cd9ab,Playback,11-03-2025,584,C_1,1,morn1,morn1_C_1_trial1_first_play,SB,E,,,1,0,0,0,0,0,0
b4d5dc59-cfb1-40b4-93d3-e20fe38cd9ab,Playback,11-03-2025,584,C_1,1,morn1,morn1_C_1_trial1_first_play,TN,E,,,1,0,0,0,0,0,0
5f60f63a-b682-41eb-be25-c07ddb5c42a0,Playback,11-03-2025,588,C_1,1,morn1,morn1_C_1_trial1_first_play,MZ,M,,,0,0,1,0,0,0,0
5f60f63a-b682-41eb-be25-c07ddb5c42a0,Playback,11-03-2025,588,C_1,1,morn1,morn1_C_1_trial1_first_play,SB,E,,,1,0,0,0,0,0,0
5f60f63a-b682-41eb-be25-c07ddb5c42a0,Playback,11-03-2025,588,C_1,1,morn1,morn1_C_1_trial1_first_play,TN,E,,,1,0,0,0,0,0,0
