ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MZ),MZ_Behavior,MZ_Contact,MZ_AR,MZ_3M,Ind_2(SB),SB_Behavior,SB_Contact,SB_AR,SB_3M,Ind_3(GG),GG_Behavior,GG_Contact,GG_AR,GG_3M,Ind_4(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,condition,trial,first_day,phase,group,block_ID
1658b058-e889-4bdb-b22f-016e8b67e48a,23-03-2025,1900-01-01 09:37:00,577,576.0,MZ,M,,,GG,SB,M,,,MS,GG,E,,,"MZ, MS",MS,E,,,"GG, SB",Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
f5262488-2c06-452b-b18c-606ca025ea6b,23-03-2025,1900-01-01 09:39:00,579,578.0,MZ,M,,,,SB,E,,"GG, MS",,GG,E,,"MS, SB",,MS,E,,"SB, GG",,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
080448ff-7653-44b3-9788-e96a310bd093,23-03-2025,1900-01-01 09:41:00,581,580.0,MZ,M,,,,SB,E,,"GG, MS",,GG,E,,"MS, SB",,MS,E,,"SB, GG",,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
4047ba9f-f30b-4651-b153-bf37d41887e4,23-03-2025,1900-01-01 09:43:00,583,582.0,MZ,E,,,,SB,E,,"MS, GG",,GG,E,,"MS, SB",,MS,E,,"SB, GG",,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
42c38470-940f-4956-a2e5-1891b7b86217,23-03-2025,1900-01-01 09:45:00,585,584.0,MZ,E,,,,SB,E,,"MS, GG",,GG,E,,"MS, SB",,MS,E,,"SB, GG",,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
b88c7e84-f0c6-4a80-8fcd-1890d4283814,23-03-2025,1900-01-01 09:47:00,587,586.0,MZ,RS,,,,SB,E,,"MS, GG",,GG,E,,"MS, SB",,MS,E,,"SB, GG",,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
a5454f97-446a-408c-8919-25f6f0f4b6ce,23-03-2025,1900-01-01 09:49:00,589,588.0,MZ,RS,,,,SB,E,,"MS, GG",,GG,E,,"MS, SB",,MS,E,,"SB, GG",,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
563f1c42-f46d-4835-883a-53cf187a63dd,23-03-2025,1900-01-01 09:51:00,591,590.0,MZ,RS,,,,SB,E,,"MS, GG",,GG,E,,"MS, SB",,MS,E,,"SB, GG",,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
ad039edc-1539-4543-9d4f-9b0cd900399e,23-03-2025,1900-01-01 09:53:00,593,592.0,MZ,SD,,,,SB,E,,MS,,GG,M,,,,MS,E,,SB,,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
a9dc02df-86c5-4e85-97cd-22025c23fbc7,23-03-2025,1900-01-01 09:55:00,595,594.0,MZ,RS,,,,SB,E,,"MS, GG",,GG,E,,"SB, MS",,MS,E,,"SB, GG",,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
bac3c024-7011-4ce6-ba45-d26307732912,23-03-2025,1900-01-01 09:57:00,597,596.0,MZ,RS,,,,SB,E,,"MS, GG",,GG,E,,"SB, MS",,MS,E,,"SB, GG",,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
402e7c9c-aec6-446e-aee0-11b9b9729052,23-03-2025,1900-01-01 09:59:00,599,598.0,MZ,SD,,,,SB,M,,,,GG,E,,MS,,MS,E,,GG,,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
cb2fca25-d5aa-48a6-ae03-de3faa583dc3,23-03-2025,1900-01-01 10:01:00,601,600.0,MZ,SD,,,,SB,E,,GG,MS,GG,E,,,"SB, MS",MS,E,,GG,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
300e21c8-0426-40c8-b3ec-bfb560e95beb,23-03-2025,1900-01-01 10:03:00,603,602.0,MZ,SD,,,,SB,E,,GG,MS,GG,E,,,"SB, MS",MS,E,,GG,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
52a3ef5d-9cd3-4fbc-999f-5df53de8ac61,23-03-2025,1900-01-01 10:05:00,605,604.0,MZ,SD,,,,SB,E,,GG,MS,GG,E,,,"SB, MS",MS,E,,GG,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
7aa379d0-b033-48ab-86e4-b1caf94654d3,23-03-2025,1900-01-01 10:07:00,607,606.0,MZ,SD,,,,SB,E,,GG,MS,GG,E,,,"SB, MS",MS,E,,GG,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
82a93046-f8eb-478f-a8e4-cb724201594f,23-03-2025,1900-01-01 10:09:00,609,608.0,MZ,SD,,,,SB,E,,GG,MS,GG,E,,,"SB, MS",MS,E,,GG,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
2c527392-520e-4895-8f42-3e742320664b,23-03-2025,1900-01-01 10:11:00,611,610.0,MZ,SD,,,,SB,E,,GG,MS,GG,E,,,"SB, MS",MS,E,,GG,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
86bb52c2-9669-439c-9258-43af3a12001f,23-03-2025,1900-01-01 10:13:00,613,612.0,MZ,SD,,,,SB,E,,GG,MS,GG,E,,,"SB, MS",MS,E,,GG,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
49cf1518-65b8-41fa-9b49-8d4db9b10eab,23-03-2025,1900-01-01 10:15:00,615,614.0,MZ,SD,,,,SB,E,,GG,MS,GG,E,,,"SB, MS",MS,E,,GG,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
240bb034-a940-4a81-b1a6-668430bfd3a7,23-03-2025,1900-01-01 10:17:00,617,616.0,MZ,SD,,,,SB,E,,GG,MS,GG,E,,,"SB, MS",MS,E,,GG,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
30330f5e-ff69-4f48-8917-2b9c2481f5bf,23-03-2025,1900-01-01 10:19:00,619,618.0,MZ,SD,,,,SB,E,,GG,MS,GG,E,,,"SB, MS",MS,E,,GG,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
1f3049cb-bf85-4752-818d-5937428155cf,23-03-2025,1900-01-01 10:21:00,621,620.0,MZ,RS,,,,SB,E,,,MS,GG,M,,,,MS,E,,,SB,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
f6e8da2c-7c66-49b8-bcc6-f3a6e7d31d78,23-03-2025,1900-01-01 10:23:00,623,622.0,MZ,RS,,,,SB,E,,,"MS, GG",GG,E,,,"MS, SB",MS,E,,,"SB, GG",Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
8b6d5563-51fb-46e9-b6ab-87b1c171d64d,23-03-2025,1900-01-01 10:25:00,625,624.0,MZ,SD,,,,SB,E,,"MS, GG",,GG,E,,"MS, SB",,MS,E,,"GG, SB",,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
ee944419-8297-448d-b035-16411cd6c1b4,23-03-2025,1900-01-01 10:27:00,627,626.0,MZ,RS,,,,SB,RS,,,,GG,E,,MS,,MS,E,,GG,,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
9341c720-64db-4c7d-b189-7c88af3752e7,23-03-2025,1900-01-01 10:29:00,629,628.0,MZ,RS,,,,SB,RS,,,,GG,E,,MS,,MS,E,,GG,,Playback,2,True,morn1,C_2,morn1_C_2_trial2_first_play
8fdadb63-0c68-4183-9d64-51b8273a68ad,23-03-2025,1900-01-01 10:47:00,647,647.0,MZ,RS,,,,SB,RS,,,,GG,RS,,,,MS,RS,,,,Playback,2,True,morn2,C_2,morn2_C_2_trial2_first_play
6caa008a-bb94-4e1b-868c-32d94d5d32db,23-03-2025,1900-01-01 10:49:00,649,649.0,MZ,RL,,,,SB,RS,,,,GG,DS,,,,MS,RS,,,,Playback,2,True,morn2,C_2,morn2_C_2_trial2_first_play
72517924-12ab-470d-859a-da0fca38c2bb,23-03-2025,1900-01-01 10:51:00,651,651.0,MZ,RL,,,,SB,RS,,,,GG,GG,MS,,,MS,GR,GG,,,Playback,2,True,morn2,C_2,morn2_C_2_trial2_first_play
