ec5_uuid,date,1_TIme,msm,corrected_msm,Ind_1(MZ),MZ_Behavior,MZ_Contact,MZ_AR,MZ_3M,Ind_2(SB),SB_Behavior,SB_Contact,SB_AR,SB_3M,Ind_3(GG),GG_Behavior,GG_Contact,GG_AR,GG_3M,Ind_4(TN),TN_Behavior,TN_Contact,TN_AR,TN_3M,Ind_5(SR),SR_Behavior,SR_Contact,SR_AR,SR_3M,Ind_6(MS),MS_Behavior,MS_Contact,MS_AR,MS_3M,Ind_7(LN),LN_Behavior,LN_Contact,LN_AR,LN_3M,Ind_8(NR),NR_Behavior,NR_Contact,NR_AR,NR_3M,condition,trial,first_day,phase,group,is_all_occasions,block_ID
1daa4067-72f7-498f-8863-18d37a10fef5,12-03-2025,1900-01-01 14:18:00,858,857.0,MZ,AG,SR,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,1,False,enrich,1,False,enrich_1_trial1_sec_play
0ab79a15-8172-40ea-9cc5-bc35594d4ebf,04-04-2025,1900-01-01 11:22:00,682,681.0,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
ed40c3cb-1880-4b19-aba2-5a6711a54048,04-04-2025,1900-01-01 11:24:00,684,683.0,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
954492ca-1553-45ea-a109-50c9adce65aa,04-04-2025,1900-01-01 11:26:00,686,685.0,MZ,DS,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
954492ca-1553-45ea-a109-50c9adce65aa,04-04-2025,1900-01-01 11:26:00,686,687.0,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,DS,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
5281e1ee-e9be-4c12-8de1-245179b0bafd,04-04-2025,1900-01-01 11:28:00,688,689.0,MZ,DS,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
5281e1ee-e9be-4c12-8de1-245179b0bafd,04-04-2025,1900-01-01 11:28:00,688,,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,DS,,,,Playback,3,False,,3,False,_3_trial3_sec_play
2231b58b-fb10-4a89-9c06-c9cd31e78c93,04-04-2025,1900-01-01 11:30:00,690,691.0,MZ,DS,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
2231b58b-fb10-4a89-9c06-c9cd31e78c93,04-04-2025,1900-01-01 11:30:00,690,,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,DS,,,,Playback,3,False,,3,False,_3_trial3_sec_play
d3991c58-5c27-46e9-97c7-f21353189ebe,04-04-2025,1900-01-01 11:32:00,692,693.0,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,DS,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
1b38d355-7448-485a-b1ee-80b9faffe9cc,04-04-2025,1900-01-01 11:36:00,696,695.0,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,DS,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
963f9db0-45f6-44ad-8c3b-16958d610ac6,04-04-2025,1900-01-01 11:36:00,696,697.0,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,DS,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
df28a9af-e70b-4104-9dca-67cd82570f0c,04-04-2025,1900-01-01 11:38:00,698,699.0,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,DS,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
005113c1-9628-41ed-add0-0b2f0bf383b8,04-04-2025,1900-01-01 11:40:00,700,701.0,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,DS,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
dc528e35-37e0-450f-a271-31be3c0b4913,04-04-2025,1900-01-01 11:42:00,702,703.0,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,DS,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
11a22ea1-6708-4eba-807a-1b2d6e4642c1,04-04-2025,1900-01-01 11:44:00,704,705.0,MZ,PL,,NR,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,3,False,morn2,3,False,morn2_3_trial3_sec_play
11a22ea1-6708-4eba-807a-1b2d6e4642c1,04-04-2025,1900-01-01 11:44:00,704,,MZ,,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,PL,,MZ,,Playback,3,False,,3,False,_3_trial3_sec_play
d39a1d58-f5df-4baa-bd70-2ee5b1ee1c92,04-04-2025,1900-01-01 14:11:00,851,851.0,MZ,DS,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,3,False,enrich,3,False,enrich_3_trial3_sec_play
b47b6642-3664-49ec-9577-91a85d38226a,04-04-2025,1900-01-01 14:13:00,853,853.0,MZ,DS,,,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Playback,3,False,enrich,3,False,enrich_3_trial3_sec_play
e64681dd-f356-48d1-9b8b-98e47d1d3fb8,08-04-2025,1900-01-01 09:33:00,573,572.0,MZ,PL,,SB,,SB,,,,,GG,,,,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,3,True,morn1,1,False,morn1_1_trial3_first_cont
571d3a81-56f3-46d4-aa4d-756ac5d19863,08-04-2025,1900-01-01 09:53:00,593,592.0,MZ,,,,,SB,,,,,GG,PL,,TN,,TN,,,,,SR,,,,,MS,,,,,LN,,,,,NR,,,,,Crow,3,True,morn1,1,False,morn1_1_trial3_first_cont
