ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
c2021bc8-d46f-47e4-8a32-24726700a0b6,Playback,2025-03-12,843,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,DS,,,0,1,0,0,0,0,1,0,0,0
c2021bc8-d46f-47e4-8a32-24726700a0b6,Playback,2025-03-12,843,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,DS,,Pan hoot with stick,0,1,0,0,0,0,1,0,0,0
7e373872-3d0f-4779-889f-01102d52128e,Playback,2025-03-12,845,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,DS,,,0,1,0,0,0,0,1,0,0,0
ecfc7357-f1d3-4a3e-9c03-68040660035b,Playback,2025-03-12,847,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,DS,NH,,0,1,0,0,0,0,1,0,0,0
ecfc7357-f1d3-4a3e-9c03-68040660035b,Playback,2025-03-12,847,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,DS,ST,,0,1,0,0,0,0,1,0,0,0
ecfc7357-f1d3-4a3e-9c03-68040660035b,Playback,2025-03-12,847,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,DS,NH,Towards cage c,0,1,0,0,0,0,1,0,0,0
ecfc7357-f1d3-4a3e-9c03-68040660035b,Playback,2025-03-12,847,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,DS,ST,Towards cage c,0,1,0,0,0,0,1,0,0,0
9de25b42-d6c4-4733-b67e-5080ea954b05,Playback,2025-03-12,849,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,DS,NH,,0,1,0,0,0,0,1,0,0,0
9de25b42-d6c4-4733-b67e-5080ea954b05,Playback,2025-03-12,849,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,DS,ST,,0,1,0,0,0,0,1,0,0,0
7042277d-2331-47be-9021-80a990a01672,Playback,2025-03-12,861,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,DS,,,0,1,0,0,0,0,1,0,0,0
eb57ce1a-0fc2-4b11-bece-1a215981a5a6,Playback,2025-03-12,867,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,NH,,1,0,0,0,0,0,0,1,0,0
eb57ce1a-0fc2-4b11-bece-1a215981a5a6,Playback,2025-03-12,867,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,PL,MS,,1,0,0,0,0,0,0,1,0,0
eb57ce1a-0fc2-4b11-bece-1a215981a5a6,Playback,2025-03-12,867,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,NH,,1,0,0,0,0,0,0,1,0,0
eb57ce1a-0fc2-4b11-bece-1a215981a5a6,Playback,2025-03-12,867,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,PL,MS,,1,0,0,0,0,0,0,1,0,0
8990c4d8-5028-4750-bd62-d9a5a9c7316e,Playback,2025-03-12,869,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,"ST, NH",,1,0,0,0,0,0,0,1,0,0
8990c4d8-5028-4750-bd62-d9a5a9c7316e,Playback,2025-03-12,869,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,"MS, NH",,1,0,0,0,0,0,0,1,0,0
8990c4d8-5028-4750-bd62-d9a5a9c7316e,Playback,2025-03-12,869,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,PL,"MS, ST",,1,0,0,0,0,0,0,1,0,0
8990c4d8-5028-4750-bd62-d9a5a9c7316e,Playback,2025-03-12,869,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,"ST, NH",,1,0,0,0,0,0,0,1,0,0
8990c4d8-5028-4750-bd62-d9a5a9c7316e,Playback,2025-03-12,869,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,"MS, NH",,1,0,0,0,0,0,0,1,0,0
8990c4d8-5028-4750-bd62-d9a5a9c7316e,Playback,2025-03-12,869,1,True,1,enrich,False,enrich_1_trial1_sec_play,NH,PL,"MS, ST",,1,0,0,0,0,0,0,1,0,0
22280968-7cb0-46e1-b88a-e0a56934f328,Playback,2025-03-12,875,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
22280968-7cb0-46e1-b88a-e0a56934f328,Playback,2025-03-12,875,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
22280968-7cb0-46e1-b88a-e0a56934f328,Playback,2025-03-12,875,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
22280968-7cb0-46e1-b88a-e0a56934f328,Playback,2025-03-12,875,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
2798817d-708f-48c2-8a1b-c57dcac4b1e2,Playback,2025-03-12,877,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
2798817d-708f-48c2-8a1b-c57dcac4b1e2,Playback,2025-03-12,877,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
2798817d-708f-48c2-8a1b-c57dcac4b1e2,Playback,2025-03-12,877,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
2798817d-708f-48c2-8a1b-c57dcac4b1e2,Playback,2025-03-12,877,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
e374d507-c698-46b2-ac5d-3d12fd2b12cd,Playback,2025-03-12,879,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
e374d507-c698-46b2-ac5d-3d12fd2b12cd,Playback,2025-03-12,879,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
e374d507-c698-46b2-ac5d-3d12fd2b12cd,Playback,2025-03-12,879,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
e374d507-c698-46b2-ac5d-3d12fd2b12cd,Playback,2025-03-12,879,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
7814adef-1d0d-45b6-b431-04d4ddee7b74,Playback,2025-03-12,881,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
7814adef-1d0d-45b6-b431-04d4ddee7b74,Playback,2025-03-12,881,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
7814adef-1d0d-45b6-b431-04d4ddee7b74,Playback,2025-03-12,881,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
7814adef-1d0d-45b6-b431-04d4ddee7b74,Playback,2025-03-12,881,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
18d2059f-0ab6-4768-9201-af2906e3e05a,Playback,2025-03-12,883,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
18d2059f-0ab6-4768-9201-af2906e3e05a,Playback,2025-03-12,883,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
18d2059f-0ab6-4768-9201-af2906e3e05a,Playback,2025-03-12,883,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
18d2059f-0ab6-4768-9201-af2906e3e05a,Playback,2025-03-12,883,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
db2628fe-4b78-44c8-a4e7-5dfcb547086e,Playback,2025-03-12,885,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
db2628fe-4b78-44c8-a4e7-5dfcb547086e,Playback,2025-03-12,885,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
db2628fe-4b78-44c8-a4e7-5dfcb547086e,Playback,2025-03-12,885,1,True,1,enrich,False,enrich_1_trial1_sec_play,MS,PL,ST,,1,0,0,0,0,0,0,1,0,0
db2628fe-4b78-44c8-a4e7-5dfcb547086e,Playback,2025-03-12,885,1,True,1,enrich,False,enrich_1_trial1_sec_play,ST,PL,MS,,1,0,0,0,0,0,0,1,0,0
f6a68a06-652d-473b-bd08-4c8d4ae64ae0,Crow,2025-04-08,820,1,True,3,enrich,True,enrich_1_trial3_first_cont,ST,DS,,St scream and display,0,1,0,0,0,0,1,0,0,0
eb5879d6-a1cb-4427-b504-bf898f0b36fb,Crow,2025-04-09,581,1,True,3,morn1,False,morn1_1_trial3_sec_cont,NH,DS,,Displayed few seconds before,0,1,1,0,0,0,0,0,0,0
0ce95d64-9caa-4392-bd9a-ea5f9f9e9e1b,Crow,2025-04-09,615,1,True,3,morn1,False,morn1_1_trial3_sec_cont,ST,DS,,Displayed 20 seconds ago,0,1,1,0,0,0,0,0,0,0
0ce95d64-9caa-4392-bd9a-ea5f9f9e9e1b,Crow,2025-04-09,615,1,True,3,morn1,False,morn1_1_trial3_sec_cont,ST,DS,,Displayed 20 seconds ago,0,1,1,0,0,0,0,0,0,0
483f107a-e0b2-437f-8a16-7e5521a46444,Crow,2025-04-09,618,1,True,3,morn1,False,morn1_1_trial3_sec_cont,ST,DS,,,0,1,1,0,0,0,0,0,0,0
483f107a-e0b2-437f-8a16-7e5521a46444,Crow,2025-04-09,618,1,True,3,morn1,False,morn1_1_trial3_sec_cont,ST,DS,,,0,1,1,0,0,0,0,0,0,0
324aa967-b85a-47d9-9ed9-eb3d4cb48b2d,Crow,2025-04-09,690,1,True,3,morn2,False,morn2_1_trial3_sec_cont,ST,DS,,,0,1,0,0,1,0,0,0,0,0
e6721147-29ff-47ac-b3de-86134a581577,Crow,2025-04-09,695,1,True,3,morn2,False,morn2_1_trial3_sec_cont,ST,DS,,Displayed 10 seconds ago,0,1,0,0,1,0,0,0,0,0
c37905c2-6c4d-47a0-9da3-795807124ee6,Crow,2025-04-09,700,1,True,3,morn2,False,morn2_1_trial3_sec_cont,ST,DS,,,0,1,0,0,1,0,0,0,0,0
190a107d-1c26-44a5-9847-164e62fa1498,Playback,2025-04-21,575,1,True,4,morn1,True,morn1_1_trial4_first_play,ST,PL,NH,,1,0,0,1,0,0,0,0,0,0
190a107d-1c26-44a5-9847-164e62fa1498,Playback,2025-04-21,575,1,True,4,morn1,True,morn1_1_trial4_first_play,NH,PL,ST,,1,0,0,1,0,0,0,0,0,0
dbf5b039-2c5d-48ff-b460-0e3a927b52d7,Playback,2025-04-21,687,1,True,4,morn2,True,morn2_1_trial4_first_play,MS,PL,ST,,1,0,0,0,0,1,0,0,0,0
dbf5b039-2c5d-48ff-b460-0e3a927b52d7,Playback,2025-04-21,687,1,True,4,morn2,True,morn2_1_trial4_first_play,ST,PL,MS,,1,0,0,0,0,1,0,0,0,0
dbf5b039-2c5d-48ff-b460-0e3a927b52d7,Playback,2025-04-21,687,1,True,4,morn2,True,morn2_1_trial4_first_play,MS,PL,ST,,1,0,0,0,0,1,0,0,0,0
dbf5b039-2c5d-48ff-b460-0e3a927b52d7,Playback,2025-04-21,687,1,True,4,morn2,True,morn2_1_trial4_first_play,ST,PL,MS,,1,0,0,0,0,1,0,0,0,0
47650b7a-1bd6-4121-a718-28cc46d567a0,Playback,2025-04-22,583,1,True,4,morn1,False,morn1_1_trial4_sec_play,NH,DS,,Pan hoot towards cage c,0,1,1,0,0,0,0,0,0,0
9bbaa949-29a8-4976-9454-51d568aa569b,Playback,2025-04-22,678,1,True,4,morn2,False,morn2_1_trial4_sec_play,ST,DS,,,0,1,0,0,1,0,0,0,0,0
680a543f-5e61-4d08-bf2e-f4a7134bda73,Playback,2025-04-22,680,1,True,4,morn2,False,morn2_1_trial4_sec_play,ST,DS,,,0,1,0,0,1,0,0,0,0,0
d6a23649-62b4-4809-bfcc-5f5516cd5ddc,Playback,2025-04-22,681,1,True,4,morn2,False,morn2_1_trial4_sec_play,NH,DS,,Displayed,0,1,0,0,1,0,0,0,0,0
48f3b3f1-15d0-4b50-b6e9-e18dd9de4fe8,Playback,2025-04-22,684,1,True,4,morn2,False,morn2_1_trial4_sec_play,ST,PL,NH,,1,0,0,0,0,1,0,0,0,0
48f3b3f1-15d0-4b50-b6e9-e18dd9de4fe8,Playback,2025-04-22,684,1,True,4,morn2,False,morn2_1_trial4_sec_play,NH,PL,ST,,1,0,0,0,0,1,0,0,0,0
427e1132-5a8d-4e21-8340-ef0e2138ed8d,Playback,2025-04-22,686,1,True,4,morn2,False,morn2_1_trial4_sec_play,ST,PL,NH,,1,0,0,0,0,1,0,0,0,0
427e1132-5a8d-4e21-8340-ef0e2138ed8d,Playback,2025-04-22,686,1,True,4,morn2,False,morn2_1_trial4_sec_play,NH,PL,ST,,1,0,0,0,0,1,0,0,0,0
2f92f495-8d14-450e-8e16-d7a8cdda0fc0,Playback,2025-04-22,688,1,True,4,morn2,False,morn2_1_trial4_sec_play,ST,PL,NH,,1,0,0,0,0,1,0,0,0,0
2f92f495-8d14-450e-8e16-d7a8cdda0fc0,Playback,2025-04-22,688,1,True,4,morn2,False,morn2_1_trial4_sec_play,NH,PL,ST,,1,0,0,0,0,1,0,0,0,0
823e0128-be98-43ef-a7de-48e44bd08c3c,Playback,2025-04-22,690,1,True,4,morn2,False,morn2_1_trial4_sec_play,ST,PL,NH,,1,0,0,0,0,1,0,0,0,0
823e0128-be98-43ef-a7de-48e44bd08c3c,Playback,2025-04-22,690,1,True,4,morn2,False,morn2_1_trial4_sec_play,NH,PL,ST,,1,0,0,0,0,1,0,0,0,0
589acbf7-d2bd-475d-819f-8be323479fef,Crow,2025-03-14,584,2,True,1,morn1,True,morn1_2_trial1_first_cont,NR,PL,MN,,1,0,0,1,0,0,0,0,0,0
7ee79de3-115d-40ac-9cd0-bd881b5cca62,Crow,2025-03-14,586,2,True,1,morn1,True,morn1_2_trial1_first_cont,NR,PL,MN,,1,0,0,1,0,0,0,0,0,0
a34e9985-10cd-4907-a518-00e9e716ca09,Crow,2025-03-14,588,2,True,1,morn1,True,morn1_2_trial1_first_cont,NR,PL,MN,,1,0,0,1,0,0,0,0,0,0
a34e9985-10cd-4907-a518-00e9e716ca09,Crow,2025-03-14,588,2,True,1,morn1,True,morn1_2_trial1_first_cont,MN,PL,NR,,1,0,0,1,0,0,0,0,0,0
895c7f1b-5c49-4cfb-b3d5-a444c759daa8,Crow,2025-03-14,608,2,True,1,morn1,True,morn1_2_trial1_first_cont,MN,PL,,Playing with a bottle,1,0,0,1,0,0,0,0,0,0
37389303-c253-4154-8ec0-1c684fed8e49,Crow,2025-03-14,616,2,True,1,morn1,True,morn1_2_trial1_first_cont,NH,DS,,Towards cage c,0,1,1,0,0,0,0,0,0,0
