ec5_uuid,condition,date,msm,group,is_all_occasions,trial,phase,first_day,block_ID,Ind1,behaviour,partner,notes,playing,aggression,agg_morn1,play_morn1,agg_morn2,play_morn2,agg_enrich,play_enrich,agg_extra,play_extra
954492ca-1553-45ea-a109-50c9adce65aa,Playback,2025-04-04,686,3,True,3,morn2,False,morn2_3_trial3_sec_play,MZ,DS,,,0,1,0,0,1,0,0,0,0,0
5281e1ee-e9be-4c12-8de1-245179b0bafd,Playback,2025-04-04,688,3,True,3,morn2,False,morn2_3_trial3_sec_play,MZ,DS,,,0,1,0,0,1,0,0,0,0,0
2231b58b-fb10-4a89-9c06-c9cd31e78c93,Playback,2025-04-04,690,3,True,3,morn2,False,morn2_3_trial3_sec_play,MZ,DS,,,0,1,0,0,1,0,0,0,0,0
11a22ea1-6708-4eba-807a-1b2d6e4642c1,Playback,2025-04-04,704,3,True,3,morn2,False,morn2_3_trial3_sec_play,MZ,PL,NR,,1,0,0,0,0,1,0,0,0,0
d39a1d58-f5df-4baa-bd70-2ee5b1ee1c92,Playback,2025-04-04,851,3,True,3,enrich,False,enrich_3_trial3_sec_play,MZ,DS,,,0,1,0,0,0,0,1,0,0,0
b47b6642-3664-49ec-9577-91a85d38226a,Playback,2025-04-04,853,3,True,3,enrich,False,enrich_3_trial3_sec_play,MZ,DS,,,0,1,0,0,0,0,1,0,0,0
5eab034d-ae7a-4d4f-ac1c-c2f1876c7467,Crow,2025-04-16,576,3,True,4,morn1,True,morn1_3_trial4_first_cont,MZ,DS,,,0,1,1,0,0,0,0,0,0,0
f1624119-c99f-4050-86ec-b4c6dc3278a1,Crow,2025-04-16,582,3,True,4,morn1,True,morn1_3_trial4_first_cont,MZ,DS,,,0,1,1,0,0,0,0,0,0,0
dd32b829-7524-4ea0-aa3d-d2e62a028d7a,Crow,2025-04-30,581,3,True,5,morn1,True,morn1_3_trial5_first_cont,MZ,PL,NR,,1,0,0,1,0,0,0,0,0,0
d3341bf2-de36-455a-a8b0-ff0c7f97b647,Playback,2025-05-14,649,3,True,6,morn2,True,morn2_3_trial6_first_play,MZ,PL,LN,,1,0,0,0,0,1,0,0,0,0
3b8cba56-db76-4f95-ad89-491bf5ddcc89,Playback,2025-05-14,655,3,True,6,morn2,True,morn2_3_trial6_first_play,MZ,DS,,,0,1,0,0,1,0,0,0,0,0
d9048aef-ae84-4883-a76d-34f39e438c03,Playback,2025-05-15,884,3,True,6,enrich,False,enrich_3_trial6_sec_play,SB,PL,LN,,1,0,0,0,0,0,0,1,0,0
895776ab-9022-4867-9b31-72e7c96cd452,Crow,2025-05-01,848,3,True,5,enrich,False,enrich_3_trial5_sec_cont,SB,PL,NR,,1,0,0,0,0,0,0,1,0,0
a4c0131e-f028-4e20-9c39-a26e87519b32,Crow,2025-05-01,602,3,True,5,morn1,False,morn1_3_trial5_sec_cont,SB,PL,NR,,1,0,0,1,0,0,0,0,0,0
43aa72c0-f947-46d0-b8cd-d37a9a0a59b1,Crow,2025-04-30,661,3,True,5,morn2,True,morn2_3_trial5_first_cont,SB,PL,NR,,1,0,0,0,0,1,0,0,0,0
694f7a78-d7f2-43af-afce-a3a11e5dac1f,Crow,2025-04-30,575,3,True,5,morn1,True,morn1_3_trial5_first_cont,SB,PL,NR,,1,0,0,1,0,0,0,0,0,0
eb35670e-ac5e-4c7a-b9a9-3a24b907491a,Crow,2025-04-16,656,3,True,4,morn2,True,morn2_3_trial4_first_cont,SB,AG,,,0,1,0,0,1,0,0,0,0,0
d86a036f-bc1d-4ee5-8a69-cb4138aba374,Crow,2025-04-16,600,3,True,4,morn1,True,morn1_3_trial4_first_cont,SB,DS,,,0,1,1,0,0,0,0,0,0,0
78b7a1eb-0ebe-4d35-a0d1-2eeb5ca0743f,Crow,2025-04-16,602,3,True,4,morn1,True,morn1_3_trial4_first_cont,SB,DS,,,0,1,1,0,0,0,0,0,0,0
43c913ef-438b-4741-8bff-a1cb6c41a537,Crow,2025-04-17,858,3,True,4,enrich,False,enrich_3_trial4_sec_cont,GG,PL,NR,,1,0,0,0,0,0,0,1,0,0
954492ca-1553-45ea-a109-50c9adce65aa,Playback,2025-04-04,686,3,True,3,morn2,False,morn2_3_trial3_sec_play,NR,DS,,,0,1,0,0,1,0,0,0,0,0
5281e1ee-e9be-4c12-8de1-245179b0bafd,Playback,2025-04-04,688,3,True,3,morn2,False,morn2_3_trial3_sec_play,NR,DS,,,0,1,0,0,1,0,0,0,0,0
2231b58b-fb10-4a89-9c06-c9cd31e78c93,Playback,2025-04-04,690,3,True,3,morn2,False,morn2_3_trial3_sec_play,NR,DS,,,0,1,0,0,1,0,0,0,0,0
d3991c58-5c27-46e9-97c7-f21353189ebe,Playback,2025-04-04,692,3,True,3,morn2,False,morn2_3_trial3_sec_play,NR,DS,,,0,1,0,0,1,0,0,0,0,0
1b38d355-7448-485a-b1ee-80b9faffe9cc,Playback,2025-04-04,696,3,True,3,morn2,False,morn2_3_trial3_sec_play,NR,DS,,,0,1,0,0,1,0,0,0,0,0
