ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
992aba4d-0cda-4cc8-ba3c-c9a1519e935c;2025-04-04;1900-01-01 09:31:00;NO;E;;;;;E;;;;;E;;;;;E;;;;;red;571;570.0
616c6481-8fca-4129-9a5e-e76f8106fc3c;2025-04-04;1900-01-01 09:33:00;Yes;E;;;;;E;;;;;E;;;;;E;;;;;green;573;572.0
159da93b-3a23-4ff3-9f6a-6e39b2e4f417;2025-04-04;1900-01-01 09:35:00;NO;E;;;;;E;;;;;M;;;;;E;;;;;red;575;574.0
da8accb5-bf70-4b92-ae7c-16a9162d1f48;2025-04-04;1900-01-01 09:37:00;Yes;E;;;;;E;;;;;M;;;;;E;;;;;green;577;576.0
7419e351-9493-4a1a-93ac-7704229017ed;2025-04-04;1900-01-01 09:39:00;NO;E;;;;;E;;;;;E;;;;;E;;;;;;579;578.0
85f3daca-674f-4fa2-b190-cf456ca06814;2025-04-04;1900-01-01 09:41:00;NO;E;;;;;E;;;;;E;;;;;E;;;;;;581;580.0
0c7bc0d3-4c1a-4c88-a497-22a674e9a7b1;2025-04-04;1900-01-01 09:43:00;NO;E;;;TK;;E;;;;;M;;;ST;;E;;;;;;583;582.0
313dc686-549d-4e37-ba5e-4ffb0e5191af;2025-04-04;1900-01-01 09:45:00;NO;RS;;;TK;;E;;;;;RS;;;ST;;E;;;;;;585;584.0
2dd16ec6-b603-4309-99be-b0162ee28b62;2025-04-04;1900-01-01 09:47:00;NO;RS;;;;;E;;;;;RS;;;;;E;;;;;;587;586.0
3f89eecb-0c95-490a-b1a1-cba7e459a2e9;2025-04-04;1900-01-01 09:49:00;NO;E;;;;;RS;;;TK;;RS;;;SR;;E;;;;;;589;588.0
d56e28f2-a45b-4066-b1fd-1d04275e21f4;2025-04-04;1900-01-01 09:51:00;NO;E;;;;;PL;;TK;;;PL;;SR;;;E;;;;;;591;590.0
934d174b-8c0c-49f2-ad52-90980bce9aab;2025-04-04;1900-01-01 09:53:00;NO;E;;;;;M;;;TK;;M;;;SR;;E;;;;;;593;592.0
bc1f01c6-06cf-4f8d-8e6b-633a49e0d328;2025-04-04;1900-01-01 09:55:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;red;595;594.0
543896a8-3b90-4a32-8ed7-56a84ad279cb;2025-04-04;1900-01-01 09:57:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;597;596.0
8ae066d6-19f3-4ded-bc82-75ced4623365;2025-04-04;1900-01-01 09:59:00;NO;RS;;;;;M;;;TK;;M;;;SR;;RS;;;;;;599;598.0
7ecb4062-ecf9-402e-95f7-66a798e17496;2025-04-04;1900-01-01 10:01:00;NO;RS;;;;;M;;;;;M;;;TN;;M;;;TK;;;601;600.0
52703d35-8038-48f8-8967-b8bb4016fd2c;2025-04-04;1900-01-01 10:03:00;NO;M;;;;;M;;;TK;;M;;;SR;;M;;;;;;603;602.0
fbe2f67c-d50d-4d22-b0ef-73950bb3113e;2025-04-04;1900-01-01 10:05:00;NO;RS;;;TK, TN;;RS;;;;;RS;;TN;ST;;RS;;TK;ST;;;605;604.0
f2943460-9763-44ce-a2c3-d011e60ec096;2025-04-04;1900-01-01 10:07:00;NO;GR;TK;;TN;;RS;;;;;GG;ST;;TN;;RS;;;TK, ST;;;607;606.0
4b0452d7-1af5-44a0-890d-d343e3a8902b;2025-04-04;1900-01-01 10:09:00;NO;RS;;;TK, TN;;RS;;;;;RS;;;ST, TN;;RS;;;TK, ST;;red;609;608.0
9d93ccc7-9a01-42cf-989f-e1d89d4d69b7;2025-04-04;1900-01-01 10:11:00;Yes;RS;;;TK, TN;;RS;;;;;RS;;;ST, TN;;RS;;;TK, ST;;green;611;610.0
b58ac922-1d3d-4574-8b12-091c27c983db;2025-04-04;1900-01-01 10:13:00;NO;RS;;;TN;;RS;;;;;M;;;;;RS;;;ST;;;613;612.0
670d094b-f8dd-4e07-9d0a-02bd638e10a8;2025-04-04;1900-01-01 10:15:00;NO;RS;;;TN;;RS;;;;;RL;;;;;RS;;;ST;;red;615;614.0
54e124f9-3327-499f-aecf-cbd5823c0d1f;2025-04-04;1900-01-01 10:17:00;Yes;RS;;;TN;;RS;;;;;RL;;;;;RS;;;ST;;green;617;616.0
6c9b3b9e-d780-4006-8f35-f0405f97140c;2025-04-04;1900-01-01 10:19:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;red;619;618.0
d4c4ea26-08c2-453f-a4a8-ab35237bad44;2025-04-04;1900-01-01 10:21:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;621;620.0
f4c97afb-4245-42d8-87a5-7e1909da59d4;2025-04-04;1900-01-01 10:23:00;NO;RS;;TN;;;RS;;;;;RS;;;;;RS;;ST;;;red;623;622.0
9b93fa3c-11d2-4a60-9e0b-26a3811cf98b;2025-04-04;1900-01-01 10:25:00;Yes;RS;;TN;;;RS;;;;;RS;;;;;RS;;ST;;;green;625;624.0
a421fffd-7313-49b1-91ea-529d2989c5d7;2025-04-04;1900-01-01 10:27:00;Yes;RS;;TN;;;RS;;;;;RS;;;;;RS;;ST;;;green;627;626.0
1c5b3fc7-f6e0-4ac2-838a-b2780a8be037;2025-04-04;1900-01-01 10:29:00;NO;RS;;TN;;;RS;;;;;RL;;;;;RS;;ST;;;;629;628.0
6c10cf35-4399-4cf0-b304-ee53c38c1ace;2025-04-04;1900-01-01 10:31:00;NO;RS;;TN;;;M;;;;;RL;;;;;RS;;ST;;;;631;630.0
4117ca46-0de2-42e9-b3d5-6d2fff6820e9;2025-04-04;1900-01-01 10:33:00;NO;RS;;;;;RS;;;;;RL;;;;;M;;;;;;633;
cffa4c33-7a33-4f9f-bcbd-46d3acf5e300;2025-04-04;1900-01-01 10:45:00;NO;RL;;;TN;;RS;;;;;RS;;;;;RS;;;ST;;red;645;645.0
35ce1d50-3df1-4d3d-aa48-d47671821f34;2025-04-04;1900-01-01 10:47:00;Yes;RL;;;TN;;RS;;;;;RS;;;;;RS;;;ST;;green;647;647.0
e4b3375d-b40d-48da-9184-39ae40681350;2025-04-04;1900-01-01 10:49:00;Yes;RL;;;TN;;RS;;;;;RS;;;;;RS;;;ST;;green;649;649.0
c6e2a102-cb62-45f4-af25-6ce1a775b869;2025-04-04;1900-01-01 10:51:00;Yes;RL;;;TN;;RS;;;;;RS;;;;;RS;;;ST;;green;651;651.0
404ac1de-8ef8-45c6-864a-698fb2fa1809;2025-04-04;1900-01-01 10:53:00;NO;RS;;;;;RS;;;;;RS;;;TN;;RS;;;TK;;;653;653.0
61665451-0d46-428f-93d1-a188a8015e04;2025-04-04;1900-01-01 10:55:00;NO;RS;;;;;RS;;;;;M;;TN;;;RS;;TK;;;;655;655.0
92e6c2d1-8bc3-44b6-8678-1f9779cbc706;2025-04-04;1900-01-01 10:57:00;NO;RS;;;;;RS;;;;;RS;;;;;RL;;;;;;657;657.0
eb902dc7-d1f9-472f-8d39-659ca4c66607;2025-04-04;1900-01-01 10:59:00;NO;RL;;;;;RS;;;;;RS;;;;;RL;;;;;;659;659.0
4b8a78c6-fe72-4dba-8375-91a10281f4bc;2025-04-04;1900-01-01 11:01:00;NO;RL;;;;;RS;;;;;RS;;;;;RS;;;;;;661;661.0
69e48bef-60a8-47eb-8a5f-f7316e51a8d2;2025-04-04;1900-01-01 11:03:00;NO;RL;;;;;RS;;;;;RL;;TN;;;RS;;TK;;;red;663;663.0
fdddd459-6486-4286-a8ec-531eee71cc10;2025-04-04;1900-01-01 11:05:00;Yes;RL;;;;;RS;;;;;RL;;TN;;;RS;;TK;;;green;665;665.0
1a618e8f-8776-4559-bec9-c546a6340ec0;2025-04-04;1900-01-01 11:07:00;NO;RS;;;;;RS;;;;;RL;;TN;;;RS;;TK;;;red;667;667.0
0a5836ed-adb4-40b3-b6dc-1436cf3b6d93;2025-04-04;1900-01-01 11:09:00;Yes;RS;;;;;RS;;;;;RL;;TN;;;RS;;TK;;;green;669;669.0
bd81e54d-240b-40dd-86c2-9bd346f12d41;2025-04-04;1900-01-01 11:11:00;NO;RS;;;;;RS;;;;;RL;TN;;;;RS;TK;;;;red;671;671.0
50cd6a30-beef-4afa-97ad-612f0c7031b0;2025-04-04;1900-01-01 11:13:00;Yes;RS;;;;;RS;;;;;RL;TN;;;;RS;TK;;;;green;673;673.0
896f5c52-1a96-4922-83ea-96e85625f46f;2025-04-04;1900-01-01 11:15:00;Yes;RS;;;;;RS;;;;;RL;TN;;;;RS;TK;;;;green;675;675.0
3a945667-50c7-442f-bb41-60e7e3f3a491;2025-04-04;1900-01-01 11:17:00;NO;RS;;;;;RS;;;;;RL;;TN;;;RS;;TK;;;;677;677.0
b7c41847-810a-49b0-b2c3-e2ae647947be;2025-04-04;1900-01-01 11:19:00;NO;M;;;;;RS;;;;;PL;TN;;;;PL;TK;;;Mouth on TKs face;;679;679.0
5edadccc-5972-4521-ba1a-9f2ee0cffbaa;2025-04-04;1900-01-01 11:21:00;NO;M;;;;;RS;;;;;GM;TN;;;;GM;TK;;;;;681;681.0
3d2f4ac9-aabd-400f-8145-98a0faf83caf;2025-04-04;1900-01-01 11:23:00;NO;E;;;;;RS;;;;;RS;;;;;M;;;;;;683;683.0
a69b4525-8737-403e-9761-33247ffd699e;2025-04-04;1900-01-01 11:25:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;red;685;685.0
64e42de7-1eda-4ace-8628-ef8e5a654168;2025-04-04;1900-01-01 11:27:00;Yes;RS;;;;;RS;;;;;RS;;;;;RS;;;;;green;687;687.0
3e417fa1-f436-4c75-97e3-5805ea0373be;2025-04-04;1900-01-01 11:29:00;NO;M;;;TN;;RS;;;;;RS;;;;;M;;;ST;;;689;689.0
2fa32b4f-f44f-4137-a49f-9af3494a4ed9;2025-04-04;1900-01-01 11:31:00;NO;M;;;;;RS;;;;;RS;;;;;RS;;;;;;691;691.0
275e6c5b-e6e0-4f77-a6ee-1bfa33c20328;2025-04-04;1900-01-01 11:33:00;NO;M;;;TN;;RS;;;;;RS;;;;;RS;;;ST;;;693;693.0
bcad1d2b-4565-40e4-addf-92db8bac6521;2025-04-04;1900-01-01 11:35:00;NO;RS;;;TN;;RS;;;;;RS;;;;;M;;;ST;;;695;695.0
66b1c788-d08f-4836-b729-24d716e2adad;2025-04-04;1900-01-01 11:37:00;NO;RS;;;TK, TN;;RS;;;;;RS;;;ST, TN;;RS;;;ST, TK;;;697;697.0
b1d9fc94-2a03-43a7-853c-eb386621dbbd;2025-04-04;1900-01-01 11:39:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;699;699.0
4e5432ec-d444-4134-b856-bf973e3ca7bc;2025-04-04;1900-01-01 11:41:00;NO;M;;;TN;;RS;;;;;RS;;;;;RS;;;ST;;;701;701.0
48e88634-4e39-48d3-8f8d-4b5385967075;2025-04-04;1900-01-01 11:43:00;NO;RS;;;TN, SR;;RS;;;ST;;RS;;;;;M;;;ST, SR;;;703;703.0
8ceb55e3-15e5-4de3-b60e-0605d164c357;2025-04-04;1900-01-01 11:45:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;705;705.0
868a265e-64b5-4748-85f6-ee9b971cb841;2025-04-04;1900-01-01 13:17:00;NO;E;;;;;RS;;;;;E;;;;;E;;;;;;797;797.0
5134fe7b-e54a-4535-8010-686641dafef1;2025-04-04;1900-01-01 13:18:00;NO;E;;;;;RS;;;;;M;;;TN;;E;;;TK;;;798;799.0
df7aeb62-929a-4efb-98bc-310a106a13d1;2025-04-04;1900-01-01 13:20:00;NO;E;;;TK;;RS;;;;;E;;;ST;;E;;;;;;800;801.0
fec8fd3f-e672-4e9b-bb04-9fc4112c8205;2025-04-04;1900-01-01 13:22:00;NO;E;;;;;RS;;;;;RS;;;TN;;E;;;TK;;red;802;803.0
596ada82-1114-4df8-bed2-de3fb6ffee06;2025-04-04;1900-01-01 13:24:00;Yes;E;;;;;RS;;;;;RS;;;TN;;E;;;TK;;green;804;805.0
6edd6877-c990-451c-a21f-463adf475b61;2025-04-04;1900-01-01 13:26:00;NO;E;;;;;RS;;;;;RS;;;;;E;;;;;red;806;807.0
78cb8aca-e781-43a0-8c28-747ebed685c7;2025-04-04;1900-01-01 13:28:00;Yes;E;;;;;RS;;;;;RS;;;;;E;;;;;green;808;809.0
67e556b5-43ca-473b-8b02-c28ab673abd2;2025-04-04;1900-01-01 13:30:00;NO;E;;;;;RS;;;;;M;;;;;E;;;;;;810;811.0
6e39e572-e5cf-49f4-ae1c-21a4bd0c10fc;2025-04-04;1900-01-01 13:32:00;NO;E;;;;;RS;;;;;RS;;TN;;;E;;TK;;;;812;813.0
fe3b214c-82b7-48e6-a35f-40b902cbc6a1;2025-04-04;1900-01-01 13:34:00;NO;E;;TK;;;RS;;;;;RS;;ST;;;E;;;;;;814;815.0
114f9ce7-1534-4cc6-a58e-6bb3389db17a;2025-04-04;1900-01-01 13:36:00;NO;E;;;TK;;RS;;;;;E;;;ST;;M;;;;;;816;817.0
ac94bd1e-5869-4f65-ab47-bb6e1c93f486;2025-04-04;1900-01-01 13:38:00;NO;E;;;;;RS;;;;;RS;;;;;E;;;;;;818;819.0
74b0cee1-6d89-478a-980e-dd6a8a5ef120;2025-04-04;1900-01-01 13:41:00;NO;E;;;TN;;RS;;;;;RS;;;;;E;;;ST;;red;821;821.0
169af4c8-b957-4c2d-bc46-7b7f25340631;2025-04-04;1900-01-01 13:42:00;Yes;E;;;TN;;RS;;;;;RS;;;;;E;;;ST;;green;822;823.0
c6583a76-10db-4fda-9557-7b04792fa860;2025-04-04;1900-01-01 13:44:00;Yes;E;;;TN;;RS;;;;;RS;;;;;E;;;ST;;green;824;825.0
35f4f479-e35a-49b9-a416-748a8a2c681d;2025-04-04;1900-01-01 13:46:00;Yes;E;;;TN;;RS;;;;;RS;;;;;E;;;ST;;green;826;827.0
7805107d-f27c-4839-8e2d-6a9a17eac0e9;2025-04-04;1900-01-01 13:48:00;NO;RS;;;TN;;RS;;;;;RS;;;;;E;;;ST;;red;828;829.0
7e3f262b-62b6-426b-bf43-90075c44ab07;2025-04-04;1900-01-01 13:50:00;Yes;RS;;;TN;;RS;;;;;RS;;;;;E;;;ST;;green;830;831.0
b3927728-0569-46d9-9d56-adc383838ee6;2025-04-04;1900-01-01 13:52:00;Yes;RS;;;TN;;RS;;;;;RS;;;;;E;;;ST;;green;832;833.0
f2e0e04e-628a-438c-a826-97eec49492bb;2025-04-04;1900-01-01 13:54:00;NO;E;;;TN;;RS;;;;;RS;;;;;E;;;ST;;red;834;835.0
7e82a104-d3da-4a23-b5cb-4b37a39d60ff;2025-04-04;1900-01-01 13:56:00;Yes;E;;;TN;;RS;;;;;RS;;;;;E;;;ST;;green;836;837.0
