ec5_uuid;date;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight;msm;corrected_msm
b56115e8-9b55-4d20-ba9a-6f5270c9eb93;2025-05-05;1900-01-01 09:34:00;NO;E;;;;;E;;;;;RS;;;;;RS;;;;;;;;;;red;574;574.0
6454ede0-552b-46df-908b-6195d6d306f0;2025-05-05;1900-01-01 09:36:00;Yes;E;;;;;E;;;;;RS;;;;;RS;;;;;;;;;;green;576;576.0
c876c280-e731-49b6-83cf-04405e599be0;2025-05-05;1900-01-01 09:38:00;NO;RS;;;;;E;;;;;RS;;;;;RS;;;;;;;;;;;578;578.0
b1a7a8f4-0e31-4886-b7d6-d3dbd61a87ec;2025-05-05;1900-01-01 09:40:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;;;;;;;580;580.0
82f52b58-8785-4c55-bbb6-c2917376c905;2025-05-05;1900-01-01 09:42:00;NO;M;;TK;;;RS;;;;;RS;;;;;M;;ST;;;;;;;;;582;582.0
140436fe-1ebd-4def-90c5-350c09ce4f3a;2025-05-05;1900-01-01 09:44:00;NO;E;;;;;RS;;;;;RS;;;;;E;;;;;;;;;;;584;584.0
e44800ef-e5f9-4675-b844-bbc9accb58e2;2025-05-05;1900-01-01 09:46:00;NO;RS;;;;;E;;;SR;;RL;;;NY;;RS;;;;;;;;;;red;586;586.0
9053ed7d-2c0c-4f19-b2a5-d093a8d2d43d;2025-05-05;1900-01-01 09:48:00;Yes;RS;;;;;E;;;SR;;RL;;;NY;;RS;;;;;;;;;;green;588;588.0
b6c9e7d2-9435-4e15-84b1-affa697a3d30;2025-05-05;1900-01-01 09:50:00;NO;RS;;;;;E;;;SR;;RL;;;NY;;E;;;;;;;;;;red;590;590.0
35779e53-1e99-4979-90f2-3b9c8c40a0bd;2025-05-05;1900-01-01 09:52:00;Yes;RS;;;;;E;;;SR;;RL;;;NY;;E;;;;;;;;;;green;592;592.0
f36313e7-bc49-43ed-9857-35cd5744a27b;2025-05-05;1900-01-01 09:54:00;NO;RS;;;;;E;;;TK;;RS;;;;;RS;;;NY;;;;;;;;594;594.0
5aa633cf-ff08-4518-bcf1-55519fc5247f;2025-05-05;1900-01-01 09:56:00;NO;RS;;;;;E;;;TK;;RS;;;;;RL;;;NY;;;;;;;red;596;596.0
e01da24f-c330-46c7-b5ca-18dba672b81b;2025-05-05;1900-01-01 09:58:00;Yes;RS;;;;;E;;;TK;;RS;;;;;RL;;;NY;;;;;;;green;598;598.0
8e302687-f112-4a01-9447-bcaf9d6f5bbf;2025-05-05;1900-01-01 10:00:00;Yes;RS;;;;;E;;;TK;;RS;;;;;RL;;;NY;;;;;;;green;600;600.0
4fcbec4f-be56-40ea-b2e7-cc026e42feed;2025-05-05;1900-01-01 10:02:00;Yes;RS;;;;;E;;;TK;;RS;;;;;RL;;;NY;;;;;;;green;602;602.0
