ec5_uuid;date;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_LN_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_NR_Behavior;29_Contact;30_AR;31_3M;32_Notes;34_MN_Behavior;35_Contact;36_AR;37_3M;38_Notes;40_NY_Behavior;41_Contact;42_AR;43_3M;44_Notes;msm;corrected_msm
589acbf7-d2bd-475d-819f-8be323479fef;2025-03-14;1900-01-01 09:44:00;;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;;;;;;;;;;;584;584.0
7ee79de3-115d-40ac-9cd0-bd881b5cca62;2025-03-14;1900-01-01 09:46:00;Yes;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;;;;;;;;;;;586;586.0
a34e9985-10cd-4907-a518-00e9e716ca09;2025-03-14;1900-01-01 09:48:00;;;;;;;;;;;;;;;;;;;;;;PL;;MN;;;PL;;NR;;;;;;;;588;588.0
895c7f1b-5c49-4cfb-b3d5-a444c759daa8;2025-03-14;1900-01-01 10:08:00;;;;;;;;;;;;;;;;;;;;;;;;;;;PL;;;;Playing with a bottle;;;;;;608;608.0
37389303-c253-4154-8ec0-1c684fed8e49;2025-03-14;1900-01-01 10:16:00;;;;;;;;;;;;DS;;;;Towards cage c;;;;;;;;;;;DS;;;;Towards cage c;;;;;;616;616.0
4cf78534-4969-468f-8e3f-46817c70d734;2025-03-14;1900-01-01 10:28:00;;;;;;;;;;;;;;;;;;;;;;PL;;;;Playing with a bottle;;;;;;;;;;;628;628.0
c934b92c-f194-4b67-8425-0174a72af684;2025-03-14;1900-01-01 10:30:00;;;;;;;;;;;;;;;;;;;;;;PL;;;MN;;PL;;;NR;;;;;;;630;630.0
0a61340a-660d-4d6a-97e5-f469015cc92c;2025-03-14;1900-01-01 13:48:00;;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;;828;827.0
56d5bda0-86ba-4562-9964-c203e238bbd0;2025-03-14;1900-01-01 13:49:00;Yes;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;;829;829.0
6ef88271-c776-4cc2-83c0-d5f118d717df;2025-03-14;1900-01-01 13:51:00;Yes;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;;831;831.0
67efdec0-419d-42dd-a9c3-013cdf30371c;2025-03-14;1900-01-01 13:53:00;Yes;;;;;;;;;;;PL;;NR;;;;;;;;PL;;NH;;;;;;;;;;;;;833;833.0
