ec5_uuid;date;1_TIme;2_NC;4_LN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_MN_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NR_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight;msm;corrected_msm
2cb22248-92f1-4a27-8d9a-3f25c64a2e4b;2025-04-26;1900-01-01 09:32:00;;RS;;NR, MN;;;M;;NR, LN;;;E;;;;;E;;MN, LN;;;;572;572.0
6830dab7-086c-4e52-8b80-2c486e665433;2025-04-26;1900-01-01 09:34:00;;RS;NR;;;;M;;;;;E;;;;;E;LN;;;;;574;574.0
55885f85-568b-4be5-9218-c5cf40ea6acb;2025-04-26;1900-01-01 09:36:00;;RS;;;NH, MN;;E;;;;;E;;;LN, NR;;E;;;LN, NH;;red;576;576.0
4b726abd-42f3-4b3a-8c3b-4c1af7420116;2025-04-26;1900-01-01 09:38:00;Yes;RS;;;NH, MN;;E;;;;;E;;;LN, NR;;E;;;LN, NH;;green;578;578.0
e947fe67-2003-4757-a29a-f353cb21be08;2025-04-26;1900-01-01 09:40:00;;RS;;;NH, NR;;E;;;;;E;;;NR, LN;;E;;;NH, LN;;red;580;580.0
3bc4dfc3-ef73-429d-a5c1-5660f406c31e;2025-04-26;1900-01-01 09:42:00;Yes;RS;;;NH, NR;;E;;;;;E;;;NR, LN;;E;;;NH, LN;;green;582;582.0
972f7132-7737-4303-a5e9-0ec59b7b7807;2025-04-26;1900-01-01 09:44:00;;E;;;NH;;RS;;;;;E;;;LN;;M;;;;;;584;584.0
87c8db94-6c77-478a-9e10-39f0fa342c49;2025-04-26;1900-01-01 09:46:00;;RS;;;NH;;RS;;;;;RS;;;LN;;M;;;;;;586;586.0
5f4b277d-bbf3-461b-abe7-f4efa11ffa49;2025-04-26;1900-01-01 09:48:00;;M;;;;;DS;;;;AG TOWARD LN;RS;;;;;M;;;;;;588;588.0
4a308e05-a0fd-4dad-941f-46c3c7947ee8;2025-04-26;1900-01-01 09:50:00;;RS;;;;;DS;;;;;M;;;;;M;;;;;;590;590.0
fa30ce22-2550-460f-8706-8ad69b98a544;2025-04-26;1900-01-01 09:52:00;;GR;MN;;NR;;GG;LN;;NR;;RS;;;;;RS;;;MN, LN;;;592;592.0
79775ab3-2b39-42ae-8515-0669aa358a8d;2025-04-26;1900-01-01 09:54:00;;PL;MN;;;;PL;LN;;;;DS;;;;;M;;;;;;594;594.0
db90d2af-6f38-4952-970c-d8f98f8fa937;2025-04-26;1900-01-01 09:56:00;;PL;NR;;;;PL;NH;;;;PL;MN;;;;PL;LN;;;;;596;596.0
8a8b74a5-a11b-428b-a922-dc1ff677620a;2025-04-26;1900-01-01 09:58:00;;RS;;;;;PL;NH, NR;;;;PL;NR, MN;;;;PL;;;MN, NH;;;598;598.0
700f433e-3eea-4f87-b35b-413e35e2d0f5;2025-04-26;1900-01-01 10:00:00;;RS;;;;;M;;;;;M;;;;;M;;;;;;600;600.0
12b52d90-7236-42b3-8b14-a25dacd13baa;2025-04-26;1900-01-01 10:02:00;;RS;;;NR;;RS;;;;;M;;;;;E;;;LN;;;602;602.0
f75590b3-4527-4fe2-a02c-f1f95d8277ea;2025-04-26;1900-01-01 10:04:00;;RS;;;NR, NH;;RS;;;;;RS;;;NR, LN;;RS;;;NH, LN;;;604;604.0
ec227c5e-420a-490b-a028-0108cfde756e;2025-04-26;1900-01-01 10:06:00;;GG;NR;;NH;;RS;;;;;RS;;;NR, LN;;GR;LN;;NH;;red;606;606.0
46c96086-5eac-42cf-9475-9cecb41ff06d;2025-04-26;1900-01-01 10:08:00;Yes;GG;NR;;NH;;RS;;;;;RS;;;NR, LN;;GR;LN;;NH;;green;608;608.0
0aa4b3bb-dc7a-4e4f-88bb-48207c7f737c;2025-04-26;1900-01-01 10:10:00;Yes;GG;NR;;NH;;RS;;;;;RS;;;NR, LN;;GR;LN;;NH;;green;610;610.0
ab33e602-0452-4c2c-99fe-315e9c6fb162;2025-04-26;1900-01-01 10:12:00;;RS;;;NH, NR;;RS;;;;;GM;NR;;LN;;GM;NH;;LN;;red;612;612.0
f7a63d56-9219-4e55-955a-380af833e6f8;2025-04-26;1900-01-01 10:14:00;Yes;RS;;;NH, NR;;RS;;;;;GM;NR;;LN;;GM;NH;;LN;;green;614;614.0
e7dca1aa-3857-4885-9054-debb902aa67a;2025-04-26;1900-01-01 10:16:00;Yes;RS;;;NH, NR;;RS;;;;;GM;NR;;LN;;GM;NH;;LN;;green;616;616.0
d3aa5afc-ad39-47ef-82f9-5f2c3487d177;2025-04-26;1900-01-01 10:18:00;;RS;;NH, NR;;;RS;;;;;RS;;MN, LN;;;SD;;NH, LN;;;;618;618.0
b15ef394-b603-49ea-9b1a-cd341033a299;2025-04-26;1900-01-01 10:20:00;;RS;;NR, NH;;;RS;;;;;RS;;NR, LN;;;RL;;NH, LN;;;red;620;620.0
a3da1c4c-6e3c-48ac-a593-e009d413f1ab;2025-04-26;1900-01-01 10:22:00;Yes;RS;;NR, NH;;;RS;;;;;RS;;NR, LN;;;RL;;NH, LN;;;green;622;622.0
e793f9b3-8d90-4902-b7f8-b7132af2ffdb;2025-04-26;1900-01-01 10:24:00;Yes;RS;;NR, NH;;;RS;;;;;RS;;NR, LN;;;RL;;NH, LN;;;green;624;624.0
65bf2149-036a-4b96-8534-973a61f179e2;2025-04-26;1900-01-01 10:26:00;Yes;RS;;NR, NH;;;RS;;;;;RS;;NR, LN;;;RL;;NH, LN;;;green;626;626.0
7304456f-5be3-4344-82cf-d21e92b3416c;2025-04-26;1900-01-01 10:28:00;;RS;;NR, NH;;;RS;;;;;RL;;NR, LN;;;RS;;NH, LN;;;red;628;628.0
c1d4c9ca-c417-41f4-a584-953002cd40dc;2025-04-26;1900-01-01 10:30:00;Yes;RS;;NR, NH;;;RS;;;;;RL;;NR, LN;;;RS;;NH, LN;;;green;630;630.0
d6984ed7-4480-4de7-95c9-130112c831a6;2025-04-26;1900-01-01 10:46:00;;RS;;;NR;;M;;;;;DS;;;;;RS;;;LN;;;646;645.0
cb882616-c693-4404-95d2-d51e974af3a1;2025-04-26;1900-01-01 10:48:00;;RS;;NR;;;RS;;;;;RL;;;;;RS;;LN;;;red;648;647.0
64b99563-1abd-4a41-ad83-29504f05ac4b;2025-04-26;1900-01-01 10:50:00;Yes;RS;;NR;;;RS;;;;;RL;;;;;RS;;LN;;;green;650;649.0
79c80129-a45d-40ec-bfa4-fcce470c7ccf;2025-04-26;1900-01-01 10:52:00;;RL;;NH, NR;;;M;;;;;RS;;LN, NR;;;RL;;NH, LN;;;;652;651.0
6bd09d8f-4c81-4ecd-8918-6b80fc4f28f7;2025-04-26;1900-01-01 10:54:00;;RL;;NH, NR;;;RS;;;;;RS;;NR, LN;;;RL;;NH, LN;;;red;654;653.0
833509e2-9563-4d03-94f5-cd96c8e6ee9f;2025-04-26;1900-01-01 10:56:00;Yes;RL;;NH, NR;;;RS;;;;;RS;;NR, LN;;;RL;;NH, LN;;;green;656;655.0
