ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_MS_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;highlight;msm;corrected_msm
c0cf3a08-2a03-4c8f-8b8e-dd208d7dd79d;2025-04-27;1900-01-01 09:34:00;NO;M;;;;;;RS;;;;;;RS;;;;;;M;;;;;;;574;574.0
152ab73d-fcf6-4eac-bcd7-dfd5b9ce8a01;2025-04-27;1900-01-01 09:36:00;NO;DS;;;;;;RS;;;;;;RS;;;;;;DS;;;;;;;576;576.0
ee29a5db-50dc-4f13-aa86-e41d51bf8f2d;2025-04-27;1900-01-01 09:38:00;NO;DS;;;;;;RS;;;;;;RS;;;;;;E;;;;;;;578;578.0
dfbd6d7d-f412-46f5-bfc7-24bf486551aa;2025-04-27;1900-01-01 09:40:00;NO;E;;;;;;RS;;;;;;RS;;;;;;RS;;;;;;;580;580.0
e84e6f38-b930-472e-8aff-77af8910b844;2025-04-27;1900-01-01 09:41:00;NO;E;;;;;;RS;;;;;;RS;;;;;;E;;;;;;;581;582.0
108b7466-c862-48b0-aca7-768f832fc5a8;2025-04-27;1900-01-01 09:44:00;NO;E;;;;;;GR;GG;;;;;GG;SB;;;;;E;;;;;;;584;584.0
0347ec69-43ba-4713-a317-a12f946e06e0;2025-04-27;1900-01-01 09:46:00;NO;E;;MS, GG;;;;RL;;;;;;RS;MS;MZ;;;;E;GG;MZ;;;;;586;586.0
7a31bcdb-270a-4d6e-82b1-e2c39bec2c30;2025-04-27;1900-01-01 09:48:00;NO;E;;;;;;RL;;;;;;RS;;MS;;;;RS;;GG;;;;red;588;588.0
c52504fa-9dcc-491c-a02b-b8201a761083;2025-04-27;1900-01-01 09:49:00;Yes;E;;;;;;RL;;;;;;RS;;MS;;;;RS;;GG;;;;green;589;590.0
6302ab7d-0c2a-4b53-bd59-34cb55258d37;2025-04-27;1900-01-01 09:51:00;Yes;E;;;;;;RL;;;;;;RS;;MS;;;;RS;;GG;;;;green;591;592.0
af263a41-4409-4097-adb4-d921628364c3;2025-04-27;1900-01-01 09:54:00;NO;E;;;;;;RL;;MS;GG;;;RS;;;MS, SB;;;RS;;SB;GG;;;;594;594.0
bb84548f-4a14-4dae-bc88-57736c799e27;2025-04-27;1900-01-01 09:55:00;NO;E;;;;;;RL;;;GG, MS;;;GR;MS;;SB;;;GG;GG;;SB;;;;595;596.0
efe1adfd-6e52-4e69-a307-a907a032f10f;2025-04-27;1900-01-01 09:58:00;NO;RL;;;;;;RS;;;;;;RL;;MS;;;;RL;;GG;;;;red;598;598.0
26ec5e03-b772-48a9-a2cc-fc737167d794;2025-04-27;1900-01-01 09:59:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;RL;;GG;;;;green;599;600.0
eb4bb34f-92be-474a-8c10-b3f945686242;2025-04-27;1900-01-01 10:02:00;NO;RS;;;;;;RS;;;;;;RL;;MS;;;;RL;;GG;;;;;602;602.0
d4acf202-542d-4325-b65b-ae2fbfcc4bd9;2025-04-27;1900-01-01 10:04:00;NO;RL;;;;;;RS;;;;;;RL;;MS;;;;SD;;GG;;;;red;604;604.0
ea65e8a4-4ab3-4697-87f7-b89f3cd9b13b;2025-04-27;1900-01-01 10:05:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;SD;;GG;;;;green;605;606.0
e1cf1265-74e2-4eac-9bd4-5a951bfe4629;2025-04-27;1900-01-01 10:07:00;NO;RL;;;;;;RS;;;;;;RL;;MS;;;;RL;;GG;;;;red;607;608.0
0339f02e-4dfa-43fe-b613-d0af6a084fb8;2025-04-27;1900-01-01 10:09:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;RL;;GG;;;;green;609;610.0
22b7c9b5-65bc-437e-bc01-7558412b3a79;2025-04-27;1900-01-01 10:11:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;RL;;GG;;;;green;611;612.0
4e179242-56dc-43a2-ab07-77b78459ca94;2025-04-27;1900-01-01 10:13:00;NO;RL;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;red;613;614.0
f1912a7e-1c8c-444c-abb2-cc05bd5b4a68;2025-04-27;1900-01-01 10:15:00;Yes;RL;;;;;;RS;;;;;;RL;;MS;;;;RS;;GG;;;;green;615;616.0
b5a170d5-bacc-45ff-b279-3284399b6c57;2025-04-27;1900-01-01 10:18:00;NO;RL;;;;;;RS;;;;;;RL;;;;;;M;;;;;;;618;618.0
26762266-f66d-43db-bebb-4366aca2baaa;2025-04-27;1900-01-01 10:19:00;NO;RL;;;;;;RS;;;;;;RL;;;;;;RS;;;;;;red;619;620.0
