ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,behaviour,qualifier,partner,eating,playing,moving,resting,sitting,self_direct,grooming
xyc,,2025-03-11T00:00:00.000Z,585,A1,,morn1,morn1_A1,MN,M,,,0,0,1,0,0,0,0
xyc,,2025-03-11T00:00:00.000Z,585,A1,,morn1,morn1_A1,NY,M,,,0,0,1,0,0,0,0
xyc,,2025-03-11T00:00:00.000Z,585,A1,,morn1,morn1_A1,NR,M,,,0,0,1,0,0,0,0
xyc,,2025-03-11T00:00:00.000Z,585,A1,,morn1,morn1_A1,TK,R,S,,0,0,0,1,1,0,0
xyc,,2025-03-11T00:00:00.000Z,585,A1,,morn1,morn1_A1,LN,R,S,,0,0,0,1,1,0,0
xyz,,2025-03-11T00:00:00.000Z,587,A1,,morn1,morn1_A1,MN,R,S,,0,0,0,1,1,0,0
xyz,,2025-03-11T00:00:00.000Z,587,A1,,morn1,morn1_A1,NY,R,S,,0,0,0,1,1,0,0
xyz,,2025-03-11T00:00:00.000Z,587,A1,,morn1,morn1_A1,NR,R,S,,0,0,0,1,1,0,0
xyz,,2025-03-11T00:00:00.000Z,587,A1,,morn1,morn1_A1,TK,R,S,,0,0,0,1,1,0,0
xyz,,2025-03-11T00:00:00.000Z,587,A1,,morn1,morn1_A1,LN,R,S,,0,0,0,1,1,0,0
007393f8-4fe9-4880-a04d-53e3efef94c6,,2025-03-11T00:50:34.000Z,590,A1,,morn1,morn1_A1,MN,R,S,,0,0,0,1,1,0,0
007393f8-4fe9-4880-a04d-53e3efef94c6,,2025-03-11T00:50:34.000Z,590,A1,,morn1,morn1_A1,NY,R,S,,0,0,0,1,1,0,0
007393f8-4fe9-4880-a04d-53e3efef94c6,,2025-03-11T00:50:34.000Z,590,A1,,morn1,morn1_A1,NR,R,S,,0,0,0,1,1,0,0
007393f8-4fe9-4880-a04d-53e3efef94c6,,2025-03-11T00:50:34.000Z,590,A1,,morn1,morn1_A1,TK,R,S,,0,0,0,1,1,0,0
007393f8-4fe9-4880-a04d-53e3efef94c6,,2025-03-11T00:50:34.000Z,590,A1,,morn1,morn1_A1,LN,R,S,,0,0,0,1,1,0,0
833d371e-054b-4a34-bd41-9e3e592baa69,,2025-03-11T00:53:08.000Z,591,A1,,morn1,morn1_A1,MN,R,S,,0,0,0,1,1,0,0
