ec5_uuid,condition,date,msm,group,trial,phase,block_ID,Ind1,behaviour,qualifier,partner,notes,playing,aggression
pBh,,2025-04-04T00:00:00.000Z,582,A2,,morn1,morn1_A2,ST,D,S,,,0,1
kud,,2025-04-04T00:00:00.000Z,688,A2,,morn2,morn2_A2,ST,D,S,,,0,1
O5Z,,2025-04-04T00:00:00.000Z,856,A2,,enrich,enrich_A2,ST,D,S,,,0,1
EYO,,2025-04-04T00:00:00.000Z,859,A2,,enrich,enrich_A2,ST,D,S,,,0,1
PWQ,,2025-04-16T00:00:00.000Z,625,A2,,morn1,morn1_A2,ST,D,S,,,0,1
hRT,,2025-04-16T00:00:00.000Z,628,A2,,morn1,morn1_A2,ST,D,S,,,0,1
0jF,,2025-04-16T00:00:00.000Z,629,A2,,morn1,morn1_A2,ST,D,S,,,0,1
VuV,,2025-04-16T00:00:00.000Z,635,A2,,extra,_A2,ST,D,S,,,0,1
THT,,2025-04-16T00:00:00.000Z,652,A2,,morn2,morn2_A2,ST,D,S,,,0,1
9sX,,2025-04-16T00:00:00.000Z,654,A2,,morn2,morn2_A2,ST,D,S,,,0,1
any,,2025-04-16T00:00:00.000Z,672,A2,,morn2,morn2_A2,ST,PL,,TK,,1,0
fTQ,,2025-04-16T00:00:00.000Z,674,A2,,morn2,morn2_A2,ST,D,S,,,0,1
xVm,,2025-04-16T00:00:00.000Z,679,A2,,morn2,morn2_A2,ST,PL,,TN,,1,0
g4q,,2025-04-16T00:00:00.000Z,680,A2,,morn2,morn2_A2,ST,PL,,TN,,1,0
TQP,,2025-04-16T00:00:00.000Z,681,A2,,morn2,morn2_A2,ST,PL,,TN,,1,0
iZ9,,2025-04-16T00:00:00.000Z,682,A2,,morn2,morn2_A2,ST,PL,,TN,,1,0
6Ls,,2025-04-16T00:00:00.000Z,683,A2,,morn2,morn2_A2,ST,PL,,TN,,1,0
oTQ,,2025-04-17T00:00:00.000Z,582,A2,,morn1,morn1_A2,ST,D,S,,,0,1
KVc,,2025-04-22T00:00:00.000Z,586,A2,,morn1,morn1_A2,ST,D,S,,,0,1
tqV,,2025-04-26T00:00:00.000Z,629,A2,,morn1,morn1_A2,ST,D,S,,,0,1
REc,,2025-04-26T00:00:00.000Z,647,A2,,morn2,morn2_A2,ST,D,S,,,0,1
mMa,,2025-04-27T00:00:00.000Z,584,A2,,morn1,morn1_A2,ST,D,S,,,0,1
mju,,2025-04-27T00:00:00.000Z,825,A2,,enrich,enrich_A2,ST,D,S,,,0,1
8wE,,2025-04-27T00:00:00.000Z,857,A2,,enrich,enrich_A2,ST,PL,,TK,,1,0
40C,,2025-04-30T00:00:00.000Z,811,A2,,enrich,enrich_A2,ST,D,S,,,0,1
DV8,,2025-01-05T00:00:00.000Z,619,A2,,morn1,morn1_A2,ST,D,S,,,0,1
Ahr,,2025-01-05T00:00:00.000Z,682,A2,,morn2,morn2_A2,ST,D,S,,,0,1
nZF,,2025-01-05T00:00:00.000Z,685,A2,,morn2,morn2_A2,ST,D,S,,,0,1
Swd,,2025-01-05T00:00:00.000Z,687,A2,,morn2,morn2_A2,ST,D,S,,,0,1
bgt,,2025-01-05T00:00:00.000Z,805,A2,,enrich,enrich_A2,ST,PL,,TK,,1,0
NUb,,2025-04-05T00:00:00.000Z,684,A2,,morn2,morn2_A2,ST,D,S,,,0,1
N3J,,2025-04-05T00:00:00.000Z,700,A2,,morn2,morn2_A2,ST,D,S,,,0,1
mpf,,2025-05-05T00:00:00.000Z,863,A2,,enrich,enrich_A2,ST,PL,,NY,,1,0
FnG,,2025-05-05T00:00:00.000Z,864,A2,,enrich,enrich_A2,ST,PL,,NY,,1,0
gEo,,2025-05-05T00:00:00.000Z,883,A2,,enrich,enrich_A2,ST,PL,,NY,,1,0
jPE,,2025-05-05T00:00:00.000Z,884,A2,,enrich,enrich_A2,ST,PL,,NY,,1,0
uO3,,2025-05-05T00:00:00.000Z,885,A2,,enrich,enrich_A2,ST,PL,,NY,,1,0
QjT,,2025-05-14T00:00:00.000Z,646,A2,,morn2,morn2_A2,ST,D,S,,,0,1
sD6,,2025-05-14T00:00:00.000Z,660,A2,,morn2,morn2_A2,ST,PL,,TK,,1,0
NZe,,2025-05-14T00:00:00.000Z,668,A2,,morn2,morn2_A2,ST,PL,,TK,,1,0
1Hq,,2025-05-14T00:00:00.000Z,669,A2,,morn2,morn2_A2,ST,PL,,TK,,1,0
k8X,,2025-05-14T00:00:00.000Z,670,A2,,morn2,morn2_A2,ST,PL,,TK,,1,0
sM7,,2025-05-14T00:00:00.000Z,671,A2,,morn2,morn2_A2,ST,PL,,TK,,1,0
z8m,,2025-05-14T00:00:00.000Z,672,A2,,morn2,morn2_A2,ST,PL,,TK,,1,0
Brq,,2025-05-15T00:00:00.000Z,606,A2,,morn1,morn1_A2,ST,PL,,TK,,1,0
yaC,,2025-05-15T00:00:00.000Z,630,A2,,morn1,morn1_A2,ST,D,S,,,0,1
zfR,,2025-05-15T00:00:00.000Z,867,A2,,enrich,enrich_A2,ST,D,S,,,0,1
p1F,,2025-05-15T00:00:00.000Z,870,A2,,enrich,enrich_A2,ST,D,S,,,0,1
Ff5,,2025-05-19T00:00:00.000Z,595,A2,,morn1,morn1_A2,ST,D,S,,,0,1
ODE,,2025-05-30T00:00:00.000Z,589,A2,,morn1,morn1_A2,ST,PL,,TK,,1,0
07X,,2025-05-30T00:00:00.000Z,592,A2,,morn1,morn1_A2,ST,PL,,TK,,1,0
YDN,,2025-05-31T00:00:00.000Z,607,A2,,morn1,morn1_A2,ST,PL,,TK,,1,0
eK3,,2025-05-31T00:00:00.000Z,680,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
ZMY,,2025-05-31T00:00:00.000Z,681,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
VNR,,2025-05-31T00:00:00.000Z,682,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
F2y,,2025-05-31T00:00:00.000Z,683,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
Lp8,,2025-05-31T00:00:00.000Z,684,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
4qK,,2025-05-31T00:00:00.000Z,685,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
zH3,,2025-05-31T00:00:00.000Z,686,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
D9v,,2025-05-31T00:00:00.000Z,687,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
b7Q,,2025-05-31T00:00:00.000Z,688,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
2cX,,2025-05-31T00:00:00.000Z,689,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
mJ5,,2025-05-31T00:00:00.000Z,690,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
8R9,,2025-05-31T00:00:00.000Z,691,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
k4W,,2025-05-31T00:00:00.000Z,692,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
N2z,,2025-05-31T00:00:00.000Z,693,A2,,morn2,morn2_A2,ST,PL,,SR,,1,0
yVr,,2025-09-04T00:00:00.000Z,629,A2,,morn1,morn1_A2,NY,D,S,,,0,1
ca9,,2025-04-21T00:00:00.000Z,661,A2,,morn2,morn2_A2,NY,D,S,,,0,1
zC5,,2025-04-05T00:00:00.000Z,690,A2,,morn2,morn2_A2,NY,D,S,,,0,1
3CY,,2025-04-05T00:00:00.000Z,862,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
nAh,,2025-04-05T00:00:00.000Z,863,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
Z8y,,2025-04-05T00:00:00.000Z,864,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
uK1,,2025-04-05T00:00:00.000Z,865,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
R3a,,2025-04-05T00:00:00.000Z,866,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
Fmb,,2025-04-05T00:00:00.000Z,867,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
cJh,,2025-04-05T00:00:00.000Z,868,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
n9h,,2025-04-05T00:00:00.000Z,869,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
h2y,,2025-04-05T00:00:00.000Z,870,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
UNQ,,2025-04-05T00:00:00.000Z,871,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
nqm,,2025-04-05T00:00:00.000Z,872,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
J6z,,2025-04-05T00:00:00.000Z,873,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
zeo,,2025-04-05T00:00:00.000Z,874,A2,,enrich,enrich_A2,NY,PL,,TK,,1,0
qut,,2025-05-19T00:00:00.000Z,660,A2,,morn2,morn2_A2,NY,D,S,,,0,1
tbt,,2025-05-30T00:00:00.000Z,699,A2,,morn2,morn2_A2,NY,D,S,,,0,1
9ET,,2025-05-30T00:00:00.000Z,704,A2,,morn2,morn2_A2,NY,D,S,,,0,1
TTa,,2025-05-30T00:00:00.000Z,876,A2,,enrich,enrich_A2,NY,D,S,,,0,1
hHp,,2025-05-31T00:00:00.000Z,894,A2,,enrich,enrich_A2,NY,PL,,SR,,1,0
a8G,,2025-05-31T00:00:00.000Z,895,A2,,enrich,enrich_A2,NY,PL,,SR,,1,0
JKz,,2025-05-31T00:00:00.000Z,896,A2,,enrich,enrich_A2,NY,PL,,SR,,1,0
xjU,,2025-04-04T00:00:00.000Z,603,A2,,morn1,morn1_A2,SR,D,S,,,0,1
xOh,,2025-04-04T00:00:00.000Z,811,A2,,enrich,enrich_A2,SR,D,S,,,0,1
xho,,2025-04-16T00:00:00.000Z,663,A2,,morn2,morn2_A2,SR,D,S,,,0,1
8o1,,2025-04-30T00:00:00.000Z,578,A2,,morn1,morn1_A2,SR,D,S,,,0,1
Da9,,2025-01-05T00:00:00.000Z,608,A2,,morn1,morn1_A2,SR,PL,,TN,,1,0
Uft,,2025-04-04T00:00:00.000Z,582,A2,,morn1,morn1_A2,TK,D,S,,,0,1
3Xa,,2025-04-04T00:00:00.000Z,582,A2,,morn1,morn1_A2,TK,PL,,,,1,0
Aup,,2025-04-04T00:00:00.000Z,593,A2,,morn1,morn1_A2,TK,D,S,,,0,1
jRU,,2025-04-04T00:00:00.000Z,600,A2,,morn1,morn1_A2,TK,D,S,,,0,1
pHC,,2025-04-04T00:00:00.000Z,679,A2,,morn2,morn2_A2,TK,PL,,,,1,0
Qyx,,2025-04-04T00:00:00.000Z,807,A2,,enrich,enrich_A2,TK,D,S,,,0,1
K8Z,,2025-04-04T00:00:00.000Z,589,A2,,morn1,morn1_A2,TK,PL,,,,1,0
5Bm,,2025-04-04T00:00:00.000Z,590,A2,,morn1,morn1_A2,TK,PL,,,,1,0
U5K,,2025-04-04T00:00:00.000Z,591,A2,,morn1,morn1_A2,TK,PL,,,,1,0
V3C,,2025-04-04T00:00:00.000Z,592,A2,,morn1,morn1_A2,TK,PL,,,,1,0
tfg,,2025-08-04T00:00:00.000Z,579,A2,,morn1,morn1_A2,TK,PL,,,,1,0
3eM,,2025-08-04T00:00:00.000Z,599,A2,,morn1,morn1_A2,TK,PL,,,,1,0
b3S,,2025-08-04T00:00:00.000Z,828,A2,,enrich,enrich_A2,TK,D,S,,,0,1
kV0,,2025-08-04T00:00:00.000Z,857,A2,,enrich,enrich_A2,TK,D,S,,,0,1
g9D,,2025-08-04T00:00:00.000Z,838,A2,,enrich,enrich_A2,TK,PL,,,,1,0
M2G,,2025-08-04T00:00:00.000Z,839,A2,,enrich,enrich_A2,TK,PL,,,,1,0
vZ3,,2025-08-04T00:00:00.000Z,840,A2,,enrich,enrich_A2,TK,PL,,,,1,0
c5F,,2025-08-04T00:00:00.000Z,841,A2,,enrich,enrich_A2,TK,PL,,,,1,0
B4n,,2025-08-04T00:00:00.000Z,842,A2,,enrich,enrich_A2,TK,PL,,,,1,0
q2K,,2025-08-04T00:00:00.000Z,843,A2,,enrich,enrich_A2,TK,PL,,,,1,0
nrY,,2025-08-04T00:00:00.000Z,844,A2,,enrich,enrich_A2,TK,PL,,,,1,0
9sG,,2025-08-04T00:00:00.000Z,594,A2,,morn1,morn1_A2,TK,PL,,,,1,0
Xra,,2025-08-04T00:00:00.000Z,595,A2,,morn1,morn1_A2,TK,PL,,,,1,0
2jS,,2025-08-04T00:00:00.000Z,596,A2,,morn1,morn1_A2,TK,PL,,,,1,0
VGn,,2025-08-04T00:00:00.000Z,597,A2,,morn1,morn1_A2,TK,PL,,,,1,0
gvg,,2025-09-04T00:00:00.000Z,629,A2,,morn1,morn1_A2,TK,D,S,,,0,1
