ec5_uuid;created_at;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;highlight
26afc396-dc72-41eb-baed-eace7af91c4c;2025-03-11T00:46:53.000Z;09:45;;RS;;;;;RS;;;;;RS;;;;;red
0962879c-c4a2-494c-bc93-79d32ec76828;2025-03-11T00:47:53.000Z;09:47;Yes;RS;;;;;RS;;;;;RS;;;;;green
0bc8d251-68da-4852-9894-ad051a852e48;2025-03-11T00:50:58.000Z;09:50;;RS;;;;;RS;;NH;;;RS;;ST;;;
c2f07979-391c-4336-aa01-002e403e8221;2025-03-11T00:52:28.000Z;09:51;;RS;;NH;;;RS;;;;;RS;;MS;;;red
cffb1b05-ffce-419e-95d4-75c5c267c3cf;2025-03-11T00:53:56.000Z;09:53;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green
130d9136-9862-40be-936f-601eca418b7b;2025-03-11T00:56:05.000Z;09:55;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green
255d0826-c7e9-4687-a25f-ed491ef5d258;2025-03-11T00:58:04.000Z;09:57;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green
c80e2fdc-edaa-4371-9799-a2a6dd36e650;2025-03-11T00:59:50.000Z;09:59;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green
b1c8ef4d-fd02-46d6-837c-60beea0ec643;2025-03-11T01:01:49.000Z;10:01;Yes;RS;;NH;;;RS;;;;;RS;;MS;;;green
be7f421b-6a8d-4733-b29c-6ff333b23fd5;2025-03-11T01:04:04.000Z;10:03;;RS;;;NH;;;;;;;RS;;;MS;;
932e3d70-3c01-44c5-91e5-d0b9578b12e9;2025-03-11T01:06:05.000Z;10:05;;RS;;;;;;;;;;M;;;;;
cb19508d-e1e4-44a3-8146-3a106906ecbf;2025-03-11T01:08:04.000Z;10:07;;RS;NH;;;;;;;;;RS;MS;;;;red
e79c0c04-a549-4549-869e-79773c9bc830;2025-03-11T01:09:53.000Z;10:09;Yes;RS;NH;;;;;;;;;RS;MS;;;;green
5b3aafd2-f3c4-49b0-b97a-a0de95374e1d;2025-03-11T01:11:54.000Z;10:11;Yes;RS;NH;;;;;;;;;RS;MS;;;;green
865dc044-b111-4f86-a967-da3aa1c8c997;2025-03-11T01:13:59.000Z;10:13;;RS;;;;;;;;;;RS;;;;;
