ec5_uuid;created_at;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3;8_Notes;10_ST_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_LN_Behavior;23_Contact;24_AR;25_3;26_Notes;28_NR_Behavior;29_Contact;30_AR;31_3M;32_Notes;34_MN_Behavior;35_Contact;36_AR;37_3M;38_Notes;40_NY_Behavior;41_Contact;42_AR;43_3M;44_Notes
c2021bc8-d46f-47e4-8a32-24726700a0b6;2025-03-12T05:03:58.000Z;14:03;;;;;;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;
c2021bc8-d46f-47e4-8a32-24726700a0b6;2025-03-12T05:03:58.000Z;14:03;;;;;;;;;;;;DS;;;;Pan hoot with stick;;;;;;;;;;;;;;;;;;;;
7e373872-3d0f-4779-889f-01102d52128e;2025-03-12T05:06:11.000Z;14:05;;;;;;;;;;;;DS;;;;;;;;;;;;;;;;;;;;;;;;
ecfc7357-f1d3-4a3e-9c03-68040660035b;2025-03-12T05:08:06.000Z;14:07;;;;;;;DS;;NH;;;DS;;ST;;;;;;;;;;;;;;;;;;;;;;
ecfc7357-f1d3-4a3e-9c03-68040660035b;2025-03-12T05:08:06.000Z;14:07;;;;;;;DS;;NH;;Towards cage c;DS;;ST;;Towards cage c;;;;;;;;;;;;;;;;;;;;
9de25b42-d6c4-4733-b67e-5080ea954b05;2025-03-12T05:10:08.000Z;14:09;;;;;;;DS;;NH;;;DS;;ST;;;;;;;;;;;;;;;;;;;;;;
7042277d-2331-47be-9021-80a990a01672;2025-03-12T05:22:13.000Z;14:21;;;;;;;;;;;Looking at aggressions in cage c;DS;;;;;;;;;;;;;;;;;;;;;;;;
eb57ce1a-0fc2-4b11-bece-1a215981a5a6;2025-03-12T05:28:02.000Z;14:27;;PL;;NH;;;;;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;
eb57ce1a-0fc2-4b11-bece-1a215981a5a6;2025-03-12T05:28:02.000Z;14:27;;PL;;NH;;;;;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;
8990c4d8-5028-4750-bd62-d9a5a9c7316e;2025-03-12T05:30:12.000Z;14:29;;PL;;ST, NH;;;PL;;MS, NH;;;PL;;MS, ST;;;;;;;;;;;;;;;;;;;;;;
8990c4d8-5028-4750-bd62-d9a5a9c7316e;2025-03-12T05:30:12.000Z;14:29;;PL;;ST, NH;;;PL;;MS, NH;;;PL;;MS, ST;;;;;;;;;;;;;;;;;;;;;;
22280968-7cb0-46e1-b88a-e0a56934f328;2025-03-12T05:35:52.000Z;14:35;;PL;ST;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22280968-7cb0-46e1-b88a-e0a56934f328;2025-03-12T05:35:52.000Z;14:35;;PL;ST;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2798817d-708f-48c2-8a1b-c57dcac4b1e2;2025-03-12T05:37:30.000Z;14:37;Yes;PL;ST;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2798817d-708f-48c2-8a1b-c57dcac4b1e2;2025-03-12T05:37:30.000Z;14:37;Yes;PL;ST;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e374d507-c698-46b2-ac5d-3d12fd2b12cd;2025-03-12T05:39:37.000Z;14:39;Yes;PL;ST;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
e374d507-c698-46b2-ac5d-3d12fd2b12cd;2025-03-12T05:39:37.000Z;14:39;Yes;PL;ST;;;;PL;MS;;;;;;;;;;;;;;;;;;;;;;;;;;;;
