ec5_uuid;created_at;1_TIme;2_NC;4_LN_Behavior;5_Contact;6_AR;7_3;8_Notes;10_MN_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NR_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight
589acbf7-d2bd-475d-819f-8be323479fef;2025-03-14T00:45:23.000Z;09:44;;RS;;;;;;;NR;;;RS;;;;;PL;;MN;;;red
7ee79de3-115d-40ac-9cd0-bd881b5cca62;2025-03-14T00:46:36.000Z;09:46;Yes;RS;;;;;;;NR;;;RS;;;;;PL;;MN;;;green
a34e9985-10cd-4907-a518-00e9e716ca09;2025-03-14T00:49:18.000Z;09:48;;RS;;;NH;;PL;;NR;;;RS;;;LN;;PL;;MN;;;
895c7f1b-5c49-4cfb-b3d5-a444c759daa8;2025-03-14T01:09:24.000Z;10:08;;RS;;;;;PL;;;;Playing with a bottle;M;;;;;RS;;;;;
37389303-c253-4154-8ec0-1c684fed8e49;2025-03-14T01:17:09.000Z;10:16;;RS;;;;;DS;;;;Towards cage c;DS;;;;Towards cage c;M;;;;;
4cf78534-4969-468f-8e3f-46817c70d734;2025-03-14T01:28:59.000Z;10:28;;RS;;;NH;;RS;;;;;RS;;;LN;;PL;;;;Playing with a bottle;
c934b92c-f194-4b67-8425-0174a72af684;2025-03-14T01:31:03.000Z;10:30;;RS;;;;;PL;;;NR;;M;;;;;PL;;;MN;;
0a61340a-660d-4d6a-97e5-f469015cc92c;2025-03-14T04:48:58.000Z;13:48;;RS;;;MN;;RS;;;LN;;PL;;NR;;;PL;;NH;;;red
56d5bda0-86ba-4562-9964-c203e238bbd0;2025-03-14T04:50:18.000Z;13:49;Yes;RS;;;MN;;RS;;;LN;;PL;;NR;;;PL;;NH;;;green
6ef88271-c776-4cc2-83c0-d5f118d717df;2025-03-14T04:52:01.000Z;13:51;Yes;RS;;;MN;;RS;;;LN;;PL;;NR;;;PL;;NH;;;green
67efdec0-419d-42dd-a9c3-013cdf30371c;2025-03-14T04:54:01.000Z;13:53;Yes;RS;;;MN;;RS;;;LN;;PL;;NR;;;PL;;NH;;;green
19aeb07d-44b1-494a-82a5-e69e125c1002;2025-03-23T00:52:39.000Z;09:51;;RS;;;NH;;PL;;NR;;;RS;;;LN;;PL;;MN;;;
fcd3521a-0d39-4c28-b305-49996f48a378;2025-03-23T04:33:57.000Z;13:33;;RS;;;;;RS;;;;;PL;;NR;;;PL;;NH;;;red
976dcfe0-0817-43da-aa5d-00a9c9ea7d52;2025-03-23T04:35:35.000Z;13:35;Yes;RS;;;;;RS;;;;;PL;;NR;;;PL;;NH;;;green
251f372c-f46d-48b2-af1a-1e875d3e8577;2025-03-24T00:49:10.000Z;09:48;;RS;;;;;PL;;NR;;;E;;;;;PL;;MN;;;
222b219a-f5ff-43d5-88c6-cc15d0be156e;2025-03-24T01:25:14.000Z;10:24;;RS;;;;;PL;;NR;;;RS;;;;;PL;;MN;;;red
3939f477-0d62-4b91-b651-436b5452a7d7;2025-03-24T01:26:47.000Z;10:26;Yes;RS;;;;;PL;;NR;;;RS;;;;;PL;;MN;;;green
cb0e0c90-c1b7-4a39-824d-ce4ca3932c78;2025-03-24T01:28:48.000Z;10:28;Yes;RS;;;;;PL;;NR;;;RS;;;;;PL;;MN;;;green
3287e783-21b1-47e3-8222-70a568353ee6;2025-03-24T05:02:48.000Z;14:02;;RS;;;MN;;RS;;;LN;;PL;;NR;;;PL;;NH;;;
b445b66c-d5be-4213-a185-f9b1adacffb9;2025-03-24T05:08:43.000Z;14:08;;RS;;;MN;;RL;;;LN;;PL;;NR;;;PL;;NH;;;
08e9142c-8e54-4ce6-a49b-8046567ab424;2025-03-24T05:13:10.000Z;14:12;;GM;MN;;;;GM;LN;;;;PL;;NR;;;PL;;NH;;;
