ec5_uuid;created_at;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NH_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_MN_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NY_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight
a2b04628-495d-4a6d-aa06-afbedb5b9bea;2025-04-16T00:39:55.000Z;09:39;;E;;;NH;;M;;;MS;;DS;;;;Towards cage c;RS;;;;;
f3e5dfea-8396-4bf4-b44a-8a3d62935e7e;2025-04-16T00:44:28.000Z;09:43;;E;;;;;DS;;;;;RS;;;;Displayed pan hoot;RL;;;;;
f3e5dfea-8396-4bf4-b44a-8a3d62935e7e;2025-04-16T00:44:28.000Z;09:43;;E;;;;;DS;;;;;DS;;;;Displayed pan hoot;RL;;;;;
9e7f4adf-46b9-4050-90ff-ad45ab1c7ff0;2025-04-16T01:53:57.000Z;10:53;;M;;;;;AG;MN, NY;;;;AG;NH, NY;;;Ag towards ny;AG;NH, MN;;;;
1c807d5f-f6ee-4f99-8262-7093058d0410;2025-04-16T01:56:31.000Z;10:56;NO;RS;;;;All for of them displayed toward cage c;M;;;;;M;;;;;RL;;;;;
1c807d5f-f6ee-4f99-8262-7093058d0410;2025-04-16T01:56:31.000Z;10:56;NO;DS;;;;All for of them displayed toward cage c;DS;;;;;DS;;;;;DS;;;;;
96b5bc45-609a-4e46-942d-899748f2e30b;2025-04-16T01:58:17.000Z;10:57;;DS;;;;;DS;;;MN, NY;;DS;;;NH, NY;;DS;;;NH, MN;All of them displayed toward cage c;
f01b9606-a535-4c4a-834f-f7659f6475b8;2025-04-17T05:41:41.000Z;14:41;;PL;;NY;;;GM;MN;;;;GM;NH;;;;PL;;MS;;;
1633cc6d-7444-45df-bae9-a1296ff55643;2025-04-30T01:08:58.000Z;10:08;;RS;;;NH;;RS;;;MS;;AG;;;;Ag towards cage c;RL;;;;;
1633cc6d-7444-45df-bae9-a1296ff55643;2025-04-30T01:08:58.000Z;10:08;;RS;;;NH;;RS;;;MS;;DS;;;;Ag towards cage c;RL;;;;;
7c5f2bdd-596a-40b6-a8c0-50fb1a5ea65d;2025-04-30T01:20:57.000Z;10:20;;PL;NY;;;;RS;;;;;RS;;;;;PL;MS;;;;red
c4e4ddc5-7b29-4cae-a6b3-f9fdad537e26;2025-04-30T01:22:15.000Z;10:22;Yes;PL;NY;;;;RS;;;;;RS;;;;;PL;MS;;;;green
7d19fe0a-98e5-4f45-bfff-aab5eff828ea;2025-04-30T01:24:29.000Z;10:24;Yes;PL;NY;;;;RS;;;;;RS;;;;;PL;MS;;;;green
14b4f314-6807-4296-a002-f7864aa0cdb3;2025-04-30T04:19:44.000Z;13:18;;M;NY;;;;M;;;;;M;;;;;AG;MS;;;Towards MS;
e49d37a8-6aad-444a-a0d9-ed75f9aaad62;2025-04-30T04:27:27.000Z;13:26;;RS;;;;;M;;;;;AG;;;;Towards cage c;M;;;;;
