ec5_uuid;created_at;1_TIme;2_NC;4_MN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_LN_Behavior;29_Contact;30_AR;31_3M;Unnamed: 28;highlight
xyc;11.03.2025;09:45;;M;;;;;M;;;;;M;;;;;RS;;;;;RS;;;;;
xyz;11.03.2025;09:47;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;
007393f8-4fe9-4880-a04d-53e3efef94c6;2025-03-11T00:50:34.000Z;09:50;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;
833d371e-054b-4a34-bd41-9e3e592baa69;2025-03-11T00:53:08.000Z;09:51;NO;RS;;;;;RS;;;;;RS;;TK, TN;;;RS;;NY, ST;;;M;;NY, TK;;;
9b466443-684f-4718-afdb-169f2296d407;2025-03-11T00:54:21.000Z;09:53;NO;RS;;;;;RS;;;;;M;;;;;RS;;;;;RS;;;;;
8b2b94fc-413c-4bdb-a49e-4973a7a4af6d;2025-03-11T00:56:54.000Z;09:56;NO;RS;;;NY;;RS;;;;;RS;;;ST;;RS;;;;;RS;;;;;
f5691a9a-fc19-4221-aa5e-704967b4b1c6;2025-03-11T00:58:18.000Z;09:57;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;
55eca3a1-dae1-4304-b140-83be6dcf9242;2025-03-11T01:00:12.000Z;09:59;NO;GM;SR;;;;RS;;;;;RS;;;;;RS;;;;;GM;ST;;;;
5c6ae97d-5896-448a-83cd-aae8fa20b222;2025-03-11T01:02:18.000Z;10:01;NO;GM;SR;;;;RS;;;;;RS;;;;;RS;;;;;GM;ST;;;;
7c737b84-df8f-4c41-82ed-762a14aa570b;2025-03-11T01:04:31.000Z;10:03;NO;GM;SR;;;;RS;;;;;E;;TK;;;RS;;NY;;;GM;ST;;;;red
d048e454-faf1-4ef2-a0a6-4958ba53499d;2025-03-11T01:06:09.000Z;10:05;Yes;GM;SR;;;;RS;;;;;E;;TK;;;RS;;NY;;;GM;ST;;;;green
55a553aa-d3ba-4b03-a39a-0fe5dae35a5a;2025-03-11T01:08:17.000Z;10:07;NO;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;red
ace16477-e6c4-4c15-a32f-321a919ca34e;2025-03-11T01:09:53.000Z;10:09;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green
7316c168-4fd8-48c9-8cfc-432bed61b5a9;2025-03-11T01:11:53.000Z;10:11;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green
f8ae8c9b-d917-44ae-badb-a2e40b6a3b3e;2025-03-11T01:13:52.000Z;10:13;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green
6764d913-2a53-4cd0-b0f2-f25301a26609;2025-03-11T01:15:55.000Z;10:15;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green
93900f6e-b2e6-4d4b-8bab-ef7ee2c0d457;2025-03-11T01:17:54.000Z;10:17;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green
400314c9-af10-413f-8007-4983e81053eb;2025-03-11T01:19:53.000Z;10:19;Yes;GG;NR;;;;RS;;;;;RS;;;;;RS;;;;;GR;MN;;;;green
796c4e7c-6ae6-4831-97e6-cc38747864a1;2025-03-11T01:22:13.000Z;10:21;NO;GM;NR;;;;RS;;;;;RS;;;;;RS;;;;;GM;MN;;;;red
322fc77a-4908-4ff8-99ff-6098d3871158;2025-03-11T01:23:55.000Z;10:23;Yes;GM;NR;;;;RS;;;;;RS;;;;;RS;;;;;GM;MN;;;;green
3de43702-8ec8-4737-a9ff-21e621e94b24;2025-03-11T01:25:51.000Z;10:25;Yes;GM;NR;;;;RS;;;;;RS;;;;;RS;;;;;GM;MN;;;;green
bc4564f2-8cea-4475-93ec-477ff3e35443;2025-03-11T01:27:14.000Z;10:27;Yes;GM;NR;;;;RS;;;;;RS;;;;;RS;;;;;GM;MN;;;;green
7ec87ce8-86c5-41bf-aea5-0f2df973ec1f;2025-03-11T01:29:58.000Z;10:29;Yes;GM;NR;;;;RS;;;;;RS;;;;;RS;;;;;GM;MN;;;;green
19e14022-e1c3-44cd-b5ed-811669e97fb1;2025-03-11T01:46:39.000Z;10:45;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;M;;;;;
fd36e9c5-d41e-48e2-99c5-ce93c79ec4fd;2025-03-11T01:48:55.000Z;10:47;NO;M;;;;;GR;TK;;NR;;RS;;;TK, NY;;GG;NR;;NY;;M;;;;;
31344d02-c769-4ea0-bce8-168c71ca6629;2025-03-11T01:50:55.000Z;10:49;NO;RS;;TK, LN;;;RS;;TK, LN;;;RS;;;;;RS;;NR, LN;;;M;;;;;
7388c659-8cf5-495f-bbec-2ede5525d5fc;2025-03-11T01:52:35.000Z;10:51;NO;M;;;;;RS;;TK;;;M;;LN;;;RS;;NR;;;RS;;NY;;;
a9e5fcc5-0b49-4635-a235-7571c514d9ef;2025-03-11T01:54:51.000Z;10:53;NO;RS;;LN;;;RS;;LN;;;RS;;LN;;;RS;;;;;RS;;NY;;;red
442fd50d-f879-4092-ae12-c6c8f7fc5291;2025-03-11T01:55:49.000Z;10:55;Yes;RS;;LN;;;RS;;LN;;;RS;;LN;;;RS;;;;;RS;;NY;;;green
08d2d3e3-f48a-4d16-b56e-389596145a05;2025-03-11T01:58:27.000Z;10:57;NO;RS;;LN;;;RS;;LN;;;RS;;;;;RS;;;;;RS;;;;;red
ab79daf3-d9ae-4553-b5f7-ab71ce9c66d7;2025-03-11T01:59:51.000Z;10:59;Yes;RS;;LN;;;RS;;LN;;;RS;;;;;RS;;;;;RS;;;;;green
5cc416bf-dc70-4f8c-8ee8-6d885d3b7da1;2025-03-11T02:01:55.000Z;11:01;Yes;RS;;LN;;;RS;;LN;;;RS;;;;;RS;;;;;RS;;;;;green
f833174c-e9d4-45f7-aafa-bbddf461f242;2025-03-11T02:04:39.000Z;11:03;NO;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;
1916ecf9-63c5-439e-bfbc-83d506aad88d;2025-03-11T02:06:57.000Z;11:05;NO;GG;NR;LN;;;RS;;LN;MN;;RS;;TK;;;RS;;NY;;;GR;MN;;NR;;
4c7a66a3-e0f4-45da-b047-051536c0bd26;2025-03-11T02:08:29.000Z;11:07;NO;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;red
4d937940-a656-4fcd-b6f5-73e0d2b89800;2025-03-11T02:10:00.000Z;11:09;Yes;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;green
edeb64f9-d2ce-437b-9910-d4239d0c9d06;2025-03-11T02:11:53.000Z;11:11;Yes;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;green
07b9d2f6-f5f7-46a8-9204-10eedaa80d5a;2025-03-11T02:13:55.000Z;11:13;Yes;GG;NR;LN;;;RS;;LN;MN;;RS;;;;;RS;;;;;GR;MN;;NR;;green
