ec5_uuid;created_at;1_TIme;2_NC;4_LN_Behavior;5_Contact;6_AR;7_3;8_Notes;10_MN_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NR_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight
da7c061b-60a6-4fc3-aa5a-24b5b8f848d0;2025-03-14T00:35:23.000Z;09:34;;RS;;;;;M;;;;;E;;;NR;;E;;;NH;;
471ae2da-d98f-40a3-b058-d04480d41884;2025-03-14T00:37:10.000Z;09:36;;M;;;NH, NR;;RS;;;;;E;;;LN, NR;;E;;;LN, NH;;
080994ed-9055-4a6d-9838-f3fa379b153c;2025-03-14T00:39:23.000Z;09:38;;E;;NR;MN;;RS;;;LN, NR;;RL;;;;;E;;LN;MN;;red
97bfc32a-3a77-400d-ac05-7a33d442d5b1;2025-03-14T00:40:21.000Z;09:40;Yes;E;;NR;MN;;RS;;;LN, NR;;RL;;;;;E;;LN;MN;;green
78fa3a7d-09a5-4f70-a27e-86645a3c2de4;2025-03-14T00:42:23.000Z;09:42;Yes;E;;NR;MN;;RS;;;LN, NR;;RL;;;;;E;;LN;MN;;green
589acbf7-d2bd-475d-819f-8be323479fef;2025-03-14T00:45:23.000Z;09:44;;RS;;;;;;;NR;;;RS;;;;;PL;;MN;;;red
7ee79de3-115d-40ac-9cd0-bd881b5cca62;2025-03-14T00:46:36.000Z;09:46;Yes;RS;;;;;;;NR;;;RS;;;;;PL;;MN;;;green
a34e9985-10cd-4907-a518-00e9e716ca09;2025-03-14T00:49:18.000Z;09:48;;RS;;;NH;;PL;;NR;;;RS;;;LN;;PL;;MN;;;
51c38111-43d7-4c88-8c84-d15d5fc8d6d4;2025-03-14T00:51:31.000Z;09:50;;RS;;;NH;;M;;;;;RS;;;LN;;M;;;;;
154f07d5-70b7-4f98-851a-ae754899b37f;2025-03-14T00:53:01.000Z;09:52;;RS;;NH;;;M;;;;;RS;;LN;;;M;;;;;red
9d459ea2-d03c-4a03-ac87-7a5bd4c1e7e9;2025-03-14T00:54:37.000Z;09:54;Yes;RS;;NH;;;M;;;;;RS;;LN;;;M;;;;;green
710642fc-ca87-4b33-8e47-f3101026720e;2025-03-14T00:57:05.000Z;09:56;;RS;;NH;;;RS;;;NR;;RS;;LN;;;RS;;;MN;;
854f93f7-1533-400b-85d6-f34ab7e7fc2a;2025-03-14T00:58:53.000Z;09:58;;RS;;NH, NR;;;M;;;;;RS;;LN;NR;;RS;;LN;NH;;red
c47d340e-a3bd-4e80-b8b8-dd395113851c;2025-03-14T01:00:51.000Z;10:00;Yes;RS;;NH, NR;;;M;;;;;RS;;LN;NR;;RS;;LN;NH;;green
b29b23ec-e7cd-4125-991f-5fc857554a2b;2025-03-14T01:03:16.000Z;10:02;;RS;NR;NH;;;E;;;;;RS;;LN, NR;;;RS;;LN;NH;;red
efa439c6-7307-4581-8726-d04bc2da970c;2025-03-14T01:04:29.000Z;10:04;Yes;RS;NR;NH;;;E;;;;;RS;;LN, NR;;;RS;;LN;NH;;green
09eaaf82-896f-4794-bab2-b8033605f617;2025-03-14T01:07:02.000Z;10:06;Yes;RS;NR;NH;;;E;;;;;RS;;LN, NR;;;RS;;LN;NH;;green
895c7f1b-5c49-4cfb-b3d5-a444c759daa8;2025-03-14T01:09:24.000Z;10:08;;RS;;;;;PL;;;;Playing with a bottle;M;;;;;RS;;;;;
9b244cdf-0f9a-43c4-ae0c-7cfc2ab80559;2025-03-14T01:10:57.000Z;10:10;;RS;;;NH;;RS;;;;;RS;;;LN;;RS;;;;;red
ccf43b3f-3b36-4d5e-b0f5-0083ecbb92f5;2025-03-14T01:12:36.000Z;10:12;Yes;RS;;;NH;;RS;;;;;RS;;;LN;;RS;;;;;green
8fabdcb8-3140-43dc-b2bd-28a0fbaf26ab;2025-03-14T01:15:04.000Z;10:14;;RS;;;;;RS;;;;;M;;;;;RS;;;;;
37389303-c253-4154-8ec0-1c684fed8e49;2025-03-14T01:17:09.000Z;10:16;;RS;;;;;DS;;;;Towards cage c;DS;;;;Towards cage c;M;;;;;
6a4d8dc6-a506-499a-a5e1-166ce4b80004;2025-03-14T01:18:58.000Z;10:18;;RS;;;;;DS;;;;Towards cage c;M;;;;;M;;;;;
fc387a09-9327-4577-bed4-77cc0c5e0f21;2025-03-14T01:20:59.000Z;10:20;;RS;;NH, NR;;;M;;;;;RS;;LN, NR;;;RS;;LN, NH;;;
d3075e0f-b6fb-426c-9e1b-b59af792b047;2025-03-14T01:23:10.000Z;10:22;;RS;;NR;;;RS;;;NH;;RS;;;MN;;RS;;LN;;;
f428a201-e59b-4cac-990e-47787fb66aa9;2025-03-14T01:27:13.000Z;10:26;;RS;;;NH;;M;;;;;RS;;;LN;;DS;;;;;
4cf78534-4969-468f-8e3f-46817c70d734;2025-03-14T01:28:59.000Z;10:28;;RS;;;NH;;RS;;;;;RS;;;LN;;PL;;;;Playing with a bottle;
c934b92c-f194-4b67-8425-0174a72af684;2025-03-14T01:31:03.000Z;10:30;;RS;;;;;PL;;;NR;;M;;;;;PL;;;MN;;
807971fe-aa2a-4a2f-9d4b-5294713b5fac;2025-03-14T01:47:31.000Z;10:46;;RS;;NR, NH;MN;;RS;;;LN, NH, NR;;RS;;NR;LN, MN;;RS;;LN, NH;MN;;red
6e25596f-e008-41d5-a400-a7bb84af6c21;2025-03-14T01:48:36.000Z;10:48;Yes;RS;;NR, NH;MN;;RS;;;LN, NH, NR;;RS;;NR;LN, MN;;RS;;LN, NH;MN;;green
64a956a1-3611-4477-9cc8-3e78ac6492b0;2025-03-14T01:50:28.000Z;10:50;Yes;RS;;NR, NH;MN;;RS;;;LN, NH, NR;;RS;;NR;LN, MN;;RS;;LN, NH;MN;;green
1a188b62-05b3-492d-b362-cef6ba2b5d97;2025-03-14T01:52:28.000Z;10:52;Yes;RS;;NR, NH;MN;;RS;;;LN, NH, NR;;RS;;NR;LN, MN;;RS;;LN, NH;MN;;green
fa4a3528-5b66-4820-aed5-86ea35b8a34e;2025-03-14T01:54:26.000Z;10:54;Yes;RS;;NR, NH;MN;;RS;;;LN, NH, NR;;RS;;NR;LN, MN;;RS;;LN, NH;MN;;green
965cfecf-6b89-46b8-8e1f-b7811056f6fd;2025-03-14T01:57:45.000Z;10:56;;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;red
8a80104b-72bc-40b7-8be2-dca45bba1141;2025-03-14T01:58:30.000Z;10:58;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
336e0c30-160d-4cad-b80d-8a542ea64be4;2025-03-14T02:00:24.000Z;11:00;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
5cc31092-ddc8-44c1-a467-8914ebfa556f;2025-03-14T02:02:24.000Z;11:02;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
c2a2635b-983b-4564-aeb3-412422596c7a;2025-03-14T02:04:26.000Z;11:04;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
6aab156c-7f9b-4be8-8081-420e3a35b8b2;2025-03-14T02:06:26.000Z;11:06;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
94ce1906-9088-493e-b906-07416f6aa3ee;2025-03-14T02:08:28.000Z;11:08;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
ae0edc70-883d-4b42-9c6b-b9764d227d63;2025-03-14T02:10:25.000Z;11:10;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
01cb764c-fbc9-4081-a219-f10e4fca7f64;2025-03-14T02:12:24.000Z;11:12;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
e7ebc237-497f-43bc-8d32-983926f6c3b0;2025-03-14T02:14:41.000Z;11:14;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
b3690813-994c-4a83-b22e-2b6cf89d9dc4;2025-03-14T02:16:23.000Z;11:16;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
cb25bc9b-1309-430c-8fab-9602a5c0d507;2025-03-14T02:18:27.000Z;11:18;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
5db3e8e8-4f17-45d0-bfc8-fde828aa2f54;2025-03-14T02:20:21.000Z;11:20;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
eda25e62-4133-4d39-b3a7-5c1051a637ba;2025-03-14T02:22:36.000Z;11:22;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
dde265e2-07b7-4f0e-9ffb-65d58e3c6b96;2025-03-14T02:24:30.000Z;11:24;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
04de14cf-7572-47e1-ab2c-3b3a2433fbfb;2025-03-14T02:26:43.000Z;11:26;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
86367116-9d32-447a-a89b-752e377e13db;2025-03-14T02:28:36.000Z;11:28;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
fe18eece-dfb9-42d9-a2cb-c59134d8baf8;2025-03-14T02:30:29.000Z;11:30;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
6be1afed-bda6-4ac7-9152-e49d43855e81;2025-03-14T02:32:20.000Z;11:32;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
5d44902a-7f8b-488d-b7b4-5772d9e4e7aa;2025-03-14T02:34:35.000Z;11:34;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
9391b5c0-3ecd-42ee-90e2-1092b0c635cc;2025-03-14T02:36:28.000Z;11:36;Yes;RS;;MN, NR;NH;;GM;NR;LN, NH;;;RS;;MN, NR;LN;;GM;MN;LN, NH;;;green
