ec5_uuid;created_at;1_TIme;2_NC;4_MS_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NH_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_MN_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NY_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight
c7630417-7750-4af9-9b37-cd8b29a69be5;2025-04-16T00:33:32.000Z;09:33;;E;;;NH;;RS;;;MS;;GG;NY;;;;GR;MN;;;;
ebf0aa42-a003-48b9-9295-04151da3562d;2025-04-16T00:35:30.000Z;09:35;;E;;;NH;;RS;;;MS;;RS;;;;;RS;;;;;
301f936f-2be6-4cd3-bdd3-6f00d27f622f;2025-04-16T00:37:27.000Z;09:37;;E;;;NH;;RS;;;MS;;RS;;;;;M;;;;;
a2b04628-495d-4a6d-aa06-afbedb5b9bea;2025-04-16T00:39:55.000Z;09:39;;E;;;NH;;M;;;MS;;DS;;;;Towards cage c;RS;;;;;
c40920ad-2ebd-4413-98af-e730b1144a43;2025-04-16T00:41:55.000Z;09:41;;E;;NH, NY;MN;;RS;;MS;MN, NY;;GG;NY;MS;NH;;GR;MN;MS;NH;;
f3e5dfea-8396-4bf4-b44a-8a3d62935e7e;2025-04-16T00:44:28.000Z;09:43;;E;;;;;DS;;;;;RS;;;;Displayed pan hoot;RL;;;;;
b388a932-5026-4d93-87ee-001ce4237633;2025-04-16T00:45:50.000Z;09:45;;E;;;NY;;RS;;;;;RS;;;;;M;;;MS;;
c7609210-04a2-4934-968e-331c2e6d28d7;2025-04-16T00:47:22.000Z;09:47;;E;;;;;RS;;;;;RS;;;;;RL;;;;;red
cf801c18-4f71-45c7-9b93-fd752f9a3913;2025-04-16T00:49:15.000Z;09:49;Yes;E;;;;;RS;;;;;RS;;;;;RL;;;;;green
501816ee-0272-417c-b4d4-db1b378fa850;2025-04-16T00:51:11.000Z;09:50;Yes;E;;;;;RS;;;;;RS;;;;;RL;;;;;green
5e106da1-8d6b-4953-ba2a-373a38b0e26c;2025-04-16T00:53:18.000Z;09:53;Yes;E;;;;;RS;;;;;RS;;;;;RL;;;;;green
5a16761b-d18c-47d7-9cb5-d40306666c76;2025-04-16T00:55:33.000Z;09:55;;RS;;;;;GR;MN;;;;GG;NH;;;;RL;;;;;
b5abc0f1-f790-47cf-bea0-1a504f046122;2025-04-16T00:57:38.000Z;09:57;;RS;;;;;GM;MN;;;;GM;NH;;;;RL;;;;;red
17a9d3fc-6f80-4918-97f7-12acf9562d19;2025-04-16T00:59:17.000Z;09:59;Yes;RS;;;;;GM;MN;;;;GM;NH;;;;RL;;;;;green
49603aa0-077b-426e-b06e-09d550dc410c;2025-04-16T01:01:39.000Z;10:01;;RL;;;NH;;SD;;;MS;;M;;;;;RL;;;;;red
dab728ec-47b9-4dfc-a457-300fda2a9313;2025-04-16T01:03:20.000Z;10:03;Yes;RL;;;NH;;SD;;;MS;;M;;;;;RL;;;;;green
a327e5b5-607f-4444-9a4e-86e9a0994077;2025-04-16T01:05:07.000Z;10:05;Yes;RL;;;NH;;SD;;;MS;;M;;;;;RL;;;;;green
ce027d35-6dea-40d3-8b1a-f12cdbe50fb9;2025-04-16T01:08:00.000Z;10:07;;RL;;;NH;;RS;;;MS;;M;;NY;;;M;;MN;;;
d84ffa92-9fd9-4337-9620-2c55d4dfd47c;2025-04-16T01:09:54.000Z;10:09;;RL;;;NH;;RS;;;MS;;RS;;NY;;;M;;MN;;;
b84e410e-b1a5-4f3e-9ea6-6df6ac2e439e;2025-04-16T01:11:39.000Z;10:11;;RL;;;NH;;RS;;;MS;;SD;;;NY;;RS;;;MN;;red
369ed860-1a49-471c-b1db-ae842157355d;2025-04-16T01:13:16.000Z;10:13;Yes;RL;;;NH;;RS;;;MS;;SD;;;NY;;RS;;;MN;;green
8a4bdbf1-c8bd-4a98-a88f-348dd7f69e02;2025-04-16T01:15:37.000Z;10:14;;GR;MN;;NH;;RS;;;MN, MS;;GG;MS;;NH;;RS;;;;;
bb882607-53b3-4f24-91b6-7c2513cb8825;2025-04-16T01:18:25.000Z;10:17;;GR;MN;NH;;;RS;;MN, MS;;;GG;MS;NH;;;RS;;;;;red
d856607f-6e3c-4875-aeb8-c9f5e9460b97;2025-04-16T01:19:10.000Z;10:19;Yes;GR;MN;NH;;;RS;;MN, MS;;;GG;MS;NH;;;RS;;;;;green
ee1a8638-82db-4bdc-8a66-44b8aa9b33f3;2025-04-16T01:21:52.000Z;10:21;;GR;MN;;NH;;RL;;;MN, MS;;GG;MS;;NH;;RS;;;;;red
