ec5_uuid;created_at;1_TIme;2_NC;4_ST_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_NY_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_SR_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_TK_Behavior;23_Contact;24_AR;25_3M;26_Notes;28_TN_Behavior;29_Contact;30_AR;31_3M;32_Notes;highlight
f8c5c365-6a21-465b-8fe3-f7f0883d55a6;2025-03-14T00:34:47.000Z;09:34;NO;RS;;;;;E;;;;;RS;;;;;RS;;;;;RS;;;;;
1843b240-cbac-4efd-837f-4cdc6c3e2b57;2025-03-14T00:36:35.000Z;09:36;NO;RS;;;;;E;;;;;RS;;;;;RS;;;;;M;;;;;
5cb29631-aa3f-4178-8b2f-e27aed83a63a;2025-03-14T00:38:58.000Z;09:38;NO;RS;;NY;TN;;RS;;ST;TN;;M;;;;;RS;;;;;M;;;ST, NY;;
c81df9c3-55e4-48b9-83e5-58976f59f8f0;2025-03-14T00:40:37.000Z;09:40;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;RS;;;;;
c9832f0e-a51e-4407-9e02-b9b0b2d4e309;2025-03-14T00:42:41.000Z;09:42;NO;RS;;;NY;;M;;;ST;;RS;;;;;RS;;;;;RS;;;;;
e66533d7-c0e0-4a2b-9dbe-9b0027f51b42;2025-03-14T00:45:53.000Z;09:44;NO;M;;;TN, NY;;M;;;TN, ST;;RS;;;;;RS;;;;;DS;;;ST, NY;Typical TN display - fart noise plus weird butt scooch;
46915bde-b509-4275-94e1-3af66441e021;2025-03-14T00:46:50.000Z;09:46;NO;RS;;;SR;;RS;;;;;M;;;ST;;RS;;;;;RS;;;;;
a082c725-ac1a-4398-8731-31d5296cb83b;2025-03-14T00:49:18.000Z;09:48;NO;GR;TN;;SR, NY;;M;;;SR, ST, TN;;M;;;TN, ST, NY;;RS;;;;;GG;ST;;NY, SR;;
c90d4d07-ca68-4d39-8f86-a31d68516511;2025-03-14T00:51:13.000Z;09:50;NO;RS;;TN;;;PL;;SR;;Following SR;PL;;NY;;Being followed by NY;RS;;;;;RS;;ST;;;
250703f2-3799-42c5-84a1-581560f4566b;2025-03-14T00:53:02.000Z;09:52;NO;RS;;TN;SR;;RS;;;;;M;;;TN, ST;;RS;;;;;RS;;ST;SR;;
92e77fea-795e-44c9-94b4-2e2343478c1c;2025-03-14T00:54:49.000Z;09:54;NO;RS;;;TN;;RS;;;;;M;;;;;RS;;;;;M;;;ST;;
85cee0ac-df54-40ea-bb96-92628af6fbc3;2025-03-14T00:56:53.000Z;09:56;NO;RS;;;SR, TN;;M;;;;;M;;;TN, ST;;RS;;;;;M;;;ST, SR;;
58361727-bc67-450e-9e1b-02255720d6a4;2025-03-14T00:59:28.000Z;09:58;NO;RS;;;NY;;RS;;;ST;;PL;TK;;TN;TK grabbing SR;PL;SR;;TN;Tugging SR;RS;;;SR, ST;;
3f2413d1-6ccf-4445-9645-46eb684420fc;2025-03-14T01:01:04.000Z;10:00;NO;RS;;TN, TK;;;RS;;;;;RS;;;;Arm slapping/grabbing;PL;TN;ST;;;PL;SR;ST;;;
1558914b-679a-4994-8591-47ec11545bbb;2025-03-14T01:03:16.000Z;10:02;NO;RS;;TK, TN;;;RS;;;;;M;;;;;PL;TN;ST;;Grabbing TN;PL;TK;ST;;Grabbing TK;
